#{"t_start": 1633701823.5312066, "env_id": null}
r,l,t
-5.025851,800,1.164251
-389.950307,241,4.656864
-404.405327,81,5.690667
-367.436782,286,6.433898
-404.887492,134,7.701334
18.005563,800,9.154456
124.195462,800,13.143593
184.229027,800,17.037007
170.881825,800,21.144056
154.973799,800,38.092468
76.366885,800,42.824559
239.811206,800,47.260568
258.621015,800,52.12082
93.475251,800,57.262106
179.061393,800,62.434504
-182.617676,538,72.728933
-27.923442,766,76.602046
346.494365,800,81.503941
421.341702,800,86.482707
398.08217,800,91.523638
413.803329,800,96.545542
384.684465,800,101.535044
343.755405,800,121.196223
354.609591,800,126.055729
405.342659,800,131.073726
389.737949,800,136.109348
-303.826808,278,140.02545
-347.326809,228,141.618335
-106.188799,649,143.769607
267.497294,800,162.076701
452.854235,800,167.184062
-278.048326,322,171.309716
-282.011174,328,173.315947
-246.377469,389,175.575538
-283.917198,358,177.962857
283.945544,800,181.11215
348.448491,800,186.179676
-137.883718,709,191.045679
369.545652,800,212.162538
395.538378,800,217.15979
395.662868,800,222.312779
387.342591,800,227.388514
397.04792,800,232.399565
386.755011,800,237.445804
384.717413,800,258.020495
361.523526,800,263.126009
361.777834,800,268.243383
395.948415,800,273.369309
405.225023,800,278.470127
361.513642,800,283.458155
382.340564,800,288.51864
392.086087,800,307.887031
389.359796,800,312.107146
398.426626,800,316.07012
403.405008,800,320.231317
404.097521,800,324.595539
380.587976,800,329.106962
388.004466,800,341.697186
405.750857,800,345.930649
390.892442,800,350.220111
411.689059,800,354.399425
385.674833,800,358.738993
411.676606,800,363.109796
413.071533,800,379.744826
393.366461,800,384.011106
390.383341,800,388.176811
381.849843,800,392.603261
405.083324,800,397.28267
415.343919,800,401.548873
398.903805,800,416.275937
415.139288,800,420.445998
399.371564,800,424.548144
398.314979,800,428.766461
380.258708,800,433.031533
396.975939,800,437.410149
417.582785,800,441.891471
478.466185,800,457.540898
413.093844,800,461.727453
436.947999,800,465.993975
476.458153,800,470.4798
465.79758,800,475.111334
541.382841,800,479.717142
512.704597,800,496.436245
640.406832,800,500.984349
636.008247,800,505.412141
664.996184,800,510.062504
613.466857,800,514.718508
651.859694,800,519.592982
619.970016,800,535.731311
615.309024,800,540.184314
576.132319,800,544.682406
627.963811,800,549.196543
655.187448,800,553.853801
666.321033,800,558.605778
667.502823,800,572.525817
642.611997,800,577.029405
652.861781,800,581.529291
642.269415,800,586.083748
662.695719,800,590.763111
644.85866,800,595.483266
-402.390069,28,598.762262
606.758715,800,600.168036
637.500092,800,616.25742
611.734315,800,620.707935
645.426648,800,625.134107
596.841846,800,629.661216
651.01832,800,634.290566
645.758264,800,638.953148
633.176166,800,652.729273
685.987772,800,657.363217
639.674817,800,661.729033
582.716943,800,666.321642
615.5889,800,670.897568
662.620468,800,675.626645
685.791517,800,691.150578
653.541312,800,695.685523
624.521043,800,700.111241
664.745925,800,704.58339
655.514195,800,709.21609
644.772038,800,713.876672
668.725188,800,729.275818
638.578913,800,733.787043
682.264843,800,738.220306
683.358609,800,742.749059
629.20809,800,747.330721
664.342009,800,751.944233
701.568583,800,756.639652
607.511399,800,771.701072
689.445919,800,776.362502
666.136429,800,780.909314
658.943266,800,785.592902
649.567504,800,790.318641
702.027019,800,794.867021
673.890438,800,814.065617
693.421987,800,818.628286
658.393821,800,823.245924
670.140329,800,827.896156
685.482794,800,832.556021
697.879357,800,837.445433
672.82843,800,855.923396
658.304718,800,860.516343
665.001989,800,865.000577
666.747942,800,869.713677
639.253814,800,874.50043
658.185248,800,879.330162
682.370661,800,897.149552
654.70581,800,901.6892
678.647017,800,906.240271
627.630965,800,910.822528
705.356627,800,915.390778
652.152152,800,920.104766
660.954953,800,924.932522
674.02692,800,944.742109
658.475505,800,949.42546
609.1592,800,953.918086
661.67612,800,958.490952
106.501277,667,962.877722
640.596012,800,966.951982
647.507352,800,986.323946
676.545585,800,991.196896
664.763056,800,995.966292
610.91405,800,1000.489361
654.517051,800,1005.179257
640.806401,800,1010.022388
655.078271,800,1028.32257
661.860551,800,1033.271421
653.685958,800,1038.289839
645.432476,800,1042.980448
649.856113,800,1047.687773
677.983986,800,1052.502583
610.401731,800,1069.757177
595.453073,800,1074.691072
673.353481,800,1079.341202
665.472451,800,1083.893671
-176.27152,369,1087.806499
662.358355,800,1090.603019
672.981751,800,1095.383812
585.288369,800,1114.543745
622.26684,800,1119.535562
634.336913,800,1124.316599
638.971851,800,1129.159922
657.538939,800,1133.916882
671.180677,800,1138.748312
622.224164,800,1143.64344
651.831075,800,1159.450347
647.85278,800,1164.189032
635.046903,800,1169.014058
660.195484,800,1174.233059
655.734915,800,1179.191172
634.402815,800,1184.239334
659.204152,800,1204.416781
661.856989,800,1210.04452
635.451927,800,1215.758713
628.137532,800,1221.344172
61.498545,599,1226.439476
664.92419,800,1230.972816
639.645458,800,1249.742925
