#{"t_start": 1623996015.4029212, "env_id": null}
r,l,t
-406.686724,76,0.031865
-420.998814,64,0.349893
-50.400329,800,0.873098
-17.24947,800,4.143942
4.741551,800,7.476804
-407.675922,30,10.571747
-427.702181,72,10.721103
-405.346941,54,11.025911
-553.527085,519,11.42907
352.247353,800,13.782198
143.902044,800,17.210943
208.441165,800,22.826959
616.08067,800,26.202853
262.750197,800,29.523017
-231.183282,287,32.770892
-0.940218,800,34.2105
0.294258,800,37.633545
726.100669,800,41.004967
810.78832,800,46.766927
836.547869,800,50.155048
736.39219,800,53.549376
916.239679,800,57.133994
929.542132,800,60.617073
843.001737,800,64.123748
1046.317302,800,71.011105
-307.128046,110,74.380407
-246.708253,200,74.887865
1105.49067,800,75.981355
-330.753761,95,79.410278
1121.915078,800,80.138406
1202.88745,800,83.55939
1010.39613,800,87.021659
1063.34924,800,90.410363
-21.420462,295,95.859527
-3.546935,800,97.298844
-18.915876,800,100.69168
-16.250604,800,104.220432
-19.732091,800,107.60506
1288.588977,800,111.010033
1169.270612,800,116.736928
1399.459344,800,120.063195
1364.381439,800,123.38435
1405.718189,800,127.091975
1431.637462,800,130.70223
1423.045922,800,134.067507
1413.430067,800,137.504479
1428.162777,800,143.246096
1446.030838,800,146.731693
1412.597882,800,150.243159
1427.855016,800,153.611409
1436.77541,800,157.113328
1423.357664,800,160.55728
1426.850069,800,166.299534
1439.985934,800,169.709779
1435.262441,800,173.15826
1432.70495,800,176.694313
1424.064237,800,180.096173
1413.947989,800,183.4877
1422.093649,800,189.190791
1438.240715,800,192.593253
1408.162518,800,195.990908
1422.322177,800,199.356153
1422.436613,800,202.753123
1417.532929,800,206.109114
1441.866218,800,211.850351
1424.302876,800,215.269703
1422.190785,800,218.65935
1429.023458,800,222.074465
1447.998113,800,225.521324
1404.55636,800,229.010015
1414.347685,800,232.383376
1430.4318,800,238.010469
1421.80846,800,241.585933
1440.764024,800,245.124663
1442.651801,800,248.543335
1408.272872,800,252.352141
1423.07617,800,255.933569
1436.686124,800,261.789669
1445.083971,800,265.371744
1461.493947,800,268.99747
1461.847036,800,272.610412
1446.560819,800,276.222798
1454.455857,800,279.826224
1463.030263,800,285.681128
1469.093486,800,289.180092
1490.071542,800,292.683542
1474.992108,800,296.11196
1473.335704,800,299.553576
1475.834077,800,303.150755
1496.146567,800,309.396749
1490.401619,800,313.047789
1493.214616,800,316.73774
1464.992858,800,320.306049
1499.42718,800,323.864343
1492.725401,800,327.458384
1462.480233,800,331.14453
1438.636821,800,336.98177
1501.41264,800,340.644814
1497.899692,800,344.320307
1501.412441,800,347.902555
1483.499438,800,351.517644
1498.274636,800,355.095185
1453.199122,800,360.904153
1499.602101,800,364.467806
1497.789722,800,368.055445
1405.783642,800,371.65225
1269.985886,800,375.258233
1499.766855,800,378.932034
1493.294119,800,384.851068
1490.833009,800,388.51414
1499.617075,800,392.108473
1500.547645,800,395.66647
1469.538464,800,399.266787
1500.135866,800,402.868771
1494.424614,800,408.754836
1450.370206,800,412.35096
1499.267968,800,416.014239
993.224888,800,419.906808
1482.135792,800,423.469464
1501.376489,800,427.010275
1499.847648,800,430.642789
1499.80036,800,436.453189
1499.568151,800,440.056929
1498.925804,800,443.623783
1499.470687,800,447.2448
1497.930066,800,450.821704
1498.995014,800,454.404258
1495.551524,800,458.228307
1497.589074,800,461.832291
1498.134919,800,465.4359
1478.245597,800,469.066415
1490.058017,800,472.661986
1493.052152,800,476.316128
1493.622639,800,480.562407
