#{"t_start": 1625696268.5363243, "env_id": null}
r,l,t
-25.423234,800,0.20388
-401.177258,160,2.45848
-394.816695,214,2.961067
-389.175923,99,3.58022
97.132621,800,4.058944
121.623123,800,6.529886
176.136043,800,9.023638
215.382729,800,11.503514
0.045392,800,15.631849
384.446688,800,18.145955
348.473065,800,20.661079
74.937001,800,23.160596
237.160457,800,25.679572
331.989524,800,28.182997
379.018617,800,32.295897
403.840227,800,34.811418
406.805639,800,37.325271
426.069137,800,39.838223
467.028099,800,42.356822
452.60567,800,44.870585
403.145902,800,47.385728
348.013179,800,51.514206
407.484994,800,54.037244
-336.245046,182,56.411554
407.119862,800,57.137814
2.077873,716,59.660729
-333.144098,183,61.793091
-96.794303,503,62.460457
-334.948056,187,63.97052
-232.637917,349,64.60449
-353.725403,146,65.65961
-331.122013,188,66.137582
-192.259045,381,67.508096
364.247619,800,68.816135
646.522357,800,71.353839
662.248044,800,73.87557
503.618729,800,76.396884
638.778879,800,78.92613
602.395908,800,81.450685
654.204248,800,85.067406
401.293277,800,87.610252
398.172859,800,90.136436
472.769575,800,92.666482
383.727231,800,95.189108
419.698889,800,97.735202
-116.673255,594,101.646107
714.31925,800,103.589884
469.067571,800,106.134499
415.231117,800,108.692789
431.578034,800,111.242488
705.745961,800,113.810495
665.19258,800,117.964585
384.884059,800,120.533106
-263.797485,228,122.955353
729.142942,800,123.839148
632.754955,800,126.422194
573.197502,800,129.00608
-60.478358,430,131.50523
707.595561,800,133.002027
653.972004,800,137.254432
674.525406,800,139.887906
689.788357,800,142.52321
710.672665,800,145.153024
-372.923096,90,147.607857
653.896975,800,148.088933
628.82815,800,150.73217
689.617283,800,154.996528
603.561704,800,157.664605
690.21054,800,160.325281
676.322466,800,162.988419
617.290317,800,165.653463
691.97335,800,168.320046
724.27792,800,172.61561
696.162201,800,175.306904
716.121381,800,178.001931
731.901257,800,180.709535
712.952912,800,183.420981
723.195067,800,186.132641
728.398245,800,190.483409
724.69623,800,193.232876
724.023358,800,195.989499
680.954899,800,198.764019
683.472147,800,201.550066
701.994024,800,204.350429
703.356587,800,207.17453
690.360954,800,211.613225
668.592941,800,214.454048
697.784866,800,217.31061
629.194124,800,220.182353
703.887305,800,223.074981
677.869552,800,225.988897
712.558782,800,230.523973
695.929428,800,233.447659
710.787515,800,236.381059
737.436709,800,239.318604
697.476773,800,242.271094
710.962452,800,245.223297
694.181138,800,249.79477
708.300195,800,252.763688
679.4691,800,255.741817
629.915404,800,258.731469
724.017477,800,261.724681
687.35689,800,264.716844
692.747862,800,269.308051
667.54007,800,272.288951
-210.742016,278,275.144909
735.374448,800,276.329248
714.081129,800,279.314669
638.689426,800,282.306613
679.335213,800,285.295982
714.165642,800,289.894428
675.0639,800,292.876462
711.165695,800,295.858377
-356.706169,113,298.663486
705.208095,800,299.260598
696.10378,800,302.236195
689.463161,800,305.226011
708.697859,800,309.829235
688.613775,800,312.816524
684.714989,800,315.803539
670.434696,800,318.798004
697.825241,800,321.787195
704.957313,800,324.774672
672.918525,800,327.780529
716.325163,800,332.407064
660.464682,800,335.402752
679.8122,800,338.406316
694.695943,800,341.403886
633.267922,800,344.399614
664.269064,800,347.41636
-400.276275,46,350.233913
683.760498,800,352.207033
683.169039,800,355.226263
715.481793,800,358.23866
691.964529,800,361.247712
680.863776,800,364.247659
692.775669,800,367.274003
665.748691,800,371.921719
687.423526,800,374.940979
689.646543,800,377.996246
710.156966,800,381.150012
665.995456,800,384.168529
702.095788,800,387.20894
704.926833,800,391.868813
710.508985,800,394.88883
689.006467,800,397.912572
690.12406,800,400.933753
673.753583,800,403.963958
709.507501,800,406.991358
639.666648,800,410.012359
645.088129,800,414.630406
731.444615,800,417.651475
696.971484,800,420.684245
714.963063,800,423.713475
697.772598,800,426.751939
708.197942,800,429.787395
701.691548,800,434.445068
684.196166,800,437.489733
678.399444,800,440.545986
684.316257,800,443.603355
-399.940745,38,446.456869
691.106266,800,446.797989
666.258875,800,449.848092
707.416969,800,454.518345
728.442642,800,457.58336
672.789897,800,460.639414
683.496483,800,463.739666
676.361327,800,466.800129
698.544637,800,469.861117
689.2425,800,474.539494
687.091085,800,477.60053
660.537151,800,480.647742
697.775677,800,483.714813
688.170186,800,486.776596
687.763894,800,489.848528
673.536632,800,492.914938
665.219878,800,497.599796
718.775713,800,500.720762
652.820548,800,504.086222
669.828663,800,507.183882
698.366358,800,510.250549
642.150576,800,513.322523
686.726137,800,518.020654
680.935389,800,521.093776
692.986056,800,524.15983
692.847734,800,527.236051
706.951163,800,530.320126
693.482399,800,533.388811
717.981364,800,538.093245
630.800189,800,541.167209
703.870026,800,544.267206
693.032105,800,547.353291
672.779705,800,550.44177
632.981998,800,553.524528
719.45524,800,558.244579
662.445946,800,561.350878
-404.035554,45,564.250815
662.850154,800,564.623735
679.642375,800,567.716737
644.165207,800,570.799099
684.795526,800,573.889608
655.529177,800,576.991554
671.875366,800,581.721416
