#{"t_start": 1633700472.686287, "env_id": null}
r,l,t
-3.16279,800,1.097471
-404.20647,100,4.502522
-403.602237,160,5.155471
52.42928,800,6.937672
67.243112,800,11.305013
254.357977,800,15.768714
-89.381584,800,20.542924
-406.244004,83,24.056921
-405.108808,57,24.48698
-404.049422,50,24.791493
-404.37657,55,25.066203
-403.236802,26,25.325462
-413.555261,90,25.568599
-406.88463,66,26.035758
-403.091848,27,26.339201
-404.007338,32,26.502209
-403.52721,49,26.698599
-403.217122,35,26.950031
105.352727,800,38.318487
-0.494984,800,42.765636
44.528783,800,47.129232
86.686533,800,51.412996
75.879031,800,55.686643
120.265038,800,59.980485
114.588666,800,74.668009
309.0911,800,79.283369
-127.484648,634,83.473263
-278.330786,432,86.668125
-115.806395,740,89.669317
401.764806,800,93.954173
438.188297,800,98.327733
386.646173,800,116.813109
392.849069,800,121.82294
388.964309,800,126.696198
-259.246352,342,130.827722
383.558524,800,133.828196
394.817839,800,138.809683
-57.933251,710,143.568449
354.896995,800,154.726306
-198.72599,441,159.057018
400.377336,800,162.385771
388.662888,800,167.319231
388.64485,800,172.281211
386.208718,800,177.225171
419.093866,800,182.247306
401.924038,800,201.770633
409.980129,800,206.819631
413.977966,800,211.870096
393.199602,800,216.915081
408.360812,800,221.88749
398.714905,800,226.990302
413.865295,800,247.03155
424.987212,800,252.068211
423.010957,800,257.056057
448.817859,800,262.065758
438.240233,800,267.069314
465.793528,800,271.959748
515.251595,800,289.259805
483.866807,800,294.20629
517.630713,800,299.123657
503.33434,800,304.09491
541.650423,800,309.190492
586.350056,800,314.348884
561.674256,800,336.499287
567.768229,800,341.680847
556.19006,800,346.888012
590.972506,800,352.345374
651.516139,800,357.760538
652.446819,800,363.22066
618.214483,800,368.653455
630.38866,800,390.407373
647.251769,800,395.76237
629.187265,800,400.753416
662.930241,800,405.727082
623.695189,800,410.662967
654.000455,800,415.840961
641.890138,800,435.592252
683.116025,800,440.89869
656.712301,800,446.198515
652.111959,800,451.513046
641.792824,800,457.05589
648.394411,800,462.54072
663.342639,800,482.384739
686.449938,800,487.963863
631.407033,800,493.500099
646.741157,800,498.972252
665.576991,800,504.464067
637.187673,800,509.99598
677.221187,800,534.807472
656.629889,800,540.375437
654.023292,800,545.909414
646.32703,800,551.327848
631.945272,800,556.8546
640.333915,800,562.393664
661.876939,800,568.03502
675.266317,800,588.821884
656.762259,800,594.411291
644.455551,800,599.936679
661.007337,800,605.602278
663.875241,800,611.174826
655.040096,800,616.915253
634.907654,800,638.812109
647.8511,800,644.517355
635.210206,800,650.180629
666.90475,800,656.037769
662.066232,800,661.90908
619.54919,800,667.561719
662.708069,800,691.789874
664.192859,800,697.443455
614.534412,800,703.015505
616.020246,800,708.496274
591.934457,800,714.074106
643.817791,800,719.745507
634.163576,800,738.224402
610.468837,800,743.070101
651.097513,800,747.960568
661.752,800,752.808939
646.242534,800,757.628974
666.813622,800,762.563394
637.720944,800,767.397009
650.642788,800,786.022451
658.101548,800,790.889585
627.962994,800,795.801878
659.045709,800,800.616935
645.443394,800,805.506404
662.31355,800,810.554212
664.692212,800,829.634533
628.332267,800,834.484267
649.323579,800,839.342992
605.511536,800,844.205784
660.78165,800,849.032954
670.740748,800,853.853924
642.38592,800,870.312009
650.261945,800,875.187508
667.495838,800,880.18098
655.605673,800,885.177474
631.482001,800,890.051026
643.508603,800,895.008833
656.954863,800,911.451163
653.559018,800,916.331747
646.990243,800,921.170631
634.499325,800,926.086748
663.023732,800,930.94693
614.441264,800,935.927891
636.599667,800,940.840846
630.706687,800,957.784749
642.960573,800,962.711571
653.863807,800,967.554846
680.188982,800,972.442169
640.714708,800,977.500384
634.771228,800,982.562219
648.235987,800,1003.004039
637.560717,800,1007.867401
608.498492,800,1012.770857
629.557616,800,1017.6917
633.234537,800,1022.583006
612.335875,800,1027.569094
670.446153,800,1044.298848
669.386998,800,1049.245269
668.543527,800,1054.128577
618.49649,800,1059.092428
641.708943,800,1064.066392
623.314337,800,1068.987228
637.936438,800,1085.483205
642.15715,800,1090.641277
640.721717,800,1095.855953
644.325142,800,1100.818347
633.69626,800,1105.853341
635.568686,800,1110.815807
654.529355,800,1116.015609
656.196152,800,1131.604776
657.512556,800,1136.701446
635.339587,800,1141.797483
654.166816,800,1146.946209
608.131661,800,1152.071744
636.665482,800,1157.182235
628.232274,800,1172.366978
633.778768,800,1177.470204
639.330824,800,1182.672688
652.387504,800,1187.849438
608.56613,800,1193.149929
646.926464,800,1198.219431
660.687955,800,1215.938797
616.961141,800,1220.994639
628.355515,800,1226.016053
644.153869,800,1230.966087
647.63774,800,1236.060261
613.460926,800,1241.05489
657.17782,800,1256.962831
636.000072,800,1261.927973
626.02069,800,1266.993636
603.849234,800,1272.181942
644.578094,800,1277.515641
646.606433,800,1282.637589
642.021271,800,1287.851017
651.626149,800,1302.931777
618.703014,800,1307.975702
620.501954,800,1313.035633
627.013414,800,1318.064461
642.183879,800,1323.165455
654.722647,800,1328.329044
657.352476,800,1346.941713
