#{"t_start": 1622640306.2935014, "env_id": null}
r,l,t
-457.93033,400,0.134383
-90.854024,800,1.684205
-16.263845,800,4.54948
-404.229712,21,7.200385
-409.001165,35,7.281293
-404.192113,17,7.404044
-404.08327,17,7.466621
-406.486371,22,7.530938
-394.085243,198,7.669384
-414.605599,159,8.365662
110.925657,800,9.143688
160.438563,800,12.01009
98.555821,212,14.70186
-363.281791,132,15.442506
-97.696519,765,16.126086
437.60395,800,18.890795
395.173546,800,21.782083
347.36286,800,24.673328
364.286212,800,27.575318
262.534553,537,30.407728
233.508045,637,32.397867
1.455099,800,34.770935
105.610037,253,37.506873
392.263425,557,38.524699
53.569965,141,40.41398
111.785371,202,40.946131
99.898382,190,41.6766
179.874874,248,42.385448
103.898101,209,43.275375
97.566602,155,44.016218
50.76894,138,44.572661
92.708989,156,45.081632
75.915254,254,45.679772
80.380218,171,46.578007
82.338126,136,47.187901
81.708783,138,47.682382
49.105711,115,48.176372
84.227187,149,48.60664
69.996842,138,49.145554
89.285631,155,49.653485
97.588894,185,50.227193
69.99619,123,50.878402
72.752767,127,51.327229
109.986445,163,51.80005
84.597213,144,52.38561
58.584943,120,52.902161
55.874373,120,53.340314
44.378611,113,53.775667
66.566216,131,54.433716
64.473304,133,54.912064
68.764408,146,55.401278
91.801134,141,55.932233
104.656194,186,56.460102
87.471292,152,57.125855
86.324001,152,57.679621
85.251175,142,58.23005
63.100843,117,58.739562
55.858967,112,59.16555
94.165896,153,59.587191
95.788892,152,60.146072
115.274298,187,60.712911
133.227439,158,61.389745
111.972183,153,61.966622
104.163432,149,62.52497
101.015301,145,63.068133
79.640191,126,63.592923
52.974162,115,64.050425
156.110082,184,64.491976
61.960411,128,65.148462
73.341349,127,65.615873
146.561657,192,66.102395
83.059912,160,66.791924
71.964152,134,67.368646
72.667114,148,67.862182
96.717189,168,68.408082
115.147103,170,69.023545
88.277142,138,69.635003
304.252676,338,70.206424
83.025158,136,71.378287
60.312613,114,71.870179
89.710544,142,72.296632
73.5223,136,72.815128
116.000929,189,73.332193
68.163867,160,74.014916
100.909086,179,74.606626
77.094183,145,75.252016
45.574413,219,75.809698
133.689446,225,76.612464
-182.531328,275,77.452748
86.337255,188,78.431155
315.674882,372,79.184048
110.218377,173,80.482892
76.31623,154,81.110452
150.847803,183,81.68464
130.097178,199,82.359835
90.008351,184,83.082803
132.896806,453,83.845061
68.152813,121,85.397467
100.897123,174,85.857312
95.029076,184,86.498978
237.982326,302,87.211029
109.093688,196,88.282461
353.258161,383,89.061773
49.71876,116,90.378567
380.366246,349,90.883757
101.806956,155,92.098988
76.342134,149,92.665551
138.781639,185,93.222835
213.689055,221,93.912852
168.587927,203,94.719423
102.325038,165,95.450866
165.705762,198,96.070192
128.83511,177,96.790742
76.490685,126,97.4231
141.299341,185,97.905858
97.606413,142,98.571514
421.342416,361,99.160981
96.111605,150,100.414957
46.787571,114,100.952016
49.863676,118,101.369493
73.363232,116,101.802428
631.508124,520,102.357978
126.605452,166,104.144568
226.625025,237,104.774488
205.622583,219,105.637996
245.01115,256,106.455193
72.191488,130,107.350024
99.13909,159,107.833669
147.949826,183,108.422621
299.043046,292,113.802221
406.533699,349,114.892529
143.902997,179,116.116193
199.314131,217,116.784952
314.509418,277,117.599166
152.074162,184,118.582699
312.107411,274,119.284268
1240.541039,800,120.460972
494.945302,405,123.257848
619.400704,456,124.762968
1238.263882,800,126.552772
1395.217263,800,129.487305
1237.23372,800,132.43319
338.316005,283,135.206704
272.458067,255,136.240268
1302.634551,769,137.345167
1356.159985,800,140.181568
1361.679822,800,143.120169
93.726939,134,145.844917
1406.024174,800,146.558152
1288.561785,800,149.498304
1389.616,800,152.44076
1385.574422,800,155.38046
1294.27111,800,158.322455
1366.00526,800,161.265103
1404.071449,800,164.207055
1426.682172,800,171.570807
1369.957936,800,174.513163
1316.744588,800,177.456208
1299.409909,800,180.4022
165.900949,179,183.147776
828.222396,520,183.916295
1359.470592,800,185.92568
1390.657187,800,188.877696
1350.76631,800,191.830233
1359.002569,800,194.79378
1299.07922,800,197.767679
1399.132709,800,200.739614
54.133296,112,203.497621
1244.205055,800,204.137193
1386.643343,800,207.127221
888.1325,754,210.109343
60.958382,135,212.741536
1369.566218,800,213.465622
1431.515895,800,216.482253
1392.999243,800,219.509314
1344.599801,800,222.538766
-319.424709,118,225.36155
1308.497452,800,226.038459
1366.336442,800,233.705233
1383.911984,800,236.774801
1292.40398,800,239.848348
1355.236447,800,242.926662
43.593461,103,245.788118
1309.68974,800,246.412308
1344.860191,800,249.505113
-236.154926,170,252.39975
1365.529171,800,253.261751
1354.033005,800,256.365912
1384.806915,800,259.473003
1345.541666,800,262.581648
1312.881802,800,265.694859
1393.760914,800,268.809084
989.377667,629,271.86647
1329.029556,800,274.378831
284.652927,235,277.317929
833.642533,517,278.3246
-250.778235,172,280.231145
1367.80547,800,281.106071
1358.997697,800,284.229846
1390.966871,800,287.361606
1289.447967,800,294.903077
676.825633,450,297.91593
899.122347,587,299.723502
77.796246,370,301.95176
1317.085009,800,303.540778
1382.089959,800,306.679206
1215.30084,730,309.790072
1393.929149,800,312.67499
470.670483,350,315.667693
670.244509,467,317.084458
956.096498,782,319.016614
1334.548924,800,322.091151
1405.873821,800,325.230568
