#{"t_start": 1623185461.4547844, "env_id": null}
r,l,t
-6.572352,800,0.28854
-457.983292,168,3.275014
-106.556092,800,4.176844
-432.701697,113,7.115341
-155.517411,800,7.774242
13.353547,800,11.042355
6.462916,800,14.27747
0.96252,800,32.397191
-1.077377,800,35.793881
0.005185,800,38.708783
0.210638,800,41.640414
-0.297188,800,44.654513
1.14081,800,47.993201
9.189776,800,50.962683
4.656497,800,71.790009
36.553101,800,74.941225
48.278317,800,78.741732
46.712752,800,81.967336
74.579859,800,85.2738
88.676397,800,88.796232
104.440991,800,105.757265
97.467339,800,108.620746
131.403796,800,111.503381
153.954246,800,114.647437
117.250831,800,117.538041
233.885533,800,120.597474
214.573246,800,141.670758
230.981228,800,144.559791
347.139697,800,147.491804
348.414113,800,150.401627
374.415686,800,153.748628
436.304342,800,156.875582
434.074947,800,175.143705
468.387075,800,178.273854
448.752557,800,181.785428
476.80265,800,184.765793
419.295879,800,188.030678
467.533383,800,191.507354
466.216202,800,194.810721
450.4382,800,213.414611
457.750132,800,216.664099
524.521578,800,219.508227
447.880842,800,222.38449
518.68869,800,225.438608
506.460918,800,228.476469
440.056859,800,246.188025
484.845666,800,249.591053
544.380348,800,252.77938
594.384207,800,256.132404
507.86794,800,259.571788
469.129382,800,263.103305
547.22896,800,283.658834
551.331027,800,286.898327
487.575338,800,290.238152
547.983798,800,293.861882
408.464843,800,297.280358
619.788941,800,300.461384
513.872234,800,318.79947
483.517754,800,322.023691
532.909558,800,325.403727
571.287237,800,328.48435
499.826367,800,331.854622
548.677025,800,335.13011
556.414152,800,337.977314
541.51372,800,355.689749
607.789852,800,359.147095
522.001978,800,362.421816
492.617303,800,365.594577
601.739106,800,369.119757
551.408963,800,372.391517
479.58434,800,390.001138
552.609177,800,392.992148
568.975596,800,396.396881
516.78615,800,399.545201
546.685286,800,402.64069
507.222928,800,405.729251
487.469145,800,424.532985
603.962051,800,428.521498
557.83301,800,432.00998
558.646995,800,435.481153
543.832515,800,438.557582
553.566109,800,441.627378
513.739843,800,457.877285
621.045449,800,461.226924
491.563387,800,464.557846
498.298572,800,467.721566
579.695408,800,470.786532
631.443767,800,473.958256
631.776506,800,477.274927
520.881751,800,495.30012
510.996314,800,498.357818
566.637718,800,501.997869
510.499285,800,505.619794
607.150809,800,509.036652
569.993332,800,512.645251
557.379796,800,531.061777
522.165205,800,534.70753
603.038919,800,538.437809
516.680561,800,542.228778
536.659042,800,546.048619
543.166348,800,549.748473
573.338404,800,567.950931
556.988135,800,571.667379
527.519856,800,575.14643
529.892764,800,578.479011
565.351567,800,581.888818
673.299087,800,585.64598
531.209559,800,604.869462
573.215318,800,608.747614
575.273674,800,611.958862
545.190013,800,615.442695
592.522871,800,619.23101
590.657195,800,622.489964
513.810988,800,625.943213
502.337888,800,644.413246
629.37675,800,647.723539
512.659944,800,650.908386
566.796423,800,654.271612
534.13734,800,657.505521
568.940005,800,660.833346
529.974923,800,677.526596
523.827922,800,680.717205
532.587547,800,683.82553
558.363601,800,687.348225
534.128064,800,690.759769
507.693557,800,694.125759
498.576225,800,713.405624
