#{"t_start": 1623187555.8535297, "env_id": null}
r,l,t
-442.431448,601,0.194642
-405.27837,59,2.234478
-401.199482,161,2.500081
-390.694082,652,3.273504
147.594438,800,5.793257
210.954063,368,9.032093
333.92658,800,10.908142
-159.718757,578,14.034074
203.963107,352,16.133187
76.5792,292,17.484649
-276.031514,447,25.081723
138.355888,441,26.635251
153.775917,363,28.29326
152.949026,436,29.692841
128.844088,248,31.154044
92.100584,195,31.947838
108.257699,237,32.712576
111.176145,209,33.670114
320.977311,401,34.532261
227.99056,315,35.887772
186.663905,301,36.963537
156.708906,228,37.994175
230.643594,300,38.801574
117.6844,207,39.842015
192.820215,282,40.700838
186.500019,265,41.828491
370.108743,394,42.82315
132.933283,245,46.442392
185.646151,292,47.545215
318.837795,337,48.815491
274.470893,310,50.139551
137.021107,185,51.287159
202.370319,284,52.187972
194.209533,252,53.244146
156.313948,225,54.108943
132.67211,212,54.919715
215.832293,238,55.746654
329.991988,333,56.733082
255.487676,567,58.364926
373.136831,381,60.299283
-44.595082,377,61.600895
-105.033097,321,62.871402
-147.641452,256,63.952102
-12.610751,404,70.251762
189.243654,228,71.575462
-184.170007,227,72.362537
-151.800592,249,73.173191
-100.833119,295,74.044153
-48.865506,324,75.096039
-67.692333,308,76.274453
1176.577025,800,77.590557
361.284674,324,80.239879
1060.398534,707,81.477888
1133.555547,800,84.241791
1294.728887,800,102.987968
1076.024055,729,106.056258
1333.464089,798,108.573704
1346.956613,800,111.270959
1320.616817,800,114.061449
1296.45468,800,116.829262
1268.913172,800,120.042787
640.436116,454,139.464828
1332.516075,800,141.32713
72.934425,128,144.228135
1349.482804,800,144.927283
1300.045432,800,148.015341
1361.135372,800,151.155982
1289.241501,800,154.475254
1279.789822,800,177.839303
1329.567599,800,180.636376
1338.578848,800,183.536389
1284.099487,800,186.619517
1346.096219,800,189.976509
1268.577527,800,193.144405
57.441956,135,196.238603
1327.296532,800,216.564402
1318.735594,800,219.86496
347.791386,285,223.002747
1280.832101,800,224.352353
1323.834444,800,227.382066
1325.421771,800,230.678797
1322.185137,786,234.017716
1382.367015,800,255.503346
1275.464141,800,258.636965
1356.547985,800,261.749532
1289.743454,800,264.639352
1372.685712,800,267.763796
1317.440685,800,270.824311
1371.542667,800,293.932487
1300.232609,800,296.898293
1370.397516,800,299.942044
1287.121485,800,302.952526
1381.154262,800,305.993721
914.069526,580,309.38516
1299.749341,800,311.937956
513.702774,375,334.025157
1369.865548,800,335.488218
1322.817654,800,338.473659
1339.517303,800,341.233749
1354.724496,800,344.486487
1319.754533,800,347.496477
1306.637136,800,350.551395
1346.480663,800,372.098313
1362.716114,800,375.231416
1367.106908,800,378.506454
691.091687,480,381.43879
1364.043042,800,383.480859
732.185208,492,386.266483
1369.072805,800,388.422926
554.505956,406,410.296144
482.277909,370,411.982608
1361.110963,800,413.568373
1314.676701,800,416.845606
1380.193204,800,420.047855
1295.075371,800,422.993431
1231.112703,750,426.05142
1330.722079,800,445.307867
1291.124032,800,448.723378
63.33315,133,451.923991
563.762038,427,452.653481
67.32924,133,454.14785
1331.940427,800,454.79933
1304.736998,800,457.968906
108.750012,186,460.83347
1365.4639,800,461.686643
335.376387,291,464.917069
1295.660542,800,484.06727
80.566916,166,486.946371
29.944114,324,487.697257
1366.560275,800,489.197562
1344.198467,800,492.540599
1372.539053,800,495.672221
51.386087,118,498.51442
237.719655,228,498.963558
676.534426,716,499.93049
1310.62054,800,520.858727
692.072224,484,523.976573
1313.340276,782,526.108234
1313.881058,800,529.668758
1272.280347,800,532.950382
1368.335907,800,536.120142
1388.346531,800,539.303501
1331.399418,800,560.316829
1316.403743,800,563.378196
64.583491,124,566.377728
469.503709,351,566.971769
1364.286685,800,568.609506
1340.605919,800,571.644679
1357.412803,800,574.587083
1327.158842,800,592.02901
1299.241969,800,594.9726
1375.58217,800,597.91609
1348.50133,800,600.80533
1350.850451,800,603.724148
1384.560505,800,606.626932
-29.592428,285,609.66282
1338.896038,800,630.345359
1056.437575,647,633.297929
1386.81424,800,636.167081
366.432757,323,639.476474
1309.905811,800,640.822108
1299.949423,800,644.334773
1317.558552,800,647.312761
1306.712576,800,666.731549
293.502738,248,669.495338
1343.894724,800,670.621595
1316.120835,800,674.203224
156.720178,182,677.181175
340.364142,277,677.88385
1302.395177,800,679.024008
233.729357,231,682.150463
1330.088365,800,683.326486
1330.071023,800,703.302325
