#{"t_start": 1622667597.6751828, "env_id": null}
r,l,t
-462.145504,556,0.146555
-396.806634,150,1.619886
63.882205,800,2.213365
43.107651,800,4.491347
95.125633,800,6.793861
-407.921285,182,8.936564
72.244341,800,9.62055
208.386483,800,11.916765
-373.627167,373,18.102943
240.870333,800,19.284501
106.987946,800,21.580909
-302.785471,571,23.830873
141.987892,800,25.520345
-281.876242,429,27.741768
280.298982,800,29.065535
-238.920067,326,31.237084
1.637073,653,34.188363
142.616881,256,35.954355
100.669661,663,36.794897
130.354156,223,38.579923
78.005613,170,39.20298
77.669895,202,39.694303
136.002903,244,40.281979
122.368035,212,40.973193
190.891344,275,41.597446
148.38282,246,42.376121
155.252387,245,43.083045
104.980189,197,43.767764
135.344796,226,44.335401
95.750093,195,44.972801
244.215743,300,45.556967
147.835238,230,46.398307
203.926095,281,47.071353
175.934098,244,47.86543
286.142557,317,49.05656
155.65762,208,49.940765
288.70928,309,50.561418
76.616922,158,51.407419
124.604503,213,51.872395
87.629135,151,52.464685
128.059862,194,52.906808
93.708774,184,53.459996
119.722642,198,53.994205
102.539394,180,54.557013
155.374895,212,55.086155
142.425978,208,55.695421
86.718747,186,56.286593
129.959068,209,56.826676
100.923464,176,57.418342
116.647691,201,57.931818
103.053897,165,58.498769
130.690628,210,58.984105
69.381225,153,59.572991
139.610388,195,60.023812
99.417436,167,60.580609
97.641962,167,61.062599
128.417458,197,61.553632
77.77978,136,62.10358
110.826931,183,62.50344
106.061302,196,63.028758
105.566698,171,64.010146
52.564955,129,64.488288
117.791134,177,64.870625
122.938572,166,65.373635
307.203786,336,65.889462
137.189855,219,66.812942
74.18717,143,67.418742
97.566211,169,67.834828
151.215337,195,68.326388
61.710204,131,68.867992
112.456486,176,69.254411
159.497979,201,69.764457
121.923034,190,70.337878
135.804161,180,70.879485
139.203555,196,71.39504
81.821821,164,71.948449
134.875673,193,72.425839
70.494664,139,72.968749
55.876514,130,73.365291
129.520151,199,73.756665
