#{"t_start": 1620653077.690482, "env_id": null}
r,l,t
-416.892645,82,0.022967
-411.107752,94,0.04095
-406.277023,30,0.046849
-418.908027,140,0.073619
-427.576024,291,0.128946
-406.624826,152,0.157569
-412.653758,75,0.171774
-409.098255,219,0.215714
-434.000754,270,0.266755
-415.198729,203,0.304804
-397.924473,261,0.360177
-387.534018,208,0.405289
-430.002444,251,0.461581
-398.764991,103,0.483622
-413.917855,227,0.529602
-408.931946,119,0.554846
-401.424961,399,0.631603
-412.679968,122,0.654336
-422.602984,375,0.72382
-424.142503,251,0.771397
-405.098731,197,0.810923
-448.877426,548,0.915225
-386.573935,236,0.96038
-58.370092,800,1.113775
-422.31164,122,1.137353
-411.694998,68,1.150322
-417.87028,123,1.174052
-407.694842,207,1.21521
-420.91085,139,1.241918
-416.259826,71,1.255508
-409.726556,126,1.279403
-413.565272,121,1.302171
-416.786597,285,1.35621
-440.534405,247,1.404756
-408.214971,49,1.414196
-416.072268,190,1.450641
-417.060847,487,1.542755
-412.146318,79,1.557635
-392.294571,250,1.607163
-389.008929,237,1.652108
-406.083046,65,1.664715
-428.966853,332,1.726883
-386.007866,596,1.842144
-427.957431,123,1.865491
-410.011169,375,1.939868
-413.793602,97,1.980187
-0.593036,800,3.004109
-11.379324,800,7.797422
79.325381,216,12.246421
102.351998,190,13.516653
334.229704,467,14.825675
405.330519,800,17.850152
87.515571,207,22.281324
54.154193,277,23.560691
154.343021,429,25.305391
55.940613,205,27.707002
84.132776,282,28.97848
85.51574,227,30.617167
3.470122,800,32.344712
123.625969,381,36.837186
108.842502,330,39.444735
74.735982,309,41.700483
65.666809,267,43.509815
63.201045,198,45.050548
90.340176,175,46.215663
68.480511,154,47.254125
93.74851,169,48.187712
64.429698,150,49.28484
78.46646,158,50.187063
80.700372,167,51.132117
60.739738,162,52.160778
61.304443,179,53.143014
70.669192,173,54.202771
65.781856,157,55.227242
104.381417,227,56.289574
66.326394,155,57.606581
65.148815,153,58.533376
42.497305,95,59.408253
104.054087,180,60.029592
58.24064,105,61.056596
51.218759,101,61.678627
182.936241,209,62.348104
57.170872,100,63.528172
45.370765,100,64.128397
51.06097,114,64.732588
79.70519,125,65.430152
48.708688,124,66.179171
31.904264,81,66.890774
37.132442,95,67.381011
83.726125,137,67.973462
89.004918,141,68.794768
26.619939,96,69.599164
65.321546,126,70.185639
61.999573,115,70.924353
56.563025,101,71.603947
74.807677,117,72.221961
49.416239,88,72.908073
39.414455,86,73.424709
39.212567,85,73.980222
63.393514,104,74.59635
64.573756,103,75.278149
32.076826,85,75.925945
55.699107,108,76.464976
62.808771,97,77.156419
40.638422,85,77.790073
31.204585,82,78.370473
87.348563,115,78.918546
65.563846,115,79.680189
45.936994,116,80.492687
60.86731,109,81.241342
62.278219,94,81.880466
77.005935,125,82.458799
52.436689,101,83.186864
34.462932,81,83.772614
70.765902,114,84.273122
64.17739,97,84.972554
29.28589,74,85.604664
80.584007,126,86.12013
51.764322,89,86.909524
24.878076,80,87.494897
67.069646,104,88.046525
96.82286,125,88.730239
167.375431,191,89.595742
48.324897,92,90.759229
107.875576,139,91.426586
42.603328,97,92.265643
32.881634,87,92.88305
53.105735,104,93.426382
116.60639,142,94.128429
124.838409,160,95.097284
41.947283,95,96.078186
23.500929,78,96.68602
193.173953,197,97.261712
117.913163,151,98.512641
29.149748,85,99.420434
121.8209,147,100.024183
133.658736,161,100.914882
135.643194,159,101.876076
108.325011,140,102.814603
83.01037,120,103.689048
50.022661,95,104.44383
36.259806,91,105.054687
63.311579,100,105.65128
79.056032,111,106.302405
64.597048,103,107.059898
86.881828,135,107.723693
47.786527,101,108.572519
80.678238,124,109.25508
73.142242,118,110.021444
54.164105,108,110.71955
24.193484,90,111.352006
46.437799,97,111.892313
132.591104,177,112.552171
35.712199,89,113.558752
74.01199,117,114.11675
45.579258,93,114.802728
110.042354,155,115.410924
30.957736,91,116.311026
30.337116,79,116.85588
76.718936,119,117.362076
44.231046,96,118.113681
47.970159,96,118.730385
23.538435,87,119.323652
72.988033,132,119.879357
60.397214,118,120.660779
30.698547,81,121.346699
121.412371,152,121.875417
371.008237,341,122.915947
45.83267,96,124.94163
118.126439,163,125.709452
159.299345,192,126.809131
197.665452,211,127.963048
76.971869,126,129.181526
98.650148,132,129.937314
77.004432,122,130.720429
49.886049,109,131.445281
152.627,177,132.140835
106.184296,134,133.166356
47.781861,107,133.945914
97.864276,119,134.595497
150.024202,176,135.352747
42.432048,96,136.360843
67.487423,102,136.938594
49.699487,91,137.549135
50.034531,90,138.108211
196.359386,205,138.764626
129.125264,157,139.965065
71.176252,115,140.887036
70.623813,112,141.568226
43.630025,83,142.213789
46.048936,86,142.712918
76.004851,110,143.249182
25.608358,68,143.879573
188.167313,185,144.364364
524.017539,448,145.650487
51.650288,88,148.156647
73.079705,117,148.762948
142.46812,163,149.51952
108.07702,147,150.5141
85.526496,112,151.376021
52.539973,95,152.039088
56.156885,108,152.610948
102.612794,141,153.283446
220.580611,225,154.182998
205.865667,207,155.535122
68.986552,109,156.729496
64.848282,102,157.393498
70.832819,107,158.025106
93.612883,126,158.68976
65.060989,105,159.512546
128.878042,160,160.186552
138.045377,166,161.174033
208.054414,204,162.229687
53.98877,92,163.482902
47.572945,88,164.051636
80.942437,111,164.603314
77.339784,108,165.289428
51.474654,88,165.926788
77.812955,114,166.47219
90.947002,135,167.166012
162.208059,172,168.010977
98.875181,126,169.031111
138.129276,170,169.897615
94.247342,125,170.927328
95.611632,118,171.692597
113.191028,133,172.494069
103.900029,133,173.35718
75.099429,117,174.212423
227.980244,219,175.020884
85.124074,128,176.266918
58.025205,96,177.013337
92.6158,120,177.604237
131.008629,143,178.367882
52.791582,105,179.275516
52.165924,93,179.908108
54.687336,94,180.472275
192.232479,176,181.099442
318.895562,292,182.247064
84.188465,116,183.93462
495.737396,418,184.8448
216.937661,207,187.381655
82.983444,115,188.563331
