#{"t_start": 1620652500.5857916, "env_id": null}
r,l,t
-406.229046,190,0.05372
-419.911498,795,0.217055
-422.126011,332,0.286668
-416.137749,96,0.306522
-431.750839,357,0.378874
-376.247338,495,0.480211
-40.91444,800,0.641939
-420.715007,196,0.680978
-408.569636,99,0.700894
-435.546938,416,0.783956
-417.969093,307,0.848748
-402.380274,596,0.968226
-412.081535,75,0.983405
-441.512522,397,1.065234
-405.948924,39,1.07314
-406.817803,345,1.14214
-411.19188,62,1.154861
-433.02935,250,1.204024
-52.142575,800,1.366611
-439.047768,466,1.463534
-428.215675,105,1.484572
-342.600658,717,1.627541
-419.771755,338,1.696414
-405.384708,263,1.748898
-408.457602,516,1.854167
-430.999173,207,1.895298
-405.947705,73,1.910083
-405.30516,226,1.955579
-419.51611,224,2.000346
-409.184327,91,2.018716
-419.499544,536,2.463176
88.641628,800,5.9805
91.624604,797,11.091163
225.797905,424,15.724606
418.444003,649,18.569154
465.968709,800,22.526991
145.253836,284,27.087718
255.290377,665,29.026958
0.485293,800,33.094192
0.596402,800,37.889212
122.136378,277,42.367643
197.660545,337,44.089832
155.714618,413,46.17417
127.794593,243,48.550276
133.640017,323,50.085697
104.041171,199,52.021572
114.896401,271,53.372913
97.212938,209,54.987532
101.104058,194,56.246284
95.73562,187,57.424567
110.843983,200,58.569053
78.842481,155,59.924119
70.798413,138,60.920014
161.658197,213,61.785836
119.312378,183,63.050322
144.592504,209,64.161608
94.052708,180,65.383344
74.096516,154,66.429042
82.41276,148,67.335984
89.73388,153,68.220616
108.994753,160,69.131346
80.948386,143,70.073969
108.825292,195,70.957352
101.772715,160,72.090801
71.430483,131,73.028259
92.679721,159,73.856064
60.81283,131,74.831229
112.261785,177,75.721123
98.041557,170,76.848687
81.947456,136,77.910667
71.892475,126,78.777381
72.291554,130,79.577273
146.479236,173,80.427787
120.488283,165,81.519926
101.501458,168,82.558441
88.929813,154,83.64502
77.562877,124,84.582553
109.711191,159,85.350717
78.457815,146,86.321386
117.286001,170,87.366402
91.572489,136,88.357949
80.271712,160,89.179487
93.612787,139,90.11849
72.432965,129,90.939516
84.912253,143,91.716705
105.416577,160,92.580124
127.542135,165,93.559771
45.569622,113,94.580621
104.364842,161,95.332903
109.735604,159,96.298075
85.428034,138,97.228714
50.28107,108,98.077578
134.225434,165,98.773765
76.349602,130,99.788183
97.568515,141,100.603647
106.735211,151,101.474593
96.106885,153,102.416368
129.197419,166,103.34982
78.751072,134,104.336122
149.236647,203,105.201283
269.11592,255,106.459052
86.736388,141,107.920351
83.955184,146,108.761486
95.388799,144,109.636097
103.682352,167,110.512294
103.996945,166,111.505196
100.791736,163,112.492839
375.333747,312,113.580572
78.638308,134,115.363831
85.971225,135,116.162999
98.387701,138,116.985243
132.716009,181,117.849151
-280.104129,163,118.954868
96.140494,149,119.922734
85.022492,150,120.815303
123.221408,164,121.725608
283.523087,306,122.80089
99.997971,136,124.531256
126.21962,165,125.388517
183.488057,228,126.415214
55.355897,102,127.697248
374.566806,287,128.421383
299.818898,242,130.106373
228.165494,215,131.601388
173.246158,200,132.905672
492.71125,413,134.26515
230.143352,251,136.807612
184.670655,220,138.40563
171.139728,204,139.750672
1426.810504,800,141.41974
166.171815,192,146.971826
269.936438,220,149.043598
188.134494,229,151.090412
120.469987,151,152.841378
67.337035,122,153.835061
399.720532,330,154.715579
1341.425579,800,157.012203
81.37025,141,161.590928
962.102547,644,162.772895
150.734281,203,166.343558
1428.476319,800,167.9974
791.968954,555,172.680482
202.394944,189,175.777401
81.748465,130,176.874905
128.967462,171,177.677183
690.558474,482,178.898605
1359.987619,800,182.005621
310.670147,306,186.571822
1332.202579,800,188.998569
1391.833244,800,194.085645
130.154936,152,198.766425
158.018676,194,199.7478
1416.772501,800,201.319284
1381.190652,800,206.512245
1346.411834,800,211.93892
1399.244218,800,217.251912
1402.56436,800,222.129631
1454.350192,800,227.025501
1385.031393,800,232.107937
1399.104427,800,237.167266
828.843527,506,241.976051
46.57954,102,244.895601
1403.865856,800,246.00815
914.923241,571,250.90161
1329.604543,800,254.783565
1380.556177,800,259.860219
36.518213,102,264.458064
1331.498429,800,265.570263
1427.134729,800,270.976438
1366.267885,800,276.389493
1316.185338,800,281.594006
1407.722148,800,286.48936
1329.355106,800,291.428163
67.690775,124,295.854684
1356.019738,800,297.030811
