#{"t_start": 1626720879.9209964, "env_id": null}
r,l,t
-403.777183,30,0.015042
-403.389239,36,0.083287
-435.12335,728,0.377326
9.694102,800,1.863998
55.38189,800,3.477371
-9.84014,800,5.103475
-359.894461,442,6.605069
96.713375,800,7.60552
112.010252,800,11.56961
157.085749,800,13.204571
226.078471,800,14.825365
216.106912,800,16.41443
-270.016579,438,17.879639
409.018141,800,18.850421
403.463602,800,20.428884
383.94913,800,24.254952
358.985367,800,25.846408
-104.771227,720,27.391525
384.657354,800,28.831969
375.315713,800,30.397029
379.0274,800,31.985255
394.6321,800,35.950943
375.87744,800,37.580084
452.150063,800,39.197045
436.816559,800,40.840403
416.662562,800,42.465278
463.615144,800,44.089879
490.37268,800,45.715448
514.146046,800,49.615157
559.868423,800,51.5111
516.317745,800,53.279244
511.671759,800,55.129699
-217.787675,366,56.716977
621.753085,800,57.657483
656.80502,800,62.01349
634.34697,800,63.702756
628.80051,800,65.429442
670.281048,800,67.013161
676.618639,800,68.592852
659.44297,800,70.224831
642.324703,800,71.794618
643.664402,800,75.605023
674.493802,800,77.217817
622.406624,800,78.846646
599.520199,800,80.471853
635.237314,800,82.065771
612.091071,800,83.658564
656.59759,800,87.605244
659.067308,800,89.241293
656.868175,800,90.826259
649.824745,800,92.403671
672.047012,800,93.97953
664.059457,800,95.558481
627.91705,800,99.828287
615.829008,800,101.537352
631.125282,800,103.331182
659.603099,800,105.275266
656.677053,800,107.086191
637.823167,800,108.808867
685.393047,800,113.020046
672.658453,800,114.910946
658.543461,800,116.742448
675.982779,800,118.566155
618.565156,800,120.424964
629.556084,800,122.136433
658.050513,800,123.793625
671.862663,800,127.632007
616.436731,800,129.21085
655.626983,800,130.790917
649.538802,800,132.37482
596.244411,800,133.963161
642.233161,800,135.5416
612.641327,800,139.368083
625.88305,800,140.953843
614.941705,800,142.525908
657.569938,800,144.156706
671.596262,800,145.847072
636.02783,800,147.44472
617.942785,800,151.278838
638.443197,800,152.865772
642.612976,800,154.438612
668.249457,800,156.011425
655.684747,800,157.580062
644.445225,800,159.160093
585.99567,800,162.987252
607.663405,800,164.576494
652.332881,800,166.146698
605.127573,800,167.723494
623.422168,800,169.338683
637.870837,800,170.988766
572.66036,800,172.656339
638.674205,800,176.655582
613.367914,800,178.337917
637.709739,800,180.090075
624.556955,800,181.727906
650.251798,800,183.354908
632.395584,800,184.960417
586.572603,800,188.808735
608.248089,800,190.403963
636.524803,800,191.98714
658.099749,800,193.565387
622.475572,800,195.143932
624.898683,800,196.726253
647.534498,800,200.559338
598.140315,800,202.138781
661.739362,800,203.716875
655.116071,800,205.291849
636.478683,800,206.869291
675.586659,800,208.455263
601.51725,800,212.309955
642.667293,800,213.904547
636.89717,800,215.479259
645.105214,800,217.055399
648.196365,800,218.637489
678.878697,800,220.217273
674.312271,800,221.799655
658.930023,800,225.642298
643.445597,800,227.241009
654.034044,800,228.8296
656.401053,800,230.434108
621.079611,800,232.073615
660.796533,800,233.708938
679.567188,800,237.695927
655.924174,800,239.334493
644.319234,800,240.970294
648.806826,800,242.603333
640.918165,800,244.216583
654.96624,800,245.846945
647.515882,800,250.283685
637.092038,800,251.883847
640.195586,800,253.464059
646.431378,800,255.067596
630.68579,800,256.708327
611.75574,800,258.350867
649.355283,800,262.371334
612.51735,800,264.009297
626.542494,800,265.649367
40.384578,628,267.238603
644.485787,800,268.581294
626.747023,800,270.224645
620.864529,800,271.863838
657.856005,800,275.888912
630.587231,800,277.545087
629.873876,800,279.17478
630.727463,800,280.753067
621.427406,800,282.337799
655.032109,800,283.921672
609.300887,800,287.763026
649.499929,800,289.365467
647.839603,800,290.96334
604.535243,800,292.556418
650.089826,800,294.174674
641.049439,800,295.783006
625.332354,800,299.764765
652.707276,800,301.363299
623.962448,800,302.949083
676.286763,800,304.546162
657.661895,800,306.156864
627.757673,800,307.782084
647.914859,800,309.42434
653.046677,800,313.400574
671.250079,800,315.037169
619.263392,800,316.666914
624.964327,800,318.308975
649.996812,800,319.968816
613.880375,800,321.616212
592.554546,800,326.205253
649.746986,800,327.871166
642.649097,800,329.528954
657.542113,800,331.203399
641.473416,800,332.864193
628.125471,800,334.533097
609.831438,800,338.658198
597.442507,800,340.337529
613.731853,800,342.04471
629.935272,800,343.718722
606.349872,800,345.40306
643.790395,800,347.093302
621.910418,800,351.240128
654.50471,800,352.922992
646.180687,800,354.557776
627.386766,800,356.190893
659.880348,800,357.816921
631.377507,800,359.464199
614.791612,800,361.109812
656.02073,800,365.110883
605.0105,800,366.763547
602.152332,800,368.404805
625.467251,800,370.064459
623.931689,800,371.69253
603.380575,800,373.331056
649.182805,800,377.323234
