#{"t_start": 1626723134.259017, "env_id": null}
r,l,t
-402.701529,24,0.013513
-405.297537,458,0.226385
-17.401396,800,1.268445
29.861546,800,2.887828
-436.509644,231,4.326841
-18.087833,800,4.978716
25.674414,800,6.597602
113.193868,800,8.222525
42.920791,800,12.312282
219.16607,800,13.966221
128.10075,800,15.642642
224.773351,800,17.275618
398.221238,800,18.88413
304.228855,800,20.534217
260.500661,800,24.466402
365.896143,800,26.057235
323.504432,800,27.636173
383.769159,800,29.213849
294.512477,800,30.789446
389.81767,800,32.408737
-278.055521,421,33.970721
383.006098,800,36.593769
372.637403,800,38.29407
382.770653,800,39.993522
-180.872135,495,41.584187
399.258329,800,42.742929
-314.618461,257,44.255503
53.701566,785,44.982437
407.3933,800,47.661248
-99.66917,590,49.588961
-150.682727,502,50.866519
508.020533,800,51.97703
498.99687,800,53.584744
-251.11999,368,55.059894
532.034614,800,55.942476
-192.65405,437,57.439101
-272.184929,310,58.28224
531.212558,800,59.917614
-151.621065,444,61.411905
537.374809,800,62.413642
-27.732119,602,63.946847
490.174992,800,65.205661
74.854954,664,66.757788
618.359476,800,68.121744
605.797804,800,72.045263
587.619973,800,73.634765
591.637119,800,75.220532
606.477564,800,76.806477
622.091678,800,78.419942
623.481919,800,80.066971
637.298457,800,84.139932
575.972477,800,85.790613
636.996201,800,87.430273
642.734934,800,89.068107
621.966197,800,90.716283
644.21143,800,92.368169
629.865649,800,96.472571
614.355258,800,98.301489
624.254575,800,100.204307
630.624533,800,101.836273
643.155349,800,103.486317
667.67659,800,105.139189
641.738763,800,106.780467
645.810962,800,110.883558
629.067024,800,112.530319
666.070175,800,114.157852
606.030388,800,115.789744
657.480323,800,117.402903
617.142813,800,119.057375
648.46952,800,123.132297
633.010225,800,124.784705
592.876967,800,126.455366
614.052483,800,128.124174
629.964902,800,129.765627
605.291311,800,131.40641
615.051787,800,135.503078
637.525374,800,137.163536
619.593428,800,138.826651
610.82293,800,140.468395
625.6014,800,142.097596
616.581248,800,143.782102
659.661099,800,148.363425
620.049614,800,150.069459
649.671735,800,151.993276
611.689853,800,153.908326
652.366977,800,155.824846
633.787727,800,157.999534
649.796481,800,159.778818
610.319026,800,164.573851
665.123222,800,166.437288
641.550993,800,168.283054
622.462992,800,170.027364
619.113561,800,171.746551
-137.200271,439,173.393122
-189.288275,410,174.383667
658.279143,800,178.2291
649.593541,800,180.120097
618.38975,800,181.99825
656.703498,800,183.891434
643.361133,800,185.64804
645.260024,800,187.293671
569.520103,800,191.869958
654.854345,800,193.757568
644.548788,800,195.668237
649.907919,800,197.547345
646.067185,800,199.522203
616.855619,800,201.488223
623.49128,800,205.971322
641.3897,800,207.625178
676.792514,800,209.258986
651.185492,800,210.895755
620.007467,800,212.521552
635.741038,800,214.153653
607.381331,800,218.711121
657.159141,800,220.335736
655.552239,800,221.948053
621.598994,800,223.554671
606.081113,800,225.169195
643.224907,800,226.778738
642.550205,800,228.393766
635.626748,800,232.452502
618.957357,800,234.075778
657.299466,800,235.745525
615.873241,800,237.395607
634.143781,800,239.051674
660.831036,800,240.692255
627.575143,800,244.574809
634.271176,800,246.101954
600.634654,800,247.654817
657.078053,800,249.236818
640.637749,800,250.822213
678.581856,800,252.404786
607.751981,800,256.345998
640.314789,800,257.935939
634.185204,800,259.605131
632.17776,800,261.264766
659.039635,800,262.925705
646.215229,800,264.594993
623.4029,800,268.826323
641.976411,800,270.516149
609.132277,800,272.208559
639.352005,800,273.907654
612.683711,800,275.56692
666.588891,800,277.352935
647.641107,800,279.384041
647.847586,800,283.609881
621.866364,800,285.284953
586.962455,800,286.951562
626.053664,800,288.623471
630.348891,800,290.294865
669.259477,800,291.979963
611.141073,800,296.210292
593.902257,800,297.859747
654.474012,800,299.519577
660.61974,800,301.14141
629.008807,800,302.764542
658.991802,800,304.396137
616.368054,800,308.419647
614.176269,800,310.046849
653.410546,800,311.680398
617.025415,800,313.310168
598.548554,800,314.961831
643.307731,800,316.614035
647.071745,800,320.737048
588.150919,800,322.395151
621.45414,800,324.024913
600.640017,800,325.637228
631.775789,800,327.302594
656.00785,800,328.955987
638.030871,800,330.607847
627.985114,800,334.569345
646.312469,800,336.167843
621.861872,800,337.782356
630.142911,800,339.436558
622.617461,800,341.086529
594.205561,800,342.735679
571.125394,800,346.814703
645.938524,800,348.466305
604.817852,800,350.127503
598.850124,800,351.769467
626.659816,800,353.418875
611.325249,800,355.072542
621.189539,800,359.172611
636.527348,800,360.822706
617.199923,800,362.427257
633.885825,800,364.024236
641.517182,800,365.623018
617.446301,800,367.214053
642.563183,800,371.144994
632.317321,800,372.750807
623.332554,800,374.344315
588.228917,800,375.939433
605.549726,800,377.537493
625.120183,800,379.139656
651.808484,800,380.728559
613.160605,800,384.659239
