#{"t_start": 1626116427.505746, "env_id": null}
r,l,t
-401.654656,18,0.009336
-406.004916,82,0.082891
-401.844727,15,0.300174
-331.263629,252,0.406663
-387.264337,416,1.14719
-19.139699,800,2.407306
-396.507236,62,4.489085
382.39059,800,4.859793
379.740971,800,7.136255
411.707234,800,9.413147
381.06151,800,11.696578
388.587592,800,15.438387
366.151891,800,17.730683
-251.867884,351,19.903069
-367.746416,302,20.897172
357.196154,800,21.894811
-392.981225,133,24.009572
-366.505351,134,24.391605
-393.709338,119,24.770019
-363.237792,131,25.11381
-393.047278,106,25.484252
-392.982919,111,25.790043
-400.894627,67,26.096624
-387.626415,115,26.300545
-332.011554,231,26.660703
-57.511405,612,27.425359
467.719347,800,30.990223
-397.742787,98,33.102562
478.661281,800,33.573963
490.516128,800,35.869652
508.379294,800,38.16191
-70.428144,610,40.407967
642.185078,800,42.209096
601.279523,800,46.095031
654.812417,800,48.393978
676.964626,800,50.698188
619.239422,800,53.010614
680.627535,800,55.323415
695.620931,800,57.632763
681.031917,800,59.94539
676.240853,800,64.012011
676.364628,800,66.325486
696.259069,800,68.635
692.173594,800,70.947628
34.652429,519,73.182071
665.540781,800,74.749408
687.80016,800,78.795239
704.464919,800,81.107851
692.350661,800,83.414059
664.433324,800,85.719858
-185.88601,300,87.888829
712.992022,800,88.891443
676.28794,800,91.18752
709.254566,800,95.236777
704.807155,800,97.536295
720.813454,800,99.838943
686.085633,800,102.128721
697.875712,800,104.429327
714.003531,800,106.729813
692.438295,800,110.766447
700.326422,800,113.073581
692.490273,800,115.379681
723.898512,800,117.686128
700.170827,800,119.996304
724.826877,800,122.305558
700.99868,800,124.607407
703.254362,800,128.628656
713.130602,800,130.931792
692.541892,800,133.23544
707.045247,800,135.537431
671.810711,800,137.83636
715.77011,800,140.140782
711.703535,800,144.188576
694.083012,800,146.502305
688.46546,800,148.821621
703.88597,800,151.142362
687.540099,800,153.466023
713.19118,800,155.791511
-372.104256,100,157.928762
720.20033,800,160.136704
718.826131,800,162.469789
709.077524,800,164.800628
676.709634,800,167.135546
694.020719,800,169.470509
709.375736,800,171.806401
705.842372,800,175.860958
702.029081,800,178.201044
705.290465,800,180.546027
725.379206,800,182.905799
690.042792,800,185.260014
680.36025,800,187.6186
693.412387,800,191.716102
715.462724,800,194.077815
689.66603,800,196.443608
704.208752,800,198.814729
714.971865,800,201.189093
718.268132,800,203.564131
-370.408448,93,205.75758
706.285714,800,206.221443
667.290768,800,210.340851
676.539713,800,212.727645
-91.164543,378,215.007659
692.779167,800,216.253769
688.854216,800,218.651009
693.404358,800,221.044774
664.063189,800,225.176514
723.214187,800,227.575522
117.396838,616,229.928309
701.842842,800,231.832404
692.276649,800,234.232641
709.289274,800,236.639332
656.688458,800,239.041519
707.653888,800,243.179057
693.294103,800,245.585812
699.72489,800,247.994203
707.948543,800,250.406228
697.534295,800,252.812833
702.419073,800,255.228764
680.076752,800,259.366355
686.115555,800,261.779653
691.420017,800,264.188098
679.234025,800,266.597903
718.720447,800,269.010743
702.254323,800,271.427514
-229.766107,246,273.693067
673.681618,800,276.30009
707.975886,800,278.714747
-5.451748,462,281.047075
646.822384,800,282.530508
686.623562,800,284.946682
693.196113,800,287.367756
696.34177,800,289.785868
663.339622,800,293.933755
639.902364,800,296.354433
703.778959,800,298.772269
718.738784,800,301.191078
671.75019,800,303.603362
684.105173,800,306.01971
-154.477587,330,310.030286
208.125917,714,311.130088
681.271222,800,313.302856
147.090628,656,315.682526
-109.966334,372,317.584752
715.536784,800,318.822487
705.330406,800,321.242241
676.480855,800,323.661759
662.27141,800,327.800461
689.132533,800,330.222512
699.397305,800,332.643125
690.048599,800,335.07228
-181.723151,290,337.364003
683.835624,800,338.386052
699.691945,800,342.638362
690.642041,800,345.072312
706.376385,800,347.494426
673.561141,800,349.920488
705.003703,800,352.34362
665.54128,800,354.768609
674.540658,800,357.186807
680.71099,800,361.451348
666.691373,800,363.871831
672.57751,800,366.290373
703.991064,800,368.714791
680.633891,800,371.130113
704.420322,800,373.553681
-72.44468,404,377.608072
-60.439861,430,378.843584
689.570706,800,380.24535
689.800658,800,382.669346
653.152516,800,385.098148
691.95595,800,387.520752
678.410796,800,389.950393
672.665179,800,394.102332
699.938956,800,396.53352
695.275308,800,398.969669
681.812377,800,401.408894
692.023856,800,403.844109
699.865831,800,406.281523
705.59135,800,410.498527
660.489198,800,412.933975
-341.040503,123,415.182884
700.147775,800,415.747439
-310.097572,158,418.005805
666.656025,800,418.661376
681.697353,800,421.101044
687.99738,800,423.545303
678.123202,800,427.768096
693.495967,800,430.203701
681.270786,800,432.642388
662.861131,800,435.075247
656.958692,800,437.516199
673.29475,800,439.952336
688.650506,800,442.396484
680.519139,800,446.621176
676.167332,800,449.06704
677.016724,800,451.505745
675.087974,800,453.948492
690.082876,800,456.389909
724.147229,800,458.829055
715.347637,800,463.057555
694.746532,800,465.497247
693.946576,800,467.932845
689.944159,800,470.371815
702.098298,800,472.809596
672.774229,800,475.243878
671.342536,800,479.452524
123.299307,624,481.840561
-369.336311,101,483.599088
636.448874,800,484.104665
656.090008,800,486.550572
671.796901,800,488.982254
671.566097,800,491.419286
727.551983,800,495.650837
