#{"t_start": 1626433255.8219755, "env_id": null}
r,l,t
-411.441106,159,0.045957
-407.6433,87,0.482643
-383.432668,753,0.908667
-30.731281,800,3.069933
97.128904,800,5.387995
3.015427,800,7.704777
45.227078,800,10.021071
43.227572,800,12.347199
66.261514,800,16.347141
48.986632,800,18.68256
143.919442,800,21.015827
147.922876,800,23.3511
124.529932,800,25.703107
159.477786,800,28.057463
294.355379,800,31.614519
208.934831,800,33.955113
338.722952,800,36.299028
-75.101341,635,38.59729
399.873289,800,40.501704
341.244723,800,42.845284
365.312953,800,46.871106
392.803113,800,49.217894
401.449552,800,51.566479
401.4203,800,53.931666
372.853908,800,56.29179
409.059384,800,58.649891
404.467591,800,62.717793
425.823307,800,65.071382
411.13898,800,67.42528
456.770554,800,69.786144
429.634109,800,72.150546
441.536805,800,74.506259
430.212055,800,76.864113
452.477662,800,80.915498
434.72965,800,83.277438
432.096942,800,85.636004
465.828714,800,87.996342
460.763964,800,90.353923
447.005233,800,92.714848
452.546523,800,96.819771
456.477523,800,99.176033
465.702671,800,101.54219
476.204917,800,103.899789
471.599677,800,106.268
487.543267,800,108.638212
473.310656,800,112.697122
498.628558,800,115.061434
560.494897,800,117.432713
541.435174,800,119.79806
530.364684,800,122.153475
564.089382,800,124.509613
604.372187,800,128.53627
569.342948,800,130.894165
595.726778,800,133.251016
580.386669,800,135.609514
626.005127,800,137.968457
607.628422,800,140.322519
588.802631,800,142.681445
627.321835,800,146.789815
624.782514,800,149.145865
611.953332,800,151.509173
636.49023,800,153.868887
660.004865,800,156.236944
651.246372,800,158.605841
626.366811,800,162.656817
656.857924,800,165.031218
639.293801,800,167.413645
612.913469,800,169.796521
622.954032,800,172.193368
670.215074,800,174.594805
615.438234,800,178.765218
645.284248,800,181.178056
626.08354,800,183.585116
622.525624,800,186.011508
617.769696,800,188.447339
639.711558,800,190.882411
655.265778,800,195.010646
642.625242,800,197.454217
647.516899,800,199.904854
654.2781,800,202.357578
666.231946,800,204.810076
607.929899,800,207.271502
647.324739,800,209.738872
616.983405,800,213.867212
623.243682,800,216.334878
619.988671,800,218.804039
636.841874,800,221.273922
665.735506,800,223.748893
623.758082,800,226.215959
644.936977,800,230.380123
644.85454,800,232.860236
608.751964,800,235.336269
662.346764,800,237.808218
634.684048,800,240.283816
616.547873,800,242.763374
581.851423,800,246.935966
646.627663,800,249.409127
638.814561,800,251.882045
661.691385,800,254.357973
640.534992,800,256.835028
611.60941,800,259.316268
594.713129,800,263.481491
593.657488,800,265.958046
641.458152,800,268.439016
605.947265,800,270.91455
648.819945,800,273.396945
610.818103,800,275.878578
638.98447,800,278.357933
668.270459,800,282.517003
573.785468,800,285.000142
615.978272,800,287.481037
617.839044,800,289.962402
599.540069,800,292.441098
618.351326,800,294.919116
629.237847,800,299.07859
593.113436,800,301.557671
643.604732,800,304.041513
636.658879,800,306.527591
651.655399,800,309.012086
644.347474,800,311.508939
641.645594,800,315.691524
597.837072,800,318.177884
658.412971,800,320.671283
598.052355,800,323.159084
662.450517,800,325.6442
597.030396,800,328.125886
636.297391,800,332.287962
651.862156,800,334.77418
657.741186,800,337.259091
627.730678,800,339.749629
659.067117,800,342.237799
623.393881,800,344.725483
621.992196,800,347.206844
658.654823,800,351.356293
631.49486,800,353.84602
638.900519,800,356.329934
628.806778,800,358.81723
576.528325,800,361.304531
658.374887,800,363.796336
649.214095,800,367.962856
650.186165,800,370.457799
641.094906,800,372.947134
609.78163,800,375.437405
641.446781,800,377.929772
642.897452,800,380.419377
603.914207,800,384.597729
644.31531,800,387.091029
683.411115,800,389.58538
611.075163,800,392.076812
635.90003,800,394.565362
642.614605,800,397.054457
634.448794,800,401.227096
621.598523,800,403.722579
656.131442,800,406.219443
642.676711,800,408.717996
658.323573,800,411.216768
636.266391,800,413.718863
652.956213,800,416.22221
669.158315,800,420.398827
649.661162,800,422.90014
646.607916,800,425.401005
634.39861,800,427.900334
648.741022,800,430.393631
601.964779,800,432.889795
646.61921,800,437.077207
608.595641,800,439.581953
632.44163,800,442.08599
627.253596,800,444.58713
603.298447,800,447.08612
640.611299,800,449.592153
632.147098,800,453.783255
614.204563,800,456.286812
624.403947,800,458.785651
610.932687,800,461.285718
620.874247,800,463.77922
618.418927,800,466.277514
633.03585,800,470.473113
652.961015,800,472.969215
632.956238,800,475.468136
619.419881,800,477.969913
625.295583,800,480.471344
634.538728,800,482.968064
605.969137,800,485.466106
622.642318,800,489.653014
652.781778,800,492.157134
591.059474,800,494.662508
623.587809,800,497.16736
605.419674,800,499.673591
597.481456,800,502.172657
619.07561,800,506.373298
