#{"t_start": 1626719005.5201197, "env_id": null}
r,l,t
-10.107969,800,1.819906
-402.554711,116,3.247848
1.984629,800,3.698014
-304.958118,381,5.180676
37.613171,800,6.091284
135.371684,800,7.72321
-0.17306,800,9.358915
236.287357,800,13.384886
309.946357,800,15.025693
172.694208,800,16.682268
171.504982,800,18.318678
-230.923663,569,19.879994
-311.122556,454,20.970446
267.638389,800,21.96616
-214.657202,563,24.76045
364.84312,800,25.947973
348.818351,800,27.511484
-318.774149,274,28.90747
-295.547822,294,29.443338
339.118465,800,30.166522
385.781687,800,31.742986
416.874412,800,33.369813
395.725926,800,37.266834
-240.125341,375,38.763973
461.874553,800,39.649521
477.066808,800,41.231544
463.070703,800,42.840055
494.965741,800,44.503726
73.420482,708,46.168342
564.852569,800,48.910233
85.950505,706,50.603542
561.721607,800,52.219741
592.48054,800,53.8523
611.392421,800,55.59114
623.481773,800,57.227936
596.851649,800,61.297322
688.207199,800,63.040831
643.287525,800,64.684782
656.968581,800,66.395488
632.255736,800,68.03741
634.372962,800,69.653038
669.423838,800,73.650635
664.923905,800,75.276819
662.370374,800,76.87168
662.860919,800,78.469264
674.862478,800,80.18126
650.79829,800,81.806097
623.791783,800,83.592321
666.12718,800,87.585779
608.165875,800,89.322058
702.177238,800,90.986479
681.889383,800,92.600966
652.618013,800,94.165206
653.798528,800,95.72415
666.591825,800,99.548755
582.422216,800,101.189595
653.754674,800,102.820207
604.545696,800,104.394881
675.784772,800,105.97023
648.687753,800,107.532105
683.885195,800,111.365073
669.356862,800,112.990418
671.880284,800,114.598741
664.989147,800,116.189357
677.288067,800,117.771466
617.169456,800,119.344806
656.590283,800,123.169463
644.034769,800,124.861876
636.747322,800,126.497615
644.784311,800,128.102777
675.003554,800,129.704647
129.207299,737,131.288562
163.750302,738,132.763352
613.437397,800,136.551841
675.868284,800,138.372993
668.760366,800,140.20327
670.629654,800,141.825358
671.415758,800,143.595596
671.900181,800,145.23526
644.617699,800,149.701726
662.833978,800,151.290895
680.574193,800,152.890904
677.457732,800,154.615658
621.612291,800,156.193932
679.240174,800,157.811151
658.59574,800,161.593307
645.927174,800,163.167269
667.797677,800,164.731592
657.908296,800,166.29966
677.810572,800,167.867932
673.289878,800,169.435126
659.460291,800,171.008811
655.090195,800,174.78966
645.716353,800,176.381837
632.538052,800,177.952459
684.116862,800,179.52342
683.983862,800,181.110463
661.990589,800,182.717858
643.448569,800,186.546362
641.560851,800,188.156493
586.462446,800,189.741124
653.751714,800,191.330859
623.744538,800,192.934752
696.583652,800,194.565818
649.617851,800,198.510935
664.146192,800,200.141116
657.122623,800,201.762243
656.337472,800,203.388146
670.666084,800,205.010339
655.674753,800,206.639078
687.527852,800,210.287093
665.340189,800,211.87587
662.461258,800,213.450204
667.27408,800,215.025571
-402.478694,22,216.363266
622.639167,800,216.640779
653.191016,800,218.210422
673.477978,800,219.786093
661.82425,800,223.558866
663.833799,800,225.173012
643.775182,800,226.785583
663.136967,800,228.413694
681.695728,800,230.042507
694.711562,800,231.675657
659.776683,800,235.565634
614.868819,800,237.178009
655.484312,800,238.795253
676.18587,800,240.408563
653.200214,800,241.998615
645.381441,800,243.592203
635.96004,800,247.459661
687.428299,800,249.069726
28.927984,547,250.600131
633.310852,800,251.765424
-145.351268,356,253.235761
657.782449,800,254.096431
669.634181,800,255.700799
704.533196,800,259.607525
672.449985,800,261.272202
657.315111,800,262.88905
646.342021,800,264.46965
656.354131,800,266.051493
631.798313,800,267.631049
685.773729,800,271.491396
672.181396,800,273.07965
663.318082,800,274.678895
639.972214,800,276.297826
669.762192,800,277.908762
-11.233663,527,279.431284
632.747411,800,280.584046
636.766132,800,284.54836
672.272502,800,286.188724
628.180926,800,287.823325
624.09994,800,289.444144
641.500333,800,291.069377
633.135399,800,292.698043
646.538361,800,296.648152
630.273224,800,298.294178
647.497963,800,299.926471
628.581337,800,301.55668
633.350561,800,303.189756
645.661729,800,304.819181
616.697324,800,306.452417
663.06287,800,310.463194
624.093332,800,312.093071
645.110121,800,313.727244
633.691099,800,315.366596
632.267222,800,316.995653
-191.146194,327,318.453943
635.148861,800,322.132411
596.911628,800,323.723761
638.661849,800,325.296674
621.609079,800,326.868749
635.219567,800,328.44226
653.975964,800,330.026474
648.86007,800,331.602257
658.378949,800,335.399393
606.428196,800,336.987446
623.962075,800,338.555362
609.588105,800,340.124106
624.242353,800,341.704241
600.653385,800,343.295064
114.114934,674,347.060385
668.331956,800,348.444053
643.401074,800,350.034254
624.786612,800,351.617819
683.774667,800,353.20931
646.993647,800,354.809861
653.807859,800,358.685441
668.172854,800,360.282375
645.066492,800,361.871006
659.651156,800,363.465528
627.471063,800,365.049066
617.129234,800,366.64129
642.445037,800,368.226392
650.601241,800,372.097888
