#{"t_start": 1626107331.8090606, "env_id": null}
r,l,t
-17.60306,800,0.209846
-397.636499,136,2.448478
-403.000825,152,2.865083
179.397934,800,3.491176
251.746611,800,5.908453
-332.783768,220,8.176898
-351.391953,157,8.830673
391.830432,800,9.477721
329.45689,800,11.9109
364.813737,800,16.050681
370.891134,800,18.503359
381.039997,800,20.95846
-308.861464,287,23.256784
353.102815,800,24.274292
-323.209028,197,26.548751
451.913987,800,27.309075
447.434736,800,29.760638
-33.869152,688,33.746133
498.779106,800,35.894444
-156.992039,470,38.263407
84.395378,792,39.794196
583.551959,800,42.239253
594.048885,800,44.68819
672.778171,800,48.856559
543.493342,800,51.323701
-204.491163,274,53.648212
89.801409,604,54.579093
-230.536905,267,56.356699
-359.495342,132,57.152737
-163.118258,374,57.628069
685.208938,800,58.900557
1.68208,492,61.304078
722.47562,800,62.909226
686.740693,800,67.072784
701.034436,800,69.546313
645.228994,800,72.029354
688.9381,800,74.507974
703.622711,800,76.986866
677.709422,800,79.46167
682.538678,800,83.611513
712.203315,800,86.089908
-401.765792,17,88.359487
693.251857,800,88.612536
666.276437,800,91.110015
718.143662,800,93.586995
688.242774,800,96.057076
700.970955,800,100.234736
730.151127,800,102.711166
707.535808,800,105.192199
699.867018,800,107.685257
709.708255,800,110.162298
702.172242,800,112.6589
691.478401,800,115.148436
695.755618,800,119.334455
675.965594,800,121.834429
708.858245,800,124.326886
697.328487,800,126.816361
713.979359,800,129.298965
698.95439,800,131.788278
695.015773,800,135.959087
714.326363,800,138.454556
720.328262,800,140.940069
691.80364,800,143.427486
674.131997,800,145.911759
687.369819,800,148.397548
717.306388,800,152.59503
704.362835,800,155.084533
671.282139,800,157.587077
715.837013,800,160.081006
716.225801,800,162.591453
662.467255,800,165.09207
700.395622,800,169.287192
689.230473,800,171.796374
687.472514,800,174.312536
702.485322,800,176.854484
691.23217,800,179.38366
686.531578,800,181.909292
-297.147544,169,184.299322
657.759762,800,186.686406
708.37638,800,189.241988
689.637905,800,191.814573
686.709764,800,194.388099
706.951341,800,196.970225
668.845988,800,199.562774
678.878895,800,202.116191
697.978472,800,206.432921
700.051579,800,209.045957
697.452408,800,211.650481
701.83486,800,214.31665
681.551507,800,216.919667
686.263017,800,219.58575
694.072776,800,223.889537
688.647972,800,226.552379
-187.745095,279,229.025511
661.081934,800,230.071851
667.817672,800,232.688211
689.718184,800,235.292686
674.305268,800,237.900705
673.785457,800,242.226756
660.874847,800,244.842724
681.071435,800,247.449823
-400.42161,40,249.873455
662.234041,800,250.205094
688.227436,800,252.812559
695.9297,800,255.432778
-374.063351,91,257.873286
667.415688,800,260.044531
702.356917,800,262.66256
677.254086,800,265.278163
696.056765,800,267.903334
651.037875,800,270.526367
715.214136,800,273.141735
682.500256,800,277.452902
-236.488862,233,279.905538
709.091064,800,280.804321
680.207666,800,283.366171
694.548264,800,285.944431
702.901091,800,288.513729
674.004476,800,291.080083
693.720663,800,295.350526
-401.640545,37,297.692334
713.009426,800,298.01844
664.743917,800,300.607494
700.68059,800,303.241366
-400.088782,45,305.660719
660.733309,800,306.00507
717.115333,800,308.634872
676.673331,800,312.94418
689.602393,800,315.567979
668.515768,800,318.209179
694.332339,800,320.842842
704.938162,800,323.474158
690.027507,800,326.104575
680.749683,800,328.717693
662.41205,800,333.043595
687.344681,800,335.661537
688.764361,800,338.28645
681.79186,800,340.919801
682.557493,800,343.539918
674.726929,800,346.152681
647.496765,800,350.463891
682.967346,800,353.097682
667.06442,800,355.717623
687.901187,800,358.338903
682.037799,800,360.978199
707.492871,800,363.600186
663.60348,800,367.907679
658.820044,800,370.521188
675.281417,800,373.14002
698.04916,800,375.771123
675.796816,800,378.396642
699.686721,800,381.033895
714.233946,800,385.345434
694.40778,800,387.977996
662.846271,800,390.608198
688.792431,800,393.268332
699.198483,800,395.917896
181.885399,670,398.533028
672.933998,800,400.764247
699.551803,800,405.097266
664.094859,800,407.734207
689.176827,800,410.37548
670.829509,800,413.00796
655.312871,800,415.647458
688.238591,800,418.27969
652.659043,800,422.614892
713.127741,800,425.25734
696.563823,800,427.889772
687.567967,800,430.521172
662.714112,800,433.152669
677.851003,800,435.790145
729.496236,800,440.112525
661.375304,800,442.746342
704.106339,800,445.393707
669.66944,800,448.038261
660.538929,800,450.721796
-118.089962,352,453.284425
712.165313,800,454.584928
671.687151,800,458.960055
700.435153,800,461.614848
704.456614,800,464.302068
708.981581,800,466.983261
710.591644,800,469.629901
730.502184,800,472.299634
-339.682431,122,474.753008
701.480247,800,477.038453
702.987526,800,479.675431
688.653279,800,482.338652
695.726453,800,484.974852
-21.490019,464,487.524794
723.710898,800,489.151533
708.682414,800,491.78484
699.795981,800,496.111452
691.029302,800,498.737788
-139.078088,326,501.243741
-325.219824,143,502.275093
697.328011,800,502.91437
701.96517,800,505.552273
722.180204,800,508.193425
674.210998,800,512.530432
-359.104752,116,514.988582
664.718573,800,515.546232
678.06827,800,518.169014
677.53966,800,520.801677
677.396217,800,523.442969
711.671866,800,526.071944
704.613309,800,528.698604
706.962289,800,533.027202
