#{"t_start": 1626103358.3327885, "env_id": null}
r,l,t
-0.47083,800,0.283444
-439.392903,223,3.855299
-56.615099,800,5.277231
-413.764237,121,9.14517
-49.343784,800,10.054004
8.432018,800,14.328575
4.381585,800,18.564685
1.554915,800,26.981005
-1.003956,800,31.209717
-0.101895,800,35.443252
-0.229563,800,39.795533
-0.352402,800,44.140907
0.208898,800,48.611727
-0.038398,800,53.061056
-0.056047,800,60.431951
1.517066,800,64.809952
25.409664,800,69.199743
36.515305,800,73.482568
42.03967,800,77.743278
49.151841,800,82.005445
25.206656,800,88.89489
76.432442,800,93.746336
73.597461,800,98.916637
74.560949,800,105.225661
70.417083,800,110.663416
56.669918,800,116.496951
82.602951,800,123.891701
77.884548,800,128.227442
102.968286,800,133.066926
90.211561,800,137.460379
93.100534,800,141.894342
89.67313,800,145.941025
117.009829,800,151.692516
119.767769,800,155.198282
121.66236,800,158.716252
128.978353,800,162.646319
125.27433,800,166.146416
125.780889,800,171.027489
132.730246,800,174.798569
137.500202,800,180.891869
135.649497,800,184.834828
137.226379,800,188.657362
136.133945,800,192.452506
144.922612,800,196.234904
153.312517,800,200.01859
138.931506,800,206.874713
137.665073,800,212.216596
151.157326,800,216.083333
134.506232,800,219.983141
131.51708,800,223.893435
152.071464,800,227.704195
146.321722,800,234.920715
125.511074,800,239.764
142.027259,800,244.257566
136.526925,800,248.52885
145.852722,800,252.137741
143.69495,800,255.585379
150.723942,800,261.29748
150.378895,800,264.737698
140.598205,800,268.269562
149.122079,800,271.796672
147.451003,800,275.183788
142.919365,800,278.291269
150.468508,800,281.406615
143.853922,800,286.497029
144.354245,800,290.137785
149.042255,800,293.781419
144.426617,800,297.443259
149.88494,800,301.110001
136.753497,800,304.801589
161.215566,800,310.953776
146.611052,800,314.665862
148.179588,800,318.363867
165.753559,800,322.097512
147.913396,800,325.825098
134.472181,800,329.557011
147.599883,800,335.599578
141.595766,800,339.38416
152.781606,800,343.333327
152.457398,800,349.350497
147.801554,800,353.526307
148.207105,800,357.770196
151.038365,800,367.279254
142.867992,800,374.306445
147.223571,800,380.537817
140.991987,800,384.985446
143.279924,800,389.472784
142.482402,800,393.952525
150.89618,800,398.454823
143.191799,800,405.738714
155.4796,800,410.332309
146.181405,800,415.041203
145.034697,800,420.224143
141.600041,800,424.728014
151.99064,800,431.066427
149.02184,800,438.84562
150.29002,800,443.364761
150.703175,800,447.784224
141.976928,800,452.680047
147.193217,800,457.341444
136.94878,800,462.437695
136.712249,800,470.57207
149.582953,800,477.176149
144.731682,800,482.937179
140.91186,800,486.716173
142.597907,800,490.495565
149.2978,800,494.30212
157.645457,800,500.056497
135.053899,800,503.954909
149.566266,800,511.014677
141.579195,800,515.204552
161.214432,800,519.308646
151.203991,800,524.051634
142.409935,800,528.894074
138.982304,800,537.157454
151.134759,800,542.280094
145.792764,800,546.044339
143.695648,800,549.763726
139.070932,800,553.400331
145.896266,800,557.144332
157.834516,800,563.01597
146.44003,800,568.669033
147.64901,800,573.400133
148.3764,800,580.43694
141.880285,800,585.115918
142.309522,800,589.458926
145.017387,800,595.99647
148.614073,800,601.02346
151.373288,800,607.49982
152.029867,800,613.769288
163.365648,800,617.848936
140.782403,800,625.443898
139.121043,800,633.312822
149.861556,800,637.408987
147.408644,800,641.501304
163.531642,800,645.608513
137.880592,800,649.732969
145.392062,800,656.040634
136.424587,800,661.318566
155.275962,800,667.662191
147.822463,800,671.756657
141.65701,800,675.829631
141.834567,800,679.940798
146.803816,800,685.692461
146.714199,800,692.743694
158.515562,800,700.131631
151.187029,800,704.259171
138.540936,800,708.45393
151.552755,800,712.655681
138.993835,800,716.787219
148.397676,800,721.223648
142.792452,800,727.64236
152.838033,800,731.780387
144.561696,800,735.91094
168.030906,800,740.045979
145.559944,800,744.2086
145.800632,800,749.434047
140.374753,800,760.231038
135.184824,800,766.140068
151.495841,800,772.914567
147.72217,800,777.503974
152.203988,800,784.342196
151.969262,800,791.297118
162.356008,800,800.389447
159.471492,800,810.644162
146.998363,800,818.16721
139.272572,800,825.438498
153.581989,800,832.218154
150.13638,800,838.371589
154.954654,800,846.85395
151.483457,800,853.681752
155.513904,800,857.972337
152.574647,800,862.112418
144.71437,800,866.283222
154.993708,800,870.465522
154.759966,800,874.753088
147.072815,800,881.061624
145.590674,800,885.147611
154.716976,800,889.349271
155.189511,800,893.502234
148.445239,800,897.964506
148.093054,800,902.057218
149.023304,800,908.494141
149.018771,800,912.600134
161.467996,800,916.679182
142.339458,800,920.77127
148.135153,800,924.836889
143.413671,800,928.987258
155.131723,800,933.082307
141.198302,800,939.4284
