#{"t_start": 1625580974.7843673, "env_id": null}
r,l,t
-401.991851,29,0.012732
-411.347076,118,0.108248
-8.931857,800,0.585141
-15.800942,800,2.279504
-398.08806,90,3.745122
114.184114,800,4.170971
94.117173,800,5.881563
166.800737,800,7.537821
-410.345186,200,9.023647
258.776435,800,11.298972
343.685307,800,12.993334
-286.444353,359,14.535518
-136.42788,653,15.392206
366.545393,800,16.824841
345.952483,800,18.504283
372.160256,800,20.201246
-118.32796,721,23.227826
-188.807397,458,24.714875
-112.381408,631,26.137008
359.027176,800,27.52652
-216.312332,411,29.081126
434.009699,800,30.083466
450.671679,800,31.747321
468.95055,800,33.399622
477.045053,800,37.48484
532.070917,800,39.208393
535.341807,800,40.932305
-16.759317,509,42.569071
585.29557,800,43.776148
616.586402,800,45.515171
608.062227,800,49.712301
591.583065,800,51.41581
614.988195,800,53.109168
657.207745,800,54.815367
692.302984,800,56.52858
687.033789,800,58.237502
693.743191,800,59.919712
683.458979,800,64.073955
675.54291,800,65.724067
726.934702,800,67.377883
708.869358,800,68.983762
695.837393,800,70.634477
732.182084,800,72.315594
702.111363,800,76.582859
-401.559541,13,78.03778
713.717148,800,78.331772
715.73761,800,80.000598
701.192261,800,81.615057
716.271901,800,83.310782
690.306101,800,84.956372
701.577616,800,89.250107
8.384528,531,90.907073
726.325424,800,92.130967
698.186834,800,93.852958
678.259621,800,95.549831
716.939125,800,97.191212
719.709025,800,98.851508
685.092552,800,103.431402
713.202427,800,105.133942
675.97843,800,106.818502
709.357373,800,108.479607
696.416007,800,110.151595
725.738257,800,111.8175
-349.269663,123,113.323746
703.40745,800,116.413732
705.468435,800,118.16553
698.289544,800,119.863359
693.189016,800,121.545081
706.357421,800,123.283079
704.489349,800,124.950799
657.53257,800,129.019021
691.283453,800,130.653929
708.652328,800,132.296534
682.751947,800,133.94487
671.745687,800,135.583861
683.331599,800,137.221103
704.884572,800,141.005128
-399.050708,44,142.420709
688.373225,800,142.770262
711.728786,800,144.455901
130.354391,674,146.071627
-256.569953,215,147.318959
627.486675,800,147.934737
119.254522,634,149.518988
-67.633861,442,150.745728
127.560042,667,154.177039
684.774749,800,155.719963
-342.53327,143,157.256633
733.780696,800,157.797104
666.420155,800,159.683532
701.517891,800,161.753858
693.879713,800,163.599577
686.813597,800,168.058969
671.409207,800,169.791987
708.994643,800,171.487381
699.57364,800,173.210075
670.739596,800,174.952961
705.096098,800,176.672359
716.459527,800,180.861886
701.238622,800,182.556067
695.751878,800,184.269773
701.959572,800,185.974837
662.204802,800,187.649464
670.045408,800,189.495149
716.39521,800,191.309318
705.922625,800,195.414857
673.690052,800,197.100664
710.997455,800,198.777029
703.164956,800,200.50033
-399.770669,37,201.983599
719.123564,800,202.299609
697.791959,800,204.003202
-400.454958,37,205.457026
711.16858,800,208.252031
677.669236,800,209.940923
672.332099,800,211.621923
679.726813,800,213.269949
693.123429,800,214.91659
685.160197,800,216.585536
701.007171,800,220.841866
707.459945,800,222.514244
691.86728,800,224.182903
694.021369,800,225.870188
664.263176,800,227.686982
-272.46204,194,229.251857
716.435188,800,229.866123
682.826804,800,234.186336
672.194403,800,235.941542
691.859766,800,237.817083
656.675885,800,239.754721
688.808058,800,241.630157
662.370693,800,243.318814
681.233751,800,247.502857
640.88498,800,249.300349
683.88448,800,251.012988
638.788907,800,252.710723
645.914942,800,254.397675
673.689091,800,256.047698
686.920045,800,257.616529
710.924062,800,261.621045
669.268699,800,263.322037
655.970265,800,265.083812
663.183824,800,266.997183
661.627063,800,268.698564
663.257788,800,270.656748
677.661984,800,275.535174
643.747419,800,277.181096
669.021269,800,279.036168
706.200462,800,280.894069
702.195938,800,282.616296
647.023581,800,284.345909
696.068168,800,288.500931
665.492837,800,290.218658
682.893001,800,291.919445
668.106275,800,293.632394
691.76783,800,295.370075
680.958338,800,297.096719
679.059247,800,301.42476
-18.3718,470,303.043054
26.820213,545,304.072319
667.15,800,305.327454
670.185559,800,307.041737
703.627282,800,308.749626
722.111396,800,310.622935
679.946258,800,315.507806
694.832398,800,317.283763
-346.010709,132,318.793352
639.48999,800,319.352227
687.601231,800,321.096317
212.623217,734,322.843467
626.937994,800,324.433999
662.076643,800,328.949867
659.402319,800,330.836737
666.300777,800,332.589749
678.654332,800,334.327183
49.653459,544,336.088411
641.408751,800,337.390928
700.081522,800,339.18967
11.095772,515,343.403088
690.102752,800,344.86542
719.058413,800,346.617192
679.694529,800,348.377777
681.317686,800,350.248428
664.730645,800,352.000717
683.80709,800,353.741307
669.874111,800,358.387873
682.072971,800,360.242887
689.433458,800,362.255959
694.979838,800,364.50901
665.307238,800,366.710621
679.998375,800,369.009134
667.193343,800,374.637697
672.337436,800,376.405882
39.586701,566,378.068465
657.464085,800,379.361587
713.544456,800,381.084239
688.320794,800,382.796641
686.667537,800,386.89906
722.785194,800,388.647842
691.009226,800,390.364688
669.243049,800,392.10942
693.174152,800,393.84363
686.837771,800,395.54389
243.828867,753,397.227959
682.375855,800,401.26091
