#{"t_start": 1625581377.5220568, "env_id": null}
r,l,t
-402.430224,17,0.009291
-402.527064,24,0.049495
-393.630826,82,0.124161
-410.10751,105,0.308664
-406.032741,110,0.53274
-413.833903,125,0.769695
-487.463977,588,1.185657
-399.169175,129,2.284994
-400.823374,106,2.554845
-383.086471,349,2.859844
-393.25271,97,3.517356
-395.12373,90,3.721536
-403.235408,86,3.909403
-410.178218,55,4.083889
-397.349588,87,4.210696
179.472628,800,4.631137
162.536488,800,6.37202
320.908342,800,8.14335
-306.001651,280,9.689179
364.585092,800,12.32143
-255.895936,475,13.949571
-312.838944,353,14.930861
-249.963744,526,15.743717
-3.267394,800,16.933628
-330.753042,262,18.431074
-228.289554,532,19.057421
368.210355,800,20.266523
301.771844,800,23.160361
331.257835,800,24.846834
-330.828352,199,26.339223
-330.417743,209,26.774789
-334.760909,187,27.213729
-351.080035,162,27.610269
-335.746546,200,27.967459
326.724906,800,28.599921
-90.975023,644,30.241953
-340.442373,184,31.450312
-339.612198,166,31.836776
455.178797,800,32.403117
-257.57824,312,33.940594
-333.777797,193,34.572738
-262.08044,321,35.570481
398.894486,800,36.430359
-305.323342,229,38.006644
360.45937,800,38.753534
357.592369,800,40.580052
403.773329,800,42.534732
383.750305,800,44.470164
416.834701,800,48.758754
415.165469,800,50.478414
429.60538,800,52.194222
477.969056,800,53.928908
420.387067,800,55.7649
429.513339,800,57.787121
435.889401,800,62.098985
448.59095,800,63.804314
479.016621,800,65.482087
522.899671,800,67.152148
538.371394,800,68.920571
565.716576,800,70.768638
584.025861,800,72.486801
595.048264,800,76.69116
557.476406,800,78.439579
646.089385,800,80.131253
645.72478,800,82.202451
725.225458,800,84.041348
679.802125,800,85.800393
707.996889,800,90.255081
659.585346,800,92.244865
0.928784,476,94.351756
698.369155,800,95.572435
714.93129,800,97.594275
706.519379,800,99.554737
-350.969434,128,101.118055
700.197533,800,103.677178
718.972615,800,105.41438
639.980628,800,107.194535
698.74517,800,108.998803
691.466204,800,110.773574
718.689208,800,112.513161
-363.093379,110,114.025553
697.298859,800,114.489761
717.521307,800,118.991625
727.897275,800,120.876513
737.276094,800,122.6025
704.625224,800,124.418491
714.850369,800,126.339899
701.879162,800,128.504755
653.50839,800,134.226544
174.292644,698,136.354695
691.528412,800,138.316323
700.258582,800,140.077666
705.391308,800,141.762953
627.458401,800,143.4571
727.704405,800,147.564257
693.706057,800,149.269508
678.949018,800,150.975611
717.112518,800,152.716222
728.067578,800,154.461055
-378.05731,87,155.959338
698.255291,800,156.378865
47.923772,671,160.704285
701.130025,800,162.38517
725.496207,800,164.338464
683.386622,800,166.401333
726.2903,800,168.365677
739.389395,800,170.356641
672.935137,800,172.1147
721.288589,800,176.346372
661.245565,800,178.05359
665.418413,800,179.758171
-69.569928,409,181.330735
681.275387,800,182.323501
710.124065,800,184.031388
654.954614,800,188.164166
679.108949,800,189.841698
690.736819,800,191.543417
715.796668,800,193.301939
653.935204,800,195.070634
693.277294,800,196.840296
720.398681,800,198.623049
700.691588,800,202.857254
681.571416,800,204.605772
650.887577,800,206.336803
668.884204,800,208.066532
694.101211,800,209.795042
710.754866,800,211.526958
720.354513,800,215.665361
718.161266,800,217.367047
690.667435,800,219.142587
-54.146655,439,220.748804
657.810521,800,221.82326
689.776589,800,223.551068
673.385147,800,225.231291
694.122719,800,229.598984
-338.540234,123,231.111356
-305.41342,165,231.395122
689.112877,800,231.962897
89.674244,599,233.645862
713.908446,800,235.177805
642.58349,800,236.938312
688.65093,800,238.763966
698.281593,800,243.484597
672.567783,800,245.634399
693.288476,800,247.959588
710.239976,800,250.151669
669.551317,800,252.290011
698.101493,800,254.491578
696.420297,800,260.38395
714.642255,800,262.613248
682.371144,800,264.794626
711.747921,800,266.963738
697.947913,800,269.102363
705.581382,800,271.284635
673.212092,800,276.9708
701.512041,800,279.089233
655.079811,800,281.470365
683.407455,800,283.636656
688.277332,800,285.916695
683.650798,800,288.09073
689.150612,800,290.158369
646.451005,800,295.860551
693.994126,800,298.07029
675.163272,800,300.187967
717.723124,800,302.287717
665.938393,800,304.374428
641.274151,800,306.520028
126.004734,610,311.995607
687.802913,800,313.677517
687.179008,800,315.780951
667.549933,800,317.873661
2.740018,503,319.853894
711.807296,800,321.361715
688.638629,800,323.479947
673.860473,800,329.066753
717.945916,800,331.195323
691.164216,800,333.363629
711.505418,800,335.527276
684.077961,800,337.626879
678.615267,800,339.740134
692.162629,800,345.357915
662.470368,800,347.428591
660.666124,800,349.498666
725.109614,800,351.604812
671.964342,800,353.706236
705.696164,800,355.789513
690.832558,800,361.41921
674.771098,800,363.520545
-113.692077,365,365.404408
701.714893,800,366.334826
706.676579,800,368.043786
683.379971,800,369.748384
706.127596,800,371.446311
728.575725,800,375.611489
681.958868,800,377.350788
682.697011,800,379.095834
686.981179,800,380.912019
-268.067268,196,382.443484
681.483284,800,383.027761
234.002155,729,384.660313
718.258068,800,388.843371
651.6102,800,390.510322
679.158521,800,392.162449
694.122302,800,393.794785
727.479778,800,395.458167
730.640397,800,397.165211
693.956612,800,401.25701
707.927112,800,402.935704
715.849523,800,404.5718
701.471815,800,406.218026
700.812094,800,407.847762
689.567212,800,409.476769
691.593988,800,411.117228
674.454421,800,415.087028
705.184702,800,416.728745
711.771711,800,418.426987
718.036708,800,420.131215
721.331284,800,421.831245
706.466403,800,423.535606
739.855847,800,428.468054
