#{"t_start": 1625523708.4154375, "env_id": null}
r,l,t
-430.43755,310,0.110848
-402.391563,64,1.19341
19.697162,800,1.689202
13.143517,800,4.682757
39.871284,800,7.733145
4.134375,800,10.808406
-428.434611,518,13.768463
-65.774808,800,15.84389
-59.740759,800,21.3121
-420.92912,458,24.243771
-29.987124,800,26.095292
-50.754945,800,29.260924
14.652987,800,32.447634
14.45534,800,35.624966
25.704998,800,41.042936
53.47633,800,44.337879
25.916335,800,47.467383
55.75916,800,50.603437
45.318295,800,53.748664
38.00724,800,56.874314
42.318066,800,60.099401
40.446365,800,65.702128
43.902595,800,68.826962
49.573303,800,71.932486
52.588891,800,75.09233
68.682676,800,78.264831
62.102864,800,81.399273
53.22774,800,86.745468
43.351572,800,89.902408
61.957627,800,93.092001
57.858317,800,96.274196
65.749155,800,99.644464
80.11737,800,102.810057
76.516611,800,108.204482
76.897355,800,111.372003
73.722262,800,114.544385
82.914725,800,117.723285
80.667721,800,120.880603
77.2721,800,124.052521
84.620997,800,129.45994
79.627731,800,132.62162
84.337001,800,135.874886
77.02108,800,139.038429
86.97988,800,142.232843
92.108833,800,145.414858
86.646846,800,148.614414
72.603141,800,154.199927
86.748618,800,157.392006
90.236805,800,160.75458
90.091744,800,163.993148
94.755804,800,167.190235
86.988976,800,170.384748
87.694274,800,175.815011
90.12127,800,179.025224
96.282688,800,182.245058
97.959087,800,185.45162
86.264514,800,188.668298
81.816061,800,191.864251
82.950469,800,197.261421
96.306055,800,200.499998
81.378324,800,203.821463
88.224175,800,207.044137
87.304773,800,210.381311
91.861497,800,213.651888
95.920322,800,219.076639
88.592941,800,222.2743
93.656959,800,225.496526
91.600404,800,228.748386
90.044141,800,231.97718
94.225673,800,235.219505
92.542361,800,238.37411
77.79214,800,243.858171
91.705704,800,247.113456
85.971375,800,250.455795
89.522052,800,253.704688
98.14747,800,256.926578
77.401966,800,260.212152
83.794731,800,265.737178
93.47724,800,269.049544
95.246033,800,272.362049
80.283189,800,275.676207
93.667617,800,279.029552
93.875684,800,282.361973
87.910698,800,287.901888
96.944626,800,291.249955
93.040242,800,294.979151
96.714629,800,298.77614
71.517949,800,302.65533
95.776511,800,306.388544
90.813902,800,312.32529
97.535506,800,315.762643
100.157286,800,319.444172
92.103257,800,322.739513
91.757315,800,326.105188
87.50085,800,329.270122
83.5522,800,332.515164
88.981282,800,338.066468
90.178008,800,341.626903
87.148973,800,345.115501
99.340244,800,348.367103
87.220207,800,351.696512
98.97131,800,355.012721
85.073229,800,359.702676
83.439515,800,362.820812
78.154912,800,366.202984
99.356979,800,369.601809
96.489355,800,372.992255
88.940343,800,376.392387
94.635234,800,381.897062
91.328685,800,385.29674
100.693426,800,388.565477
100.476214,800,391.639221
84.593821,800,394.698656
91.479609,800,397.826139
78.195074,800,403.431508
84.104555,800,406.819403
89.899322,800,409.947284
88.14069,800,413.015729
85.027777,800,416.108824
87.817524,800,419.530048
96.579575,800,423.063209
83.870505,800,428.710179
84.806457,800,432.249979
86.690983,800,435.672805
92.031754,800,439.188136
89.442146,800,442.80673
89.081511,800,446.405334
91.210909,800,452.231321
91.56453,800,455.67118
98.709681,800,459.115964
89.855456,800,462.597634
89.982408,800,466.127626
91.640395,800,469.575168
98.008364,800,475.226248
89.500984,800,478.730568
93.149008,800,482.182039
97.27567,800,485.626967
94.769673,800,489.066685
86.681902,800,492.397803
89.262306,800,497.951595
91.79718,800,501.27991
92.870128,800,504.60988
98.762286,800,508.207422
93.957998,800,511.693598
88.261774,800,515.161045
99.344957,800,518.644475
89.47411,800,524.319379
87.495135,800,527.789301
97.936724,800,531.310914
92.080196,800,534.808735
93.033147,800,538.295501
89.758215,800,541.780218
92.568643,800,547.467116
96.04747,800,550.999457
94.142847,800,554.567661
98.288412,800,558.073238
85.973239,800,561.731421
104.169318,800,565.218913
89.605453,800,571.005299
80.606484,800,574.475932
89.674911,800,577.97077
84.341633,800,581.469042
93.638561,800,584.929213
82.01404,800,588.463896
89.007774,800,594.23099
89.725421,800,597.725327
95.975632,800,601.213308
92.751181,800,604.712618
79.125499,800,608.20992
85.935357,800,611.714038
92.395196,800,615.220072
80.865011,800,620.928828
82.883661,800,624.422592
98.385227,800,627.929399
94.993424,800,631.560983
92.898053,800,635.060651
96.742349,800,638.565157
83.580163,800,644.260525
89.49696,800,647.781079
92.728791,800,651.29236
82.612992,800,654.777815
88.912753,800,658.255501
92.411051,800,661.746018
95.558427,800,667.461026
87.310428,800,670.956397
92.456245,800,674.536915
83.824514,800,678.356807
90.42146,800,682.22621
92.551249,800,686.044684
88.749343,800,692.617961
