#{"t_start": 1625526683.856431, "env_id": null}
r,l,t
-401.597295,14,0.011305
-403.493835,59,0.09397
-402.07713,20,0.334651
-406.066133,44,0.434686
-404.917616,35,0.622969
-404.27928,50,0.786831
-100.851434,800,1.331524
-399.017095,303,4.641011
-2.20113,800,6.212403
37.231362,800,9.785938
74.846714,800,13.337853
-398.255771,86,16.573946
-406.148443,58,16.944242
-402.218363,33,17.193201
-392.196896,168,17.399711
-404.696226,48,18.091405
-404.733556,37,18.300523
-407.377712,39,18.466119
-403.078661,28,18.634194
-402.798873,33,18.758415
-389.693809,100,18.960611
-373.4585,170,19.484719
-396.158146,116,20.297575
-399.728115,63,20.849413
-395.324985,96,21.168879
-396.595676,62,21.620997
-412.103957,108,21.928012
-392.513166,91,22.692313
-297.324886,646,23.320762
282.586598,800,26.106105
398.510176,800,29.356975
388.407825,800,32.748155
150.117369,800,36.500901
39.283578,800,40.437971
-224.818876,622,46.423468
216.996169,800,49.565035
367.304009,800,53.02216
350.902128,800,56.512148
-167.058829,598,60.423723
-319.345057,268,63.250788
-275.668022,327,64.582599
-289.042119,281,66.14123
-331.907649,208,67.509959
-350.400329,186,68.520061
-317.537976,223,69.447112
-306.890466,270,71.021187
314.668293,800,72.510615
-332.414355,186,76.156391
384.138719,800,77.356397
393.10771,800,81.003152
424.742027,800,84.622351
416.615521,800,88.246081
-252.06863,311,91.694882
-173.642969,440,94.286547
-223.855551,364,96.270223
-317.64849,244,97.811365
-319.20086,191,98.89547
-331.152132,180,99.728237
-72.733452,590,100.691404
-223.407801,359,103.171198
-315.119011,203,104.675944
363.738704,800,105.82272
454.369221,800,109.45614
475.172213,800,113.112687
492.132078,800,119.644125
-191.486514,445,122.995607
425.103967,800,125.111748
-314.854543,206,128.369974
-260.424108,331,129.328986
-271.071926,262,130.750341
515.247755,800,132.204672
484.031446,800,135.769263
495.305426,800,139.427637
500.733159,800,145.857179
539.532551,800,149.369043
544.122281,800,153.076334
592.794384,800,156.586045
660.324789,800,160.098017
627.139652,800,163.645772
571.89228,800,170.126264
683.835542,800,173.66916
685.574105,800,177.185153
682.642988,800,180.703007
703.114936,800,184.221674
685.147505,800,187.740827
656.798109,800,194.203925
682.641836,800,198.0031
707.166174,800,201.523133
683.900373,800,205.041983
670.658498,800,208.557643
692.286169,800,212.0859
719.265835,800,218.682673
733.313648,800,222.199945
723.445591,800,225.705128
695.832826,800,229.216218
705.448414,800,232.741958
705.482748,800,236.260041
705.673034,800,239.775285
721.522253,800,246.252109
699.557176,800,249.778521
725.241337,800,253.312335
668.667451,800,256.842995
719.009924,800,260.379926
710.225832,800,263.909724
720.74102,800,270.410696
708.413707,800,273.995346
669.385749,800,277.561964
697.140268,800,281.121171
668.024828,800,284.686176
667.628355,800,288.261196
688.53757,800,294.829304
714.418016,800,298.418297
718.42519,800,302.017726
715.417346,800,305.616585
723.169712,800,309.217437
698.843779,800,312.823103
714.605816,800,319.373565
695.656241,800,322.984041
710.641663,800,326.599275
734.838059,800,330.216956
715.548882,800,333.83684
668.816277,800,337.331458
707.859573,800,340.921826
688.046927,800,347.480125
-157.725788,360,350.917147
690.565867,800,352.754662
684.646036,800,356.384954
695.732672,800,359.82671
724.281207,800,363.261665
694.037044,800,366.895611
695.984844,800,373.460852
702.218534,800,377.084584
701.364507,800,380.718764
701.187316,800,384.342647
78.146701,551,387.872398
726.521655,800,390.480969
647.455277,800,397.045521
-346.074621,127,400.399127
698.5834,800,401.270756
691.286677,800,404.904801
704.777737,800,408.544842
683.997883,800,412.185744
682.685945,800,415.952824
719.738408,800,422.53419
699.411286,800,426.174728
679.605577,800,429.816249
680.084062,800,433.460971
712.417505,800,437.101383
73.266011,585,440.655067
643.915629,800,443.408902
713.975685,800,449.974843
692.013447,800,453.620692
729.30824,800,457.255566
710.503764,800,460.886403
668.984611,800,464.571776
697.075048,800,468.220255
700.048801,800,474.794974
682.7195,800,478.438725
665.763715,800,482.067439
691.533403,800,485.712477
683.339531,800,489.358405
660.461346,800,492.993609
711.744789,800,499.632048
695.954621,800,503.280283
674.550293,800,506.911295
665.475518,800,510.544078
661.189979,800,514.1861
697.171268,800,517.831455
694.760718,800,523.213799
263.453299,794,526.852964
-401.63841,16,530.134986
661.045211,800,530.544626
696.645635,800,534.190125
707.502218,800,537.947963
695.687711,800,541.596863
686.099412,800,545.243626
