#{"t_start": 1625583902.428745, "env_id": null}
r,l,t
-7.321569,800,2.071774
-410.494998,84,3.583188
-16.241874,800,3.98391
17.548212,800,5.874163
-402.194399,66,7.409847
215.921538,800,7.791271
-357.02237,410,9.365339
-340.052124,339,10.311213
392.095603,800,11.160069
362.942626,800,15.27674
326.746532,800,17.211228
9.910123,800,19.150685
4.127179,800,20.929126
-343.728356,279,22.554402
294.422003,800,23.386765
271.955835,800,25.107636
355.00233,800,29.680555
418.347492,800,31.465457
377.51356,800,33.251249
435.412319,800,34.975593
477.017163,800,36.682935
-150.200734,405,38.30913
-273.924801,220,39.130625
-221.132892,282,39.627622
-135.548758,426,42.464081
572.439851,800,43.505615
561.605923,800,45.453666
-223.596977,282,47.492526
553.152403,800,48.405766
579.501141,800,50.281724
-335.443734,128,51.902379
-276.58693,217,52.220776
-62.881557,433,52.754041
-315.422359,174,53.721127
647.545755,800,55.52393
-185.284372,289,57.111161
178.448968,741,57.890795
703.833684,800,59.535815
675.179657,800,61.276655
-165.106365,352,62.870723
667.851385,800,63.785537
721.121335,800,68.104266
714.121385,800,69.812505
696.935161,800,71.525265
664.531181,800,73.23644
716.672006,800,74.951074
713.324118,800,76.677324
711.771431,800,78.612058
691.706743,800,83.574009
698.986089,800,85.342839
718.086026,800,87.170806
712.977269,800,88.933977
699.570053,800,90.710407
710.369988,800,92.451771
701.88834,800,96.670339
732.578412,800,98.597027
722.672141,800,100.680235
707.7444,800,102.56745
715.590776,800,104.44318
720.632274,800,106.195986
714.928554,800,110.699123
722.821734,800,112.665025
-401.559944,13,114.175837
719.415549,800,114.453233
679.547714,800,116.337698
-402.166807,40,117.873918
692.622662,800,118.218219
705.150454,800,120.080433
653.399095,800,124.463619
719.075775,800,126.225093
705.318357,800,127.93914
717.368539,800,129.666685
687.950567,800,131.374794
719.218667,800,133.134476
675.38846,800,134.902944
714.307524,800,139.098919
695.370212,800,140.863936
703.885624,800,142.704334
680.593744,800,144.558017
702.240965,800,146.448197
693.390459,800,148.3235
719.398859,800,152.610101
723.219821,800,154.399831
703.590525,800,156.191308
667.191725,800,158.035842
677.810116,800,159.89782
-401.729938,37,161.520678
701.987921,800,161.89175
736.948895,800,166.272598
698.082564,800,168.126957
696.770107,800,170.017436
707.48809,800,171.853274
708.841096,800,173.777365
708.635033,800,175.65802
702.420924,800,179.990017
719.09609,800,181.882378
709.482722,800,183.722497
666.363651,800,185.541724
685.068649,800,187.373614
668.64349,800,189.238018
673.956607,800,193.696006
677.398726,800,195.548222
681.660941,800,197.354956
674.03355,800,199.208688
653.199301,800,201.110765
675.226384,800,203.000506
185.120291,740,204.853024
661.484046,800,209.303879
84.6222,606,211.120473
641.43463,800,212.611911
93.742472,583,214.438825
-287.898883,184,215.732494
646.313387,800,216.390715
683.029846,800,218.285641
677.800158,800,222.718958
638.711596,800,224.501096
644.27762,800,226.261344
670.184145,800,228.064804
712.692976,800,229.797338
-13.281838,472,231.474463
678.287628,800,232.652045
679.221387,800,236.890004
43.391049,511,238.582289
713.079537,800,239.827991
727.03894,800,241.622927
713.056698,800,243.36821
660.548748,800,245.129943
658.637822,800,246.887144
659.128635,800,251.125896
-353.09248,110,252.747274
681.20472,800,253.236268
671.938729,800,254.969324
52.18967,559,256.600401
663.408189,800,257.947515
731.391028,800,259.720894
668.601535,800,263.889231
12.795245,480,265.563718
666.302712,800,266.781685
177.207683,699,268.564074
678.310334,800,270.151674
658.876175,800,271.86067
707.884884,800,273.620053
145.461842,663,277.807262
672.958442,800,279.288502
653.326921,800,281.130486
684.469698,800,282.929096
706.433849,800,284.687902
709.356396,800,286.464818
714.679636,800,290.765838
698.60828,800,292.586623
664.445705,800,294.364902
124.586772,621,296.11743
155.980487,648,297.55775
681.381057,800,299.152186
697.453834,800,300.985629
678.453643,800,305.213951
690.620664,800,306.94328
696.205232,800,308.660889
691.849175,800,310.361751
695.557377,800,312.079021
674.465285,800,313.784962
701.085378,800,318.100302
687.25665,800,319.853758
688.707403,800,321.621626
702.485318,800,323.335242
667.918414,800,325.062953
667.109977,800,326.779907
688.25902,800,331.094303
664.812113,800,332.832763
690.658712,800,334.537298
677.456991,800,336.233245
712.338847,800,337.943788
693.824431,800,339.667252
682.788629,800,341.377197
-90.414613,409,345.341835
694.954768,800,346.354147
692.939719,800,348.083683
685.658673,800,349.816665
694.098684,800,351.573693
645.704689,800,353.292787
268.737025,774,357.485313
674.833155,800,359.205089
108.646541,637,360.898998
689.104248,800,362.310384
663.520726,800,364.005328
674.582147,800,365.727961
657.055301,800,367.442585
705.394242,800,371.570815
683.008001,800,373.299445
656.87633,800,375.022192
648.006459,800,376.748492
651.856585,800,378.459291
-189.680005,296,379.99648
709.224937,800,380.78645
-153.453611,344,384.712214
637.764756,800,385.582139
14.852746,524,387.176866
613.649515,800,388.383072
681.948091,800,390.08663
111.105735,620,391.73709
697.562595,800,393.099247
708.95282,800,397.117203
681.339737,800,398.905612
676.347936,800,400.670105
671.277889,800,402.441275
71.754688,572,404.125677
702.470389,800,405.419394
698.565843,800,407.157365
649.366998,800,411.550101
