#{"t_start": 1625580180.5876968, "env_id": null}
r,l,t
-400.104123,2,0.003693
-401.249491,7,0.009791
-373.429182,51,0.043361
21.020068,800,0.402757
370.26371,800,2.199984
323.11536,800,3.848542
-337.599369,199,5.310727
-367.216386,160,5.71304
-400.126727,34,6.005516
-399.697995,3,6.064999
-333.547556,137,6.113783
-398.028686,3,6.353338
-388.160688,14,6.364874
-392.644914,75,6.412931
-335.343119,287,6.635321
169.51909,800,7.45143
-146.263826,516,9.397558
-281.403254,204,10.367457
-329.188871,216,11.460459
416.626157,800,12.096018
466.360717,800,13.733244
490.319299,800,15.75285
-337.519693,108,17.147611
505.534247,800,17.581216
485.501574,800,19.194846
422.245139,800,22.665082
-356.867138,72,24.323898
430.664145,800,24.700531
505.667009,800,26.350854
536.199042,800,28.454386
-345.203959,67,30.282655
578.650236,800,30.648243
-385.920178,17,32.014894
-22.506906,532,32.207342
568.345667,800,33.383965
659.242459,800,36.865363
113.266679,628,39.119806
696.786072,800,40.800726
197.562701,694,42.589087
-25.656029,439,44.032378
771.031431,800,45.21693
-399.213327,5,46.686829
758.142844,800,46.976334
709.943363,800,51.372464
-339.513076,115,52.988127
770.280458,800,53.506747
769.224407,800,55.279181
785.698035,800,57.052343
695.302671,800,58.781087
751.627065,800,60.620117
719.483624,800,65.136387
723.787386,800,66.980916
747.86827,800,68.806605
749.599292,800,70.629174
756.89705,800,72.48923
742.361591,800,74.347899
686.829045,800,78.837026
739.185442,800,80.683532
711.098732,800,82.516149
732.637197,800,84.356846
-401.030265,10,85.921636
750.08471,800,86.227191
758.668317,800,88.098396
716.634332,800,89.961832
771.24101,800,94.450582
724.448009,800,96.437125
766.937593,800,98.251552
742.546017,800,100.092112
725.081773,800,101.918848
736.445039,800,103.768328
721.360038,800,108.007698
687.446645,800,109.878971
734.331194,800,111.678242
116.160716,548,113.444873
773.089389,800,114.813917
696.377793,800,116.63629
751.870285,800,120.982154
736.297009,800,122.783222
719.926942,800,124.584899
720.531106,800,126.38314
731.834383,800,128.244066
692.990505,800,130.066034
717.979523,800,131.892943
716.757679,800,136.309624
772.0229,800,138.196412
-401.428779,20,139.737781
743.017088,800,140.054598
732.736959,800,141.916409
751.229646,800,143.739468
713.640099,800,145.546511
751.852307,800,149.964329
719.319355,800,151.84685
695.582747,800,154.159874
727.778687,800,155.94858
753.274351,800,157.817253
740.912679,800,159.727359
754.466891,800,164.427101
725.022723,800,166.495447
708.129048,800,168.294721
-207.134357,255,170.23291
724.966547,800,171.098202
717.224679,800,173.374129
699.884807,800,175.098423
707.255769,800,179.456252
729.035936,800,181.376644
760.12341,800,183.187543
739.098949,800,184.898086
725.303814,800,186.618075
199.458239,662,188.30792
761.988865,800,192.198215
751.134792,800,193.922454
674.472153,800,195.642292
691.709398,800,197.362105
715.469256,800,199.071856
745.366284,800,200.747895
758.01776,800,202.418053
684.130119,800,206.451209
747.954479,800,208.130571
752.082446,800,209.797942
763.393173,800,211.473463
750.680043,800,213.153107
716.68286,800,214.891405
755.336996,800,219.21559
795.413955,800,221.086437
694.752774,800,222.852846
703.530693,800,224.812651
746.415267,800,226.675104
723.279713,800,228.417181
706.821189,800,232.693255
717.049407,800,234.420324
690.676868,800,236.203439
740.380686,800,238.008942
750.394687,800,239.921453
725.067387,800,241.780059
-2.636592,453,243.52063
724.919706,800,247.218202
739.365745,800,248.979137
684.933782,800,250.717259
768.802112,800,252.49613
721.689408,800,254.232552
749.710824,800,255.937801
691.46544,800,260.033282
-97.898702,344,261.589877
714.3669,800,262.495738
750.324608,800,264.272202
750.748068,800,266.124792
673.510073,800,267.969942
754.165128,800,269.794348
-333.49893,96,271.319282
-102.007575,321,274.049992
723.032001,800,274.910081
-131.623121,323,276.445613
-387.590773,23,277.024066
762.15537,800,277.318972
720.64944,800,278.994107
759.464895,800,280.700594
758.837117,800,282.482871
674.439495,800,286.783921
716.822148,800,288.528343
715.560738,800,290.266437
746.103715,800,291.990276
712.547116,800,293.736332
766.038293,800,295.479358
728.840826,800,299.762444
729.110973,800,301.573147
718.747369,800,303.290306
748.988623,800,305.007036
730.417836,800,306.696109
731.991066,800,308.415248
712.602069,800,310.080286
202.617004,655,314.117713
735.642159,800,315.514766
741.755305,800,317.269168
754.623166,800,318.911844
702.603328,800,320.695186
717.833183,800,322.387447
713.271384,800,326.132759
761.08399,800,327.827226
-399.911015,6,329.277275
727.945646,800,329.549933
-400.986264,4,331.028996
688.828517,800,331.32869
-165.117321,278,332.940193
759.795823,800,333.718328
758.967593,800,335.583778
745.744068,800,339.871108
753.125401,800,341.56411
727.740731,800,343.340859
718.783478,800,345.075082
749.7337,800,346.787497
-397.75045,4,348.224254
-401.158763,7,348.233804
676.922127,800,348.492241
708.829752,800,352.141909
-399.964303,8,353.524393
43.833954,457,353.676781
755.087486,800,354.711559
732.379517,800,356.404389
697.979283,800,358.064507
736.316624,800,359.922152
730.698717,800,361.849881
668.537022,800,366.23198
675.38453,800,367.912553
-400.432881,8,369.341083
740.494936,800,369.605494
710.140027,800,371.299777
-58.72571,374,372.854668
741.610523,800,373.780709
697.382539,800,375.474114
747.254297,800,379.564878
763.881822,800,381.265528
705.28239,800,382.95819
-400.530665,12,384.395219
748.815813,800,384.67154
755.020964,800,386.345222
725.595754,800,388.024383
729.932386,800,392.095328
715.030403,800,393.753391
747.253463,800,395.409339
-399.616266,11,396.818073
741.631117,800,397.099725
772.614251,800,398.75864
745.120453,800,400.431531
666.300292,800,404.473937
