#{"t_start": 1625530961.9010725, "env_id": null}
r,l,t
-418.952373,401,0.152324
-401.983056,22,1.479026
-63.528347,800,1.830335
-409.739643,307,4.678947
-421.568091,224,5.852552
-408.844204,55,6.680538
-405.825267,129,6.924201
-417.351745,205,7.451648
32.691862,800,8.425958
-403.266265,155,11.194698
114.131542,800,11.994148
101.284823,800,15.017692
142.020042,800,20.285018
8.855806,800,23.278483
-341.915305,276,26.098409
235.323095,800,27.313751
12.455727,800,30.329179
137.847089,800,33.349481
2.119921,800,36.365108
277.101051,800,41.502585
-346.073688,178,44.29989
-92.797869,752,45.176657
408.025751,800,48.023872
382.264253,800,51.036242
395.19398,800,54.045368
392.215039,800,57.065244
383.851151,800,62.316676
394.223149,800,65.370934
392.796186,800,68.393035
381.039141,800,71.416259
394.621819,800,74.449622
405.654971,800,77.469189
-349.905263,159,80.280065
-345.874677,171,80.886215
374.495576,800,83.421228
414.731163,800,86.578918
372.53395,800,89.610074
437.098405,800,92.645017
445.828558,800,95.758373
468.919171,800,98.915515
360.725289,800,103.20012
387.026163,800,106.356872
382.658075,800,109.461099
409.216455,800,112.500314
393.056434,800,115.61393
375.004394,800,118.729632
414.264095,800,124.030219
409.48654,800,127.19006
408.929439,800,130.236822
403.692864,800,133.27989
407.717118,800,136.323473
408.610918,800,139.38273
398.912377,800,144.706878
427.790356,800,147.760545
428.704021,800,150.818185
412.49228,800,153.870935
434.070732,800,156.971883
454.7216,800,160.196269
442.560675,800,163.412217
436.492292,800,168.890167
489.030996,800,171.94993
493.175446,800,175.008132
489.733376,800,178.063528
509.241701,800,181.120046
529.523304,800,184.174985
526.147906,800,189.482861
535.470309,800,192.551249
522.285459,800,195.610207
510.539091,800,198.668048
538.14254,800,201.734982
533.532002,800,204.821792
520.654326,800,210.136085
530.922515,800,213.198254
539.638599,800,216.281657
549.45888,800,219.365254
83.350969,668,222.432559
-79.384237,454,224.950723
631.387533,800,226.844352
597.215391,800,231.965128
596.710665,800,235.138735
605.769729,800,238.297514
660.45363,800,241.441626
653.21282,800,244.594762
653.051019,800,247.754245
695.969631,800,253.146211
719.98074,800,256.316011
687.99624,800,259.497713
692.258525,800,262.685113
678.311407,800,265.893333
-181.197937,286,268.919506
658.14969,800,270.239053
713.389034,800,275.678422
709.168616,800,278.926769
717.929753,800,282.159302
725.683429,800,285.364363
708.185435,800,288.579154
705.839353,800,291.790533
656.00766,800,297.254429
688.327314,800,300.473509
722.478563,800,303.711884
722.95537,800,306.942127
713.753228,800,310.164136
264.175757,746,313.377656
718.355648,800,316.398959
724.726638,800,321.865505
-188.812829,277,324.932133
683.306416,800,326.292549
727.269921,800,329.691656
704.974599,800,332.924039
734.060864,800,336.165297
708.614565,800,339.418214
724.917172,800,344.892233
717.487211,800,348.122283
726.437322,800,351.357739
713.17092,800,354.591731
725.166397,800,357.829964
718.18602,800,361.072904
699.910744,800,366.53314
686.491841,800,369.765358
716.920791,800,372.991598
730.563212,800,376.212729
689.464381,800,379.437892
716.487171,800,382.66341
688.883042,800,388.142708
699.203537,800,391.384522
-259.64154,210,394.410382
707.481301,800,395.455932
712.827573,800,398.693441
703.438842,800,401.930662
686.530133,800,405.171469
704.971468,800,410.599442
108.049645,604,413.774431
-57.835917,427,416.159367
695.032118,800,418.01734
-33.548663,442,421.139315
-320.345287,148,422.82489
716.221401,800,423.647325
718.675013,800,426.888288
-310.202198,158,429.922776
202.653841,706,432.997918
644.879567,800,435.895148
-66.039692,412,438.999048
722.025435,800,440.800166
627.089913,800,444.047501
714.640868,800,447.302727
712.419947,800,450.552193
717.549352,800,456.024172
-321.648193,148,459.054725
725.461262,800,459.883116
687.328031,800,463.16175
716.042215,800,466.412689
-229.41712,243,469.478188
694.958924,800,470.660114
710.688033,800,473.92793
-245.153241,218,476.99689
703.876081,800,480.301853
670.443676,800,483.54761
704.081657,800,486.794708
642.614484,800,490.063424
663.874648,800,493.317084
696.246846,800,496.567633
707.197553,800,502.100219
715.676731,800,505.356996
261.998147,766,508.626031
689.071538,800,511.876465
707.404173,800,515.131341
696.307096,800,518.38891
628.539805,800,523.882298
699.575285,800,527.143944
81.341648,632,530.338896
690.723756,800,532.965679
703.551181,800,536.223519
-276.630098,188,539.273272
678.663728,800,540.248226
634.816827,800,545.734188
251.005336,757,548.98023
701.021994,800,552.082049
683.728706,800,555.349951
680.461845,800,558.609589
672.115591,800,561.867967
715.779441,800,565.130676
82.643462,555,570.528367
685.158253,800,572.876173
698.377557,800,576.14152
698.963372,800,579.407891
674.848138,800,582.669902
706.543819,800,585.940248
678.362566,800,591.418322
723.34071,800,594.686452
145.688981,645,597.894751
-321.836994,146,600.358636
108.845907,601,601.109336
702.635711,800,603.62879
693.871886,800,606.896498
647.422358,800,610.161661
82.903143,563,615.562001
-89.892777,403,617.803679
723.506306,800,619.585226
703.996929,800,622.841349
686.510099,800,626.102859
-54.822416,428,629.237663
687.618973,800,631.161268
671.202292,800,636.721751
683.452687,800,639.980658
696.089521,800,643.262532
722.785457,800,646.575062
665.376119,800,649.833369
675.367152,800,653.101846
687.877308,800,658.567696
