#{"t_start": 1625468379.2957222, "env_id": null}
r,l,t
-401.429828,13,0.010623
-402.168639,36,0.053248
-404.059752,157,0.220872
-402.213488,22,0.533299
-444.883266,337,0.706811
-110.107939,800,1.634802
-15.384963,800,3.336113
35.515858,800,5.024804
-378.710404,503,6.570477
-402.42441,23,7.426412
-401.847989,17,7.471394
-401.989066,19,7.50703
-401.573848,17,7.545546
-401.601137,15,7.580282
-401.429828,14,7.610881
-401.890928,19,7.641584
-402.636931,19,7.681538
-402.361398,17,7.719909
-354.995903,409,7.90884
-409.268775,54,8.620324
-403.19699,37,8.724483
42.153474,800,9.106931
-403.413961,39,10.476406
-404.212005,29,10.553535
-404.877026,34,10.730045
-403.515825,29,10.799675
-403.94816,27,10.858758
-402.098275,16,10.910781
-409.437359,52,10.958324
-403.487838,27,11.057041
-406.723463,40,11.118587
-408.181933,52,11.206943
-404.488781,38,11.311067
-403.384578,28,11.387197
-402.078534,17,11.441356
-403.235245,29,11.481812
-405.021272,38,11.547025
-403.642464,27,11.622494
-403.294959,28,11.678977
-406.116415,54,11.747994
-403.078852,27,11.854717
-404.512163,29,11.910713
-403.60303,27,11.970711
-408.56757,54,12.037815
-403.893769,28,12.141693
-406.319161,37,12.203461
-403.344087,30,12.278406
-403.430051,26,12.339608
-404.437381,30,12.39531
-408.599007,64,12.471756
-401.552274,16,12.587367
-404.089188,37,12.628459
-409.035746,53,12.711014
-404.103346,26,12.811607
-404.128461,33,12.867944
-404.597959,32,12.936056
-410.476506,63,13.015122
-409.512964,80,13.151995
-409.636242,78,13.320549
-411.772135,86,13.484244
-406.305514,59,13.650823
-413.338212,77,13.780493
-404.661395,37,13.925056
-405.176824,41,14.004
-415.723142,135,14.125731
-404.438833,38,14.368563
-414.119021,90,14.467364
-419.753919,136,14.66831
-405.591588,89,14.935246
-411.333639,79,15.11516
-404.507657,38,15.262878
-405.019023,40,15.341963
-406.905063,55,15.43016
-401.676074,14,15.52951
-407.258361,78,15.583838
-404.71932,59,15.738931
-419.105396,156,15.899273
-413.646102,88,16.201163
-404.722812,36,16.363818
-411.09442,107,16.466944
341.07964,800,16.957795
-400.067298,205,18.39646
-406.132457,165,18.806674
318.939741,800,19.405493
296.071962,800,24.079507
355.780558,800,25.763923
-367.834663,155,27.180418
-355.612454,167,27.50991
368.96274,800,28.117929
223.415025,800,29.821155
-4.768134,800,31.482018
-1.099305,800,33.131117
0.312927,800,37.793729
-13.359988,800,39.465636
-285.712919,308,40.952001
307.78433,800,41.797879
-356.696785,147,43.213907
-140.017629,659,43.720267
-102.364034,554,45.060173
-322.276987,207,46.08364
-349.281329,161,46.497672
-336.83995,188,46.847898
-341.630566,173,47.233022
-325.864964,210,47.608788
-294.150803,292,49.87779
-310.113757,223,50.466617
-313.14325,227,50.931509
-236.755185,402,51.476623
-333.330277,191,52.233442
-326.154593,227,52.645
-255.538629,344,53.170773
-309.914714,239,53.849008
-348.564618,166,54.322152
359.468893,800,54.922807
393.606887,800,56.594646
374.522687,800,58.272195
-34.810251,800,63.004688
-6.255534,800,65.116071
-0.572871,800,66.786031
-7.076635,800,68.548866
-10.767332,800,70.521771
-20.038342,800,72.443082
-151.58476,635,77.342354
360.531423,800,79.085767
369.426967,800,80.830651
346.343697,800,82.538256
-247.833874,664,84.179133
347.052342,800,85.64521
389.767585,800,87.340834
403.311165,800,92.112419
382.016542,800,93.806695
400.826078,800,95.624161
427.901627,800,97.311601
405.061864,800,99.057334
394.025198,800,100.773487
327.313387,800,105.545312
-294.203205,278,107.22409
-334.539593,187,107.777891
-268.923295,341,108.238904
-336.274727,198,108.910038
-346.062368,228,109.425246
-327.58028,279,110.049023
-354.443477,211,110.726917
-344.419008,230,111.254112
-320.036723,199,111.751346
-312.589869,458,112.288293
-334.987506,229,113.174645
-72.24867,725,113.866929
339.29098,800,115.552767
-328.973661,213,117.160824
-306.830311,239,118.256457
-329.82726,182,118.742316
-305.043872,240,119.149474
378.853243,800,119.88063
-304.01406,228,121.362304
-313.395289,222,121.844403
-304.958879,245,122.33283
387.451137,800,123.058448
395.626811,800,124.747707
395.342652,800,126.505672
410.355563,800,131.733394
370.554356,800,133.591452
358.462659,800,135.7452
373.812657,800,137.501147
384.942557,800,139.233012
417.510717,800,140.942858
404.978209,800,146.04488
-192.556295,458,147.626367
-135.092282,572,148.654195
403.36697,800,150.009363
372.716212,800,151.73993
-56.803802,756,153.444248
408.08511,800,155.043994
398.225926,800,159.669959
418.8064,800,161.344994
393.307981,800,163.057155
387.671473,800,164.837525
419.473625,800,166.860955
409.742888,800,168.925658
412.209297,800,171.055958
415.857317,800,176.473508
400.81747,800,178.40655
413.005088,800,180.268902
386.453685,800,182.037544
419.067187,800,183.814587
405.470554,800,185.794379
419.634084,800,190.641886
414.354829,800,192.405348
425.683006,800,194.165143
415.922961,800,195.897119
406.257855,800,197.627134
468.288425,800,199.386616
562.116074,800,204.220213
481.340332,800,206.092317
379.203155,800,207.875841
533.908227,800,209.742402
505.929904,800,211.575374
610.768439,800,213.420136
625.322593,800,218.606046
689.241837,800,220.494244
710.788927,800,222.247414
-180.617218,328,224.030393
715.342896,800,225.065758
689.033262,800,227.059751
667.284769,800,228.889011
666.827304,800,233.707208
639.133299,800,235.478161
652.071679,800,237.301085
723.931657,800,239.079037
678.899044,800,240.891143
690.88239,800,242.795576
715.363689,800,244.579539
-46.645831,423,249.690017
