#{"t_start": 1625471279.4405637, "env_id": null}
r,l,t
-400.187643,3,0.004754
-400.418103,4,0.013069
-395.67972,15,0.028572
-381.568364,84,0.099402
-382.923669,54,0.272209
-403.226251,33,0.378731
-380.480106,744,0.737648
1.579904,800,2.345906
-362.961112,322,3.850465
174.667036,800,4.732904
293.28879,800,6.410459
-164.21246,493,7.966848
447.326143,800,9.131471
375.732081,800,13.765943
401.770566,800,15.444771
419.253337,800,17.119649
-357.074971,112,18.525143
410.636753,800,19.026946
405.332069,800,20.718488
-108.373197,647,22.335819
-337.430804,175,23.525556
-290.891061,265,27.005461
-188.484181,415,27.626731
429.741712,800,28.657335
512.341465,800,30.404371
581.740162,800,32.175163
542.531146,800,34.083623
-355.831928,110,35.591861
-143.208302,361,35.989002
-267.490612,181,36.661426
-305.898973,129,37.015674
-231.993008,229,37.323319
-350.280964,63,37.726955
-327.469179,111,37.872026
-367.423424,99,39.372219
642.78746,800,39.842419
642.65489,800,41.496845
131.499659,628,43.078784
682.857238,800,44.432564
727.074416,800,46.114042
736.927984,800,47.764602
723.01673,800,52.844952
734.30325,800,54.59723
679.553615,800,56.259528
728.441749,800,57.994898
755.205863,800,59.754229
675.792572,800,61.41603
731.534722,800,67.011636
730.687101,800,68.671626
737.60701,800,70.429251
688.565849,800,72.126237
-400.519315,3,73.505656
751.185258,800,73.840775
748.281791,800,75.544401
756.981687,800,80.378166
733.186638,800,82.068806
692.926104,800,83.972341
771.090373,800,85.729375
719.020539,800,87.524765
-353.750835,129,88.953896
701.85029,800,89.477163
772.687046,800,94.071081
697.283627,800,95.74103
716.302873,800,97.402887
-119.123627,299,98.87802
741.264366,800,99.686591
788.084562,800,101.345297
762.920222,800,103.00325
775.631739,800,107.672499
-400.387401,6,109.036263
762.038653,800,109.356263
679.75681,800,111.063178
768.268836,800,112.827868
769.071727,800,114.528294
326.760255,763,116.226922
-400.657285,9,117.556755
775.85713,800,117.881195
775.529431,800,122.63006
741.887139,800,124.369812
735.584888,800,126.101052
737.690621,800,127.803116
-402.078179,11,129.225113
699.022081,800,129.552885
726.515645,800,131.253125
746.003155,800,136.183758
678.16353,800,138.00346
748.003699,800,139.882087
744.11792,800,141.705703
715.704054,800,143.514216
-210.074587,216,145.221302
720.333775,800,145.98915
42.757109,478,150.820853
712.216806,800,152.021862
718.09003,800,153.747418
754.955968,800,155.470241
-12.500025,426,157.031044
-233.18356,180,157.956427
-86.331662,355,158.417779
755.666035,800,159.322104
-400.34588,4,160.70886
750.359957,800,164.088538
742.609606,800,165.841992
704.632767,800,167.498783
724.367677,800,169.23095
776.496219,800,170.914012
753.861391,800,172.5601
723.609029,800,174.204273
739.842183,800,178.716208
735.259193,800,180.363407
699.064433,800,182.03453
755.645584,800,183.748718
686.894635,800,185.432349
300.68485,792,187.087814
717.415452,800,191.821314
749.134441,800,193.534092
728.287936,800,195.282486
659.602475,800,197.027712
738.733155,800,198.817424
722.354285,800,200.565881
712.294065,800,205.175846
692.047455,800,206.923016
721.400954,800,208.703224
704.412097,800,210.463197
725.412539,800,212.242745
698.466812,800,213.959538
673.905181,800,218.839256
742.175514,800,220.606759
713.202945,800,222.351774
676.089584,800,224.129947
701.392473,800,225.894317
740.915353,800,227.596262
730.915877,800,229.316896
727.633022,800,234.122454
-400.822497,9,235.57037
711.026063,800,235.904231
703.358892,800,237.613239
700.452636,800,239.395447
-352.647049,105,240.811631
749.535249,800,241.306276
698.438974,800,243.02858
744.075406,800,247.817127
