#{"t_start": 1625467646.450066, "env_id": null}
r,l,t
-405.234692,310,0.130293
-402.763522,28,0.663337
-408.26066,88,0.740689
-78.256551,800,1.18233
-402.146682,96,2.539396
-388.243564,208,2.773766
48.15507,800,3.418779
-370.214057,373,4.878181
-334.02058,474,5.664074
69.55654,800,6.727216
-272.750859,760,8.318701
282.53435,800,10.886854
391.547761,800,12.522104
402.957244,800,14.218004
61.78557,800,15.84307
-303.027468,306,17.297819
294.950074,800,18.107234
394.894012,800,19.737426
-363.892964,152,21.13065
380.728476,800,24.184565
-317.272447,248,25.661853
428.189618,800,26.419172
-50.738552,799,28.186155
457.466194,800,29.88801
-306.130336,264,31.364853
-286.131201,263,31.921034
-319.307428,223,32.477288
-216.469902,452,33.038064
371.965989,800,37.038408
376.236074,800,38.716074
381.918876,800,40.378375
423.725379,800,42.051573
430.088725,800,43.733631
412.325895,800,45.442698
413.193599,800,50.816933
388.59314,800,52.597595
413.039451,800,54.321016
391.787497,800,56.496707
505.792724,800,58.237844
437.355385,800,59.983123
456.575671,800,64.911722
520.469212,800,66.613354
646.082192,800,68.308697
544.865053,800,69.962039
694.210839,800,72.102857
705.577955,800,73.747158
722.086645,800,75.401527
682.54434,800,79.979553
716.916504,800,81.647505
684.814121,800,83.320486
678.174591,800,85.090119
724.167213,800,86.929652
724.704029,800,88.707231
718.838414,800,93.511917
677.709507,800,95.333462
662.889909,800,97.148414
702.004403,800,99.140739
726.293946,800,101.230883
724.561279,800,103.344975
722.336654,800,107.971301
686.01983,800,109.674226
711.879372,800,111.350816
737.318688,800,113.210434
230.970076,722,114.976011
-0.878952,468,116.377444
724.233544,800,117.47339
699.450656,800,122.216352
740.050556,800,123.985657
662.96818,800,125.659963
697.369493,800,127.324528
684.451051,800,128.993991
725.217003,800,130.768624
725.980555,800,135.532763
714.715027,800,137.280878
672.6049,800,139.116939
690.590806,800,141.211129
725.64923,800,142.968153
693.394592,800,144.677572
670.759309,800,149.366209
-298.575394,172,150.803964
728.124046,800,151.417989
677.777129,800,153.076384
-10.645186,455,154.613428
686.347734,800,155.702153
738.570095,800,157.561114
734.952223,800,159.199718
699.698103,800,163.807278
681.633266,800,165.67699
730.4516,800,167.414509
80.672555,555,169.065479
734.633453,800,170.706016
707.523097,800,172.538729
717.374813,800,177.194676
718.036782,800,178.915382
721.400288,800,180.710734
719.315468,800,182.411416
719.837256,800,184.024715
718.368244,800,185.65324
727.502573,800,187.315595
91.029262,580,191.962276
661.539519,800,193.41048
723.969893,800,195.33152
648.559013,800,197.092759
681.453735,800,198.833416
700.049386,800,200.551121
698.588946,800,205.172305
685.383821,800,206.890582
5.998686,507,208.58823
673.858209,800,209.784902
715.777778,800,211.489318
682.452177,800,213.201578
-305.042585,155,214.628124
655.368699,800,215.212942
685.920901,800,219.877728
-352.783082,109,221.33093
665.615006,800,221.837672
725.921841,800,223.516518
712.750146,800,225.160733
680.288781,800,226.764146
674.433034,800,228.74541
731.41451,800,233.539985
713.744037,800,235.23557
713.061114,800,236.934
707.964604,800,238.636067
713.622379,800,240.353982
696.921602,800,242.060662
701.975096,800,246.65871
