#{"t_start": 1625539835.7872329, "env_id": null}
r,l,t
-443.001325,549,0.198656
-12.967321,800,2.352104
-21.097664,800,5.391404
-402.649068,22,8.229984
-402.458065,25,8.313789
-405.065375,48,8.414733
-404.471002,66,8.6018
-404.850416,38,8.847902
-403.967644,33,8.993162
-406.918699,55,9.128611
-405.231392,37,9.334042
-404.059975,32,9.476415
-404.99705,42,9.60357
-404.031719,36,9.76434
-405.083148,34,9.903036
-406.229724,38,10.035902
-90.179142,800,10.45095
-407.489602,75,13.283911
-409.46064,216,13.622517
-405.575596,161,14.436939
-404.808127,68,15.025397
-404.950926,44,15.283564
-25.17604,800,15.716663
22.992851,800,29.920275
53.41732,800,33.035506
121.998105,800,36.106808
162.954465,800,39.214082
86.394076,800,42.319911
57.894415,800,45.398726
10.652624,800,59.583509
-7.573921,800,62.690131
0.327339,800,65.836947
32.926259,800,68.985328
206.374046,800,72.12199
251.631025,800,75.213504
283.190954,800,89.420252
306.039953,800,92.555535
339.60034,800,95.64133
342.472805,800,98.646214
-287.289823,329,101.592786
-343.229829,229,102.838449
-322.062142,274,103.748202
-333.339697,227,104.797229
205.023244,800,105.876431
-1.372843,800,119.92433
0.993918,800,123.036034
1.434885,800,126.157558
2.191962,800,129.264459
0.612391,800,132.344425
323.894995,800,135.461511
-309.452681,347,138.388496
-324.989127,447,145.747758
370.673656,800,147.603112
-266.924506,319,150.539361
376.131322,800,151.937543
413.554938,800,155.045025
393.145762,800,158.162105
417.299059,800,161.285055
448.476261,800,175.405087
377.148987,800,178.533004
378.196042,800,181.670434
365.144839,800,184.822235
407.707152,800,187.986552
395.764251,800,191.156045
352.372022,800,194.329383
365.939296,800,208.554689
65.982933,800,211.698897
-4.781644,800,214.780035
187.988644,800,217.883177
415.889185,800,221.006071
410.495654,800,224.104688
405.674772,800,238.258787
399.036917,800,241.406361
413.19781,800,244.527662
398.468036,800,247.675119
398.643169,800,250.774763
403.569565,800,253.884196
423.617777,800,268.042563
411.285614,800,271.158911
455.983477,800,274.269354
403.428797,800,277.388358
410.47249,800,280.51768
408.269045,800,283.64038
412.059369,800,292.14655
418.240684,800,295.266211
416.003899,800,298.409026
420.449168,800,301.543882
427.06576,800,304.689725
451.533853,800,307.824245
469.151334,800,310.97949
454.639692,800,325.220548
427.381967,800,328.428816
431.790981,800,331.625006
451.827435,800,334.832556
459.980955,800,338.068012
439.510043,800,341.280403
451.818501,800,355.629378
481.318002,800,358.949438
437.456983,800,362.204201
499.715066,800,365.447022
487.425293,800,368.693083
511.639236,800,371.972528
498.767175,800,386.361278
506.063037,800,389.563671
505.846337,800,392.760419
528.68096,800,396.004765
-59.351924,609,399.188019
505.347518,800,401.749681
569.093938,800,405.016288
506.325143,800,419.365979
497.575502,800,422.613922
554.970279,800,425.877235
43.034289,710,429.107308
585.405345,800,432.041799
610.430167,800,435.309676
660.137374,800,449.584879
659.841033,800,452.843188
641.555766,800,456.131486
646.328511,800,459.368992
630.017059,800,462.583898
621.568252,800,465.798313
677.602519,800,482.08257
596.518839,800,485.727555
656.156542,800,489.513209
646.225063,800,493.297447
612.865555,800,497.08963
636.89518,800,500.849287
658.359259,800,518.176249
673.768436,800,521.980027
658.71521,800,525.781584
660.000016,800,529.601655
655.85575,800,533.402027
659.98306,800,537.213017
666.068577,800,541.026711
642.304439,800,555.568122
664.425167,800,559.380881
630.175693,800,563.211092
644.218034,800,566.981088
639.319374,800,570.771256
-248.426259,251,574.326507
668.466262,800,575.752542
646.78253,800,593.472669
611.928748,800,597.270078
658.424181,800,601.076754
638.11443,800,604.870001
660.267166,800,608.663204
682.418566,800,612.444257
681.905761,800,626.706909
648.0423,800,629.896362
643.923989,800,633.06257
664.69258,800,636.171314
661.271139,800,639.549443
648.985675,800,643.344947
664.693178,800,658.691559
662.787773,800,662.478984
666.872989,800,666.266556
644.113739,800,670.045746
662.696905,800,673.831539
646.439642,800,677.414157
668.567903,800,689.591013
660.845454,800,692.692625
653.20274,800,695.757365
638.443194,800,698.830682
649.039497,800,701.903684
608.450258,800,705.038105
636.68556,800,708.247766
687.343084,800,722.652249
646.175277,800,725.948104
682.654502,800,729.242553
681.803622,800,732.556061
655.831181,800,735.884908
666.97354,800,739.174163
692.343228,800,753.474247
684.997368,800,756.732538
657.988004,800,760.031596
677.178746,800,763.32817
648.730045,800,766.615997
-60.215037,470,769.819887
688.2995,800,782.895981
651.600832,800,786.206967
675.626466,800,789.510623
637.866202,800,792.822222
617.423524,800,796.132854
661.428043,800,799.442544
649.159637,800,802.791399
669.294412,800,817.121208
675.91434,800,820.443613
671.549638,800,823.765921
660.144603,800,827.082284
650.854752,800,830.401201
661.239455,800,833.717765
674.225145,800,848.109836
669.531731,800,851.407567
695.407046,800,854.726019
677.344216,800,858.037127
669.769761,800,861.36329
116.654758,644,864.636086
691.105645,800,877.219291
629.886958,800,880.542395
653.75091,800,883.872337
637.994455,800,887.198935
647.607594,800,890.533034
615.821078,800,893.858302
-236.638421,315,897.019837
650.525134,800,908.864494
618.886243,800,912.199358
689.403319,800,915.558955
653.164905,800,918.917927
631.369528,800,922.279213
626.144787,800,925.648297
681.445688,800,929.015303
642.163747,800,943.48145
