#{"t_start": 1625521020.0891027, "env_id": null}
r,l,t
-404.694314,42,0.018706
-3.776087,800,0.433526
-31.630229,800,3.48437
-405.527497,44,6.336194
-407.556734,58,6.510641
34.907881,800,6.983646
-46.896645,800,10.072839
136.389181,800,13.184027
95.119629,800,16.260246
59.622074,800,21.509618
12.238922,800,24.641375
190.840278,800,27.74215
87.975252,800,30.848085
221.9885,800,33.971049
322.437394,800,37.087594
357.061411,800,42.405028
-187.619595,567,45.580209
-304.407611,320,47.717722
-323.890444,333,48.975716
-167.927962,612,50.37605
342.301043,800,52.822827
-252.606565,433,55.839138
-161.530461,579,57.591541
366.122398,800,59.932243
404.175143,800,64.914886
-200.334975,427,67.928498
430.707726,800,69.718981
424.504468,800,72.858589
378.821522,800,76.014388
444.365761,800,79.166913
466.01133,800,84.478905
471.566444,800,87.640886
461.906504,800,90.796321
405.359349,800,93.96122
390.782737,800,97.11131
454.166574,800,100.277385
456.166634,800,105.48755
489.503491,800,108.63329
481.767806,800,111.783148
483.278299,800,114.928131
551.732872,800,118.085114
529.101601,800,121.237837
593.274701,800,124.379819
622.519286,800,129.704875
560.157089,800,132.855216
627.776443,800,136.014481
603.275049,800,139.171724
631.225302,800,142.319951
560.067088,800,145.474503
637.903108,800,150.779027
539.254796,800,153.95544
573.797449,800,157.131296
622.644988,800,160.294927
659.444345,800,163.493681
625.94489,800,166.812844
639.435756,800,172.17779
639.699321,800,175.399687
580.908348,800,178.574303
642.840174,800,181.74227
689.43408,800,184.917315
612.901385,800,188.069876
624.986144,800,193.404663
637.206666,800,196.5634
639.608272,800,199.741297
621.168198,800,202.909408
608.059749,800,206.100813
636.547416,800,209.28194
629.927309,800,212.463939
631.654318,800,217.813199
598.613726,800,221.005465
607.935912,800,224.019358
657.185057,800,227.221713
618.344701,800,230.420749
622.290838,800,233.556741
611.736625,800,238.735883
636.640429,800,241.966954
591.991278,800,245.203564
640.371243,800,248.446201
602.47863,800,251.690216
625.938497,800,254.940193
542.976727,800,260.350888
661.923632,800,263.624187
649.035344,800,266.921653
586.929986,800,270.189477
630.913096,800,273.457663
656.253729,800,276.742751
610.817636,800,282.184273
624.22626,800,285.515306
614.810541,800,288.807549
637.602339,800,292.111869
620.775506,800,295.414776
640.693846,800,298.719657
608.819262,800,302.02968
628.598373,800,307.500082
634.433197,800,310.820192
654.73182,800,314.145595
640.450473,800,317.462894
681.299549,800,320.775815
622.424169,800,324.160155
628.821999,800,329.799616
651.31555,800,333.23683
620.271114,800,336.595938
635.379327,800,339.873377
640.470446,800,343.093573
635.496284,800,346.302309
630.115885,800,351.654205
643.621777,800,354.832311
658.611627,800,358.038101
638.798759,800,361.385321
640.428295,800,364.739575
610.778628,800,368.082029
639.795892,800,373.599884
610.108003,800,376.961218
615.692013,800,380.294265
-128.018533,439,383.524615
607.305447,800,385.484625
631.092424,800,388.942466
663.947976,800,392.484054
627.3892,800,397.98221
607.277521,800,401.353675
614.086948,800,404.717574
605.357417,800,408.094137
646.444724,800,411.457201
650.173252,800,414.818062
645.361343,800,420.337439
630.252517,800,423.700743
624.441367,800,427.04279
589.889938,800,430.381951
573.340496,800,433.745476
633.318506,800,437.105095
639.446448,800,440.458727
637.836377,800,445.971908
647.015545,800,449.448678
653.554928,800,452.892294
629.378399,800,456.200559
611.04412,800,459.497286
626.624902,800,462.803965
655.331986,800,468.265179
623.020519,800,471.604269
602.698347,800,474.927804
637.007145,800,478.258174
591.524288,800,481.580232
665.441778,800,484.911713
533.03609,800,488.941727
648.954512,800,492.272262
651.322016,800,495.58395
670.07549,800,498.89567
640.741013,800,502.22789
660.975621,800,505.530858
662.543127,800,511.013466
628.49877,800,514.344396
626.758097,800,517.662092
611.800335,800,520.984938
624.046989,800,524.312554
650.533205,800,527.617747
640.545469,800,531.061685
647.21055,800,536.677905
666.028013,800,540.006109
627.966313,800,543.327897
644.238148,800,546.649425
655.978042,800,549.983977
613.114282,800,553.302358
624.139382,800,558.774747
603.109053,800,562.093429
653.172941,800,565.408994
588.574479,800,568.73696
612.172841,800,572.046907
624.566172,800,575.365605
664.365946,800,580.843831
623.825155,800,584.174771
634.851336,800,587.499719
627.038446,800,590.84192
624.349403,800,594.328547
638.191151,800,597.649561
617.040115,800,603.108774
616.351877,800,606.405086
650.006966,800,609.721489
627.767218,800,613.044369
623.640643,800,616.36403
635.811077,800,619.675143
651.929297,800,622.984978
643.647552,800,628.451192
641.295737,800,631.830024
656.930885,800,635.267441
612.572632,800,638.574823
608.216226,800,641.891994
653.041892,800,645.200473
645.605819,800,650.659338
637.014801,800,653.768811
663.173976,800,657.081629
656.315766,800,660.400078
649.019097,800,663.721865
643.998441,800,667.047296
645.041588,800,672.494873
