#{"t_start": 1625513997.7047665, "env_id": null}
r,l,t
-1.451089,800,1.888965
-416.1713,138,3.313227
-59.982669,800,3.807989
-426.773977,241,5.257433
-561.334101,652,5.874077
-65.496283,800,7.250333
-8.518601,800,8.892987
-30.538261,800,12.829919
-1.440089,800,14.462028
-6.682613,800,16.112497
-1.101598,800,17.778486
-0.166913,800,19.439623
-0.685757,800,21.171764
-0.658312,800,22.762385
-2.956809,800,26.59747
-3.865444,800,28.202875
-3.972604,800,29.787585
-5.474062,800,31.415025
-3.156622,800,32.997883
-6.139133,800,34.575319
-2.532182,800,38.492545
-3.187385,800,40.086687
-3.222067,800,41.678015
-4.309753,800,43.275569
-3.410282,800,44.86689
-1.156636,800,46.451986
-2.222816,800,50.301616
-2.248216,800,51.89347
-0.911781,800,53.478881
-0.690388,800,55.057734
-1.610925,800,56.748133
-1.36125,800,58.43791
-0.209411,800,62.54081
-0.703158,800,64.178631
-0.906565,800,65.814941
-0.591102,800,67.467732
-0.06834,800,69.170119
-0.040435,800,70.867185
-0.635164,800,72.487416
-0.110369,800,76.61141
-0.169683,800,78.399135
-0.093558,800,80.021975
-1.173189,800,81.633725
-3.695536,800,83.276208
-0.084704,800,84.914773
-0.207205,800,88.756119
-0.102332,800,90.352645
-0.672364,800,91.962493
-1.001539,800,93.552459
-1.113848,800,95.139656
-1.012446,800,96.741559
-0.204694,800,100.784426
-0.111488,800,102.41474
-0.093287,800,104.042372
-0.907939,800,105.671398
-1.71261,800,107.308468
-0.641898,800,108.946984
-10.429599,800,113.11886
-0.344125,800,115.105206
-0.199812,800,116.719398
-0.747973,800,118.311363
-0.058547,800,119.96203
0.316947,800,121.566095
0.238242,800,123.175131
-0.16257,800,127.042599
-1.005518,800,128.639065
0.796966,800,130.225327
-0.092429,800,131.815669
-0.738899,800,133.405509
0.847406,800,135.012467
1.135972,800,139.106293
0.785356,800,140.853438
-3.048182,800,142.530835
2.568088,800,144.203987
1.026704,800,145.901206
-0.856545,800,147.578213
0.360368,800,152.150365
-1.709295,800,153.807565
0.45645,800,155.470006
0.406462,800,157.133143
1.314975,800,158.798146
-0.026199,800,160.471812
1.090309,800,164.590703
-3.414256,800,166.230822
-1.071862,800,167.849489
-1.14748,800,169.469423
-4.937298,800,171.070191
4.744998,800,172.703869
8.763764,800,174.359207
5.168907,800,178.218866
11.053464,800,179.868248
-0.258297,800,181.511537
-4.977043,800,183.155399
-14.331152,800,184.764666
-3.847728,800,186.352307
-11.802161,800,190.209307
-11.634536,800,191.858927
-6.511638,800,193.512545
-9.113445,800,195.176831
-13.599888,800,196.821349
4.652923,800,198.470078
-7.633366,800,202.460452
-18.869219,800,204.127229
-13.025512,800,205.768197
-13.22151,800,207.365762
-5.431901,800,209.000882
-30.492787,800,210.623401
15.700508,800,214.548468
-0.059235,800,216.194716
4.525702,800,217.816413
6.314096,800,219.44309
-6.272453,800,221.069256
-14.742419,800,222.699291
1.302353,800,224.328267
-2.503497,800,228.247953
4.906419,800,229.883779
0.766604,800,231.515086
-6.407277,800,233.132803
-26.038642,800,234.754726
-8.876084,800,236.378825
-14.075373,800,240.372938
9.344428,800,242.039801
17.884754,800,243.701532
24.936004,800,245.359224
23.225384,800,247.065311
18.674507,800,248.714517
10.110988,800,252.732285
3.717951,800,254.382327
-8.755365,800,256.02723
-9.032842,800,257.691267
-7.963306,800,259.348562
3.764339,800,261.098577
6.023199,800,265.281194
8.529033,800,267.012066
-0.919175,800,268.659289
15.122072,800,270.253646
12.352364,800,271.844467
10.032098,800,273.446795
18.679536,800,275.052325
21.19299,800,279.048719
21.409435,800,280.698156
18.442105,800,282.32436
8.853569,800,283.976939
-5.481994,800,285.60841
-1.130308,800,287.233468
-2.149184,800,291.391093
-0.056695,800,293.045869
0.047187,800,294.68853
-20.613872,800,296.340827
-12.727405,800,297.984877
-14.217341,800,299.627176
-17.595559,800,303.609313
-30.017983,800,305.26035
-416.573338,119,306.678241
-417.906845,130,306.928208
-411.742147,99,307.186948
-413.614975,114,307.396408
-411.125214,100,307.628478
-415.522018,125,307.840571
-412.655649,107,308.089081
-426.249827,156,308.324608
-414.222755,118,308.631346
-71.969129,800,309.095611
-418.549542,136,310.519226
-412.186612,106,310.791467
-413.416164,107,311.010846
-414.933252,126,311.239592
-414.066229,112,311.499207
-418.381861,135,311.742364
-416.234548,125,312.021552
-416.920368,130,312.283292
-424.917051,143,312.559652
-423.853451,148,312.859053
-418.998598,140,313.166137
-414.507165,115,313.455205
-64.224096,800,315.49741
-206.732618,800,317.195528
-190.730588,800,318.899779
-201.653821,800,320.604262
-15.608404,800,322.321954
-1.48276,800,324.018104
-0.589265,800,328.240329
-7.207579,800,330.04051
-5.527353,800,331.706775
0.748953,800,333.340691
-44.34898,800,334.981179
-130.389063,800,336.627197
-66.544814,800,338.273598
-71.947713,800,342.270425
-49.143715,800,343.927642
-49.950702,800,345.571749
-28.998563,800,347.222258
-9.924052,800,348.859985
-11.008026,800,350.507034
-6.7543,800,354.498394
-1.050824,800,356.156139
-0.812184,800,357.815494
-3.522797,800,359.482357
-4.067922,800,361.149298
-20.57737,800,362.81161
-30.870998,800,366.826226
-46.043234,800,368.480291
-52.439816,800,370.141908
-46.092324,800,371.806272
-52.82554,800,373.449089
-53.055818,800,375.095754
-43.448584,800,379.104131
