#{"t_start": 1625562472.3767188, "env_id": null}
r,l,t
-403.208141,75,0.029138
-403.11636,43,0.178055
-68.174556,800,0.50661
-401.329934,56,1.892988
-407.341739,61,2.010049
5.246552,800,2.375112
146.092568,800,4.046291
176.863016,800,5.732269
121.578654,800,7.453284
-193.133857,506,9.093086
-158.979215,565,12.625527
351.264404,800,13.901186
38.07195,800,15.589489
1.14161,800,17.232664
-284.576576,691,18.882289
322.846346,800,20.442489
379.517078,800,22.064569
417.47245,800,25.377256
403.232334,800,27.109716
-231.83773,459,28.749581
442.554111,800,29.816857
492.700111,800,31.625252
-218.857065,341,33.26125
561.076965,800,34.155061
-253.31485,334,36.454215
-107.067114,632,37.210932
-243.528107,364,38.3773
360.817015,800,39.233435
407.129362,800,40.822014
393.703087,800,42.4071
405.946143,800,43.985062
407.419548,800,47.85039
386.834469,800,49.456254
384.761443,800,51.236009
357.018132,800,53.101983
386.971516,800,54.942907
394.427581,800,56.882107
416.075581,800,58.768328
426.579529,800,63.328324
428.47813,800,65.241182
463.888902,800,67.117337
475.974456,800,69.047668
539.297476,800,70.946129
733.927749,800,72.766348
648.871418,800,77.11855
714.609633,800,78.905231
716.3395,800,80.777368
694.576052,800,82.671887
684.959607,800,84.397885
684.707243,800,86.257618
677.310756,800,90.690147
672.874577,800,92.488715
713.803049,800,94.304515
694.049749,800,96.122829
708.281083,800,97.894477
717.853584,800,99.770077
693.718422,800,103.956761
688.532744,800,105.787329
728.199187,800,107.60926
662.256659,800,109.369694
154.345908,638,111.0134
709.753501,800,112.427434
686.925514,800,114.186863
-282.291064,201,115.747383
730.792682,800,119.01999
727.438362,800,120.782727
693.404066,800,122.578749
716.888247,800,124.391798
688.799851,800,126.293662
707.066491,800,128.098298
688.482287,800,132.434742
-106.154724,377,134.241799
729.441914,800,135.229736
698.916337,800,136.967906
700.294092,800,138.758103
-375.889031,91,140.153314
-175.813188,306,140.41853
722.066802,800,141.19349
720.736095,800,145.237905
-402.120769,42,146.67926
-54.635476,444,146.903358
709.093419,800,148.019538
664.94041,800,149.822954
691.816952,800,151.525534
-138.082948,336,153.348885
139.652136,632,154.220242
-253.955965,213,155.470505
702.043679,800,158.136438
708.001122,800,159.883994
723.59832,800,161.568575
710.589274,800,163.273323
711.551032,800,164.931403
701.145968,800,166.590527
698.400235,800,170.806256
695.163971,800,172.448426
-49.696735,438,173.977499
680.440769,800,174.995931
691.229622,800,176.639021
663.779742,800,178.268465
89.778195,558,179.809563
697.773365,800,183.402987
668.275072,800,185.055367
690.259591,800,186.710715
662.94039,800,188.35444
-141.475594,330,189.867762
85.309709,583,190.622455
678.099957,800,191.885264
667.093425,800,193.530358
651.618381,800,197.558152
718.719787,800,199.220896
700.439601,800,200.888378
687.832275,800,202.547447
207.716875,730,204.232639
662.614515,800,205.773869
691.777977,800,209.819361
661.473926,800,211.465085
-27.438071,463,213.05613
673.070073,800,214.09267
645.283397,800,215.673677
672.963871,800,217.24653
678.898271,800,218.809575
679.496348,800,222.661202
661.738213,800,224.270396
678.858808,800,226.220212
654.90365,800,227.88806
652.408318,800,229.478571
694.63493,800,231.060769
56.024637,575,234.837438
674.875986,800,236.057782
690.10924,800,237.652696
674.668622,800,239.248973
646.440184,800,240.840424
670.66368,800,242.465925
-244.384023,223,243.932546
669.743026,800,246.956628
672.234802,800,248.612373
674.80189,800,250.504434
686.951319,800,252.182591
717.675105,800,253.870685
681.594403,800,255.66819
-80.978593,399,257.262139
686.470341,800,261.397911
683.827688,800,263.229017
682.507748,800,265.019777
700.434609,800,266.893931
700.395298,800,268.733871
681.963515,800,270.469062
697.667034,800,275.003784
721.504464,800,276.896823
674.033015,800,278.707934
679.403201,800,280.646691
648.631764,800,282.422632
673.44412,800,284.30919
720.252097,800,288.349968
636.661145,800,290.011596
667.942262,800,291.659359
58.6864,580,293.268598
688.923313,800,294.619044
688.930807,800,296.432279
666.186363,800,298.126002
703.731119,800,302.255336
692.91487,800,304.035719
729.828243,800,305.875059
661.214713,800,307.628307
659.4583,800,309.395592
729.792455,800,311.082713
703.525524,800,315.410755
674.666003,800,317.11644
670.214587,800,318.767818
669.753157,800,320.522749
682.47447,800,322.244777
691.62094,800,324.070246
692.807934,800,328.144994
687.792804,800,329.816935
675.359204,800,331.48899
700.534956,800,333.122666
682.715221,800,334.788878
691.223486,800,336.566929
686.933755,800,338.295374
663.073047,800,342.38691
647.45209,800,344.078368
665.253591,800,345.761335
698.340387,800,347.54566
716.756981,800,349.230907
673.350708,800,351.063853
674.80517,800,355.296215
629.487579,800,357.022189
683.038085,800,358.676104
693.777102,800,360.33107
665.711805,800,361.994467
655.552357,800,363.707457
714.282262,800,367.85646
669.250163,800,369.635502
633.146323,800,371.332923
712.429376,800,373.002055
709.84811,800,374.765699
691.794583,800,376.501794
645.868153,800,380.51274
689.769095,800,382.172768
691.264174,800,383.952098
677.433065,800,385.596857
639.106246,800,387.261095
668.288415,800,388.909715
687.726325,800,390.556153
681.229917,800,394.743534
