#{"t_start": 1625560531.8834643, "env_id": null}
r,l,t
-5.283346,800,0.276987
-404.555441,48,1.650994
-25.511077,800,1.984373
-43.649702,800,3.593798
-1.017436,800,5.343217
12.49825,800,7.094064
0.001114,800,8.76816
-0.901833,800,12.871227
33.45749,800,14.660962
38.324113,800,16.356031
43.174279,800,18.000637
25.325846,800,19.601608
23.068933,800,21.210324
112.813734,800,25.082606
81.837071,800,26.7146
105.021175,800,28.362636
176.913845,800,29.996499
131.058298,800,31.636214
174.576047,800,33.264477
163.241246,800,37.241266
211.62879,800,38.848253
241.682914,800,40.42028
212.364283,800,42.0339
216.093805,800,43.659813
240.207735,800,45.480584
221.958398,800,49.798349
243.811368,800,51.527323
217.512655,800,53.184437
262.045376,800,54.824989
246.133816,800,56.407978
228.75565,800,58.017308
226.288004,800,59.642395
247.752268,800,63.76193
248.130016,800,65.425934
266.813161,800,67.073905
272.965579,800,68.722283
252.37161,800,70.376769
271.30582,800,72.03494
251.581372,800,76.059342
246.706243,800,77.677279
222.848823,800,79.29922
243.157023,800,80.948414
256.603254,800,82.616643
273.102535,800,84.289473
273.68215,800,88.372646
284.703797,800,90.048286
258.511657,800,91.675598
284.529831,800,93.305538
294.745937,800,94.937791
233.585062,800,96.566146
260.312592,800,100.545579
273.829126,800,102.676623
301.629655,800,104.333908
255.273405,800,106.013772
307.638444,800,107.695015
278.055616,800,109.377473
277.282838,800,111.030017
288.605623,800,115.167128
250.244079,800,116.825688
290.852171,800,118.62121
272.089515,800,120.354494
252.479739,800,122.095849
264.673616,800,123.771718
288.471268,800,127.887511
261.614653,800,129.537645
266.555014,800,131.178587
254.884884,800,132.811769
272.097955,800,134.449769
259.814791,800,136.076382
273.057468,800,140.017241
287.848476,800,141.638247
285.296875,800,143.268086
232.28225,800,144.897173
272.523727,800,146.535496
274.303191,800,148.174842
281.243241,800,152.158888
258.353207,800,153.793748
274.114897,800,155.429911
280.914358,800,157.055652
279.722212,800,158.681005
276.820743,800,160.295123
289.946574,800,162.387208
317.621849,800,165.858961
282.621813,800,167.485007
260.120128,800,169.104976
251.401325,800,170.713672
245.743253,800,172.323069
291.528274,800,173.943791
253.147832,800,177.911376
325.953468,800,179.525806
300.973546,800,181.114508
282.970015,800,182.691561
255.544134,800,184.269517
256.885269,800,185.924827
275.014468,800,189.889297
314.519351,800,191.541772
298.96659,800,193.171428
276.834823,800,194.794892
275.401016,800,196.440667
252.887309,800,198.089508
277.424825,800,201.969117
299.989785,800,203.565477
285.433704,800,205.148322
250.004213,800,206.732576
245.758811,800,208.366331
251.67143,800,210.018289
241.916675,800,211.658918
315.047363,800,215.689929
301.563052,800,217.33655
266.428411,800,218.971182
276.408007,800,220.620809
243.261877,800,222.259699
294.906925,800,223.900792
262.134959,800,227.89396
275.948984,800,229.530968
283.391326,800,231.16421
311.065444,800,232.814824
261.373154,800,234.461293
270.703816,800,236.10511
283.587305,800,240.140554
288.131274,800,241.801304
282.709555,800,243.44736
277.417523,800,245.090808
255.292708,800,246.738152
286.320308,800,248.394525
278.953695,800,252.416673
312.816285,800,254.064689
289.327698,800,255.709867
294.730118,800,257.349061
280.292381,800,258.979681
252.634353,800,260.617975
325.219485,800,262.259095
309.991866,800,266.311465
289.360971,800,267.969524
259.952333,800,269.62043
292.532817,800,271.270358
257.554685,800,272.924675
250.310508,800,274.578142
311.646917,800,278.5231
280.396713,800,280.165759
237.64856,800,281.794537
248.915226,800,283.421098
266.339836,800,285.059568
265.57166,800,286.697312
287.169505,800,290.658612
242.237979,800,292.301689
303.094289,800,293.948481
283.5393,800,295.600666
277.042064,800,297.248305
301.383478,800,298.902652
259.113765,800,302.950922
258.316638,800,304.617334
292.174096,800,306.286982
313.53941,800,307.951488
273.47126,800,309.703403
278.118252,800,311.302067
260.209922,800,312.896204
298.548329,800,316.744947
283.070504,800,318.336349
290.296348,800,319.92064
287.40621,800,321.511009
307.472414,800,323.097625
278.845379,800,324.67467
265.000016,800,328.520085
285.392314,800,330.110491
280.443881,800,331.693859
273.818569,800,333.318654
263.695829,800,334.964758
248.533373,800,336.609753
277.329569,800,340.624842
215.074885,800,342.291661
273.398838,800,344.030662
293.983853,800,345.743478
273.552922,800,347.441485
279.872036,800,349.124965
283.379642,800,353.017383
322.647847,800,354.639135
242.287828,800,356.314948
312.316103,800,358.001333
296.811095,800,359.656952
267.879262,800,361.335445
281.836157,800,362.983728
330.80864,800,366.995614
286.449001,800,368.657912
299.076526,800,370.322667
323.031915,800,371.95182
275.551607,800,373.582612
263.680087,800,375.232388
287.168379,800,379.281616
