#{"t_start": 1614868534.1353333, "env_id": null}
r,l,t
-200.448637,206,1.56543
-201.689298,387,1.702488
-200.55132,1000,2.067719
0.49887,1000,2.436557
25.045789,1000,2.801621
12.391892,1000,3.170345
-2.665675,1000,4.725619
-2.665675,1000,5.938604
-2.665675,1000,7.026953
-2.665675,1000,7.965047
-2.665675,1000,8.902586
-1.569837,1000,9.268446
-201.10424,600,9.489777
12.699041,1000,9.841285
-192.092904,875,10.147019
8.902577,1000,10.496655
-2.664115,1000,11.805389
-2.664115,1000,12.940565
-2.664115,1000,14.040881
-2.664115,1000,15.150317
-2.664115,1000,16.230753
10.14563,1000,29.071731
0.292097,1000,42.788093
8.587066,1000,56.27706
-4.579226,1000,69.709636
-200.249408,161,71.616745
-200.184822,34,71.99333
-195.886729,614,79.282828
-1.525731,1000,82.392084
-1.525731,1000,83.224952
-1.525731,1000,84.152742
-1.525731,1000,85.06642
-1.525731,1000,85.984225
6.539647,1000,98.104271
-5.74032,1000,109.779783
-4.530868,1000,121.64023
-7.382177,1000,133.511261
-9.204332,1000,145.464947
-6.973141,1000,146.268194
-6.973141,1000,147.070602
-6.973141,1000,147.890797
-6.973141,1000,148.705065
-6.973141,1000,149.501236
-3.538168,1000,161.752617
-1.250473,1000,173.900215
82.256756,1000,186.004071
-88.051048,699,194.645523
76.381209,1000,207.159228
-2.768148,1000,211.858637
-2.768148,1000,212.779731
-2.768148,1000,213.695895
-2.768148,1000,214.613225
-2.768148,1000,215.524846
-0.524883,1000,228.018784
-0.146998,1000,240.561397
-2.062284,1000,252.979442
-6.209519,1000,265.213209
-5.904653,1000,278.0743
-1.906172,1000,279.100578
-1.906172,1000,280.058842
-1.906172,1000,280.9602
-1.906172,1000,281.85903
-1.906172,1000,282.76281
-8.420681,1000,295.440375
-7.24715,1000,307.757962
-10.452662,1000,320.052299
-9.675871,1000,332.823686
-9.337168,1000,345.469192
-9.800665,1000,346.368606
-9.800665,1000,347.253842
-9.800665,1000,348.162023
-9.800665,1000,349.044393
-9.800665,1000,349.92538
-10.087264,1000,362.325542
-10.002196,1000,374.889502
-9.617113,1000,387.262158
-9.716769,1000,399.812491
-9.940001,1000,412.149026
-9.817193,1000,413.15535
-9.817193,1000,414.043253
-9.817193,1000,414.928459
-9.817193,1000,415.802447
-9.817193,1000,416.689879
-10.25119,1000,429.249134
-9.082817,1000,441.458752
-4.876628,1000,453.746979
-5.908595,1000,466.155886
-2.411863,1000,478.455399
-0.530882,1000,479.350279
-0.530882,1000,480.24465
-0.530882,1000,481.148772
-0.530882,1000,482.304229
-0.530882,1000,483.356688
-0.893568,1000,495.889851
-3.372418,1000,508.37684
-8.618054,1000,520.846885
-3.529578,1000,533.388285
2.280677,1000,545.799184
-6.758709,1000,546.70613
-6.758709,1000,547.594672
-6.758709,1000,548.500602
-6.758709,1000,549.398545
-6.758709,1000,550.481016
-3.876503,1000,562.99666
-4.808529,1000,575.351795
-0.64758,1000,587.639241
-2.022336,1000,600.150892
-7.881655,1000,612.681929
-1.112806,1000,613.587764
-1.112806,1000,614.472201
-1.112806,1000,615.384512
-1.112806,1000,616.301102
-1.112806,1000,617.210691
-0.699137,1000,629.705737
12.932441,1000,642.13326
-0.556272,1000,654.491166
-0.671804,1000,666.78603
-1.030994,1000,679.141091
-2.333708,1000,680.039335
-2.333708,1000,680.964433
-2.333708,1000,682.026133
-2.333708,1000,683.058913
-2.333708,1000,683.981192
-2.546375,1000,696.731802
93.948475,1000,709.304643
31.006932,1000,721.906435
-109.418273,904,732.921381
140.64873,1000,745.612739
-2.102823,1000,747.698638
-2.102823,1000,748.590185
-2.102823,1000,749.479161
-2.102823,1000,750.369574
-2.102823,1000,751.245432
65.757595,1000,763.531836
-2.110377,1000,775.965735
-2.371716,1000,788.618265
0.871571,1000,801.054873
-2.576431,1000,813.350175
-2.773963,1000,814.226225
-2.773963,1000,815.119279
-2.773963,1000,816.008208
-2.773963,1000,816.899616
-2.773963,1000,817.779696
128.726598,1000,830.165163
111.455256,1000,842.488444
242.721333,1000,854.817975
341.257253,1000,867.064569
603.517993,1000,879.52315
780.035885,1000,880.448385
780.035885,1000,881.334331
780.035885,1000,882.212043
780.035885,1000,883.101145
780.035885,1000,883.994851
734.917682,1000,896.512882
278.538652,1000,908.889743
811.088747,1000,921.363482
652.859217,1000,933.949978
-2.188941,1000,946.422292
-2.235191,1000,947.310166
-2.235191,1000,948.196391
-2.235191,1000,949.078597
-2.235191,1000,949.970421
-2.235191,1000,950.859794
-2.143984,1000,962.984991
-2.302448,1000,975.293502
-1.908972,1000,988.007962
-2.156356,1000,1000.518434
-2.154347,1000,1012.795285
-2.600214,1000,1013.718516
-2.600214,1000,1014.575571
-2.600214,1000,1015.509604
-2.600214,1000,1016.407557
-2.600214,1000,1017.252643
-2.852738,1000,1029.519613
-2.800782,1000,1042.090306
-2.894888,1000,1054.421573
-2.852705,1000,1066.810486
-2.602763,1000,1078.935017
-2.234087,1000,1079.721275
-2.234087,1000,1080.568276
-2.234087,1000,1081.401819
-2.234087,1000,1082.235031
-2.234087,1000,1083.04196
-1.59047,1000,1094.997699
9.194996,1000,1106.953638
417.855104,1000,1118.945107
308.973492,958,1130.442832
636.684535,1000,1142.50445
635.801427,1000,1143.813595
635.801427,1000,1144.613909
635.801427,1000,1145.462922
635.801427,1000,1146.288173
635.801427,1000,1147.054802
614.013636,1000,1158.999326
712.873587,1000,1170.956586
677.396795,1000,1183.048604
738.733571,1000,1194.94806
763.620676,1000,1206.691763
726.354753,1000,1207.464924
726.354753,1000,1208.223096
726.354753,1000,1209.043129
726.354753,1000,1209.86255
726.354753,1000,1210.680472
724.85462,1000,1222.436469
644.217874,1000,1234.282841
752.223488,1000,1246.199904
715.681622,1000,1258.255379
755.957373,1000,1270.166676
836.099804,1000,1271.015943
836.099804,1000,1271.820468
836.099804,1000,1272.624076
836.099804,1000,1273.44936
836.099804,1000,1274.2642
859.493741,1000,1286.586471
844.178455,1000,1298.844085
867.472282,1000,1311.356695
856.868995,1000,1323.379456
837.580326,1000,1335.130401
616.764789,1000,1335.976365
616.764789,1000,1336.813157
616.764789,1000,1337.641071
616.764789,1000,1338.461855
616.764789,1000,1339.24619
773.57335,1000,1351.213911
845.49134,1000,1363.15868
754.669242,1000,1375.268145
824.376371,1000,1387.201354
853.513909,1000,1399.201281
1027.82679,1000,1400.028102
1027.82679,1000,1400.837274
1027.82679,1000,1401.621163
1027.82679,1000,1402.439248
1027.82679,1000,1403.255699
855.615481,1000,1415.151889
832.349546,1000,1427.063588
876.712841,1000,1438.748475
693.979292,1000,1450.755468
760.280759,1000,1462.632395
770.914532,1000,1463.503864
770.914532,1000,1464.318207
770.914532,1000,1465.136393
770.914532,1000,1465.963236
770.914532,1000,1466.775318
752.251459,1000,1478.684343
750.188767,1000,1490.535496
792.712267,1000,1502.259008
765.735605,1000,1514.249329
768.509417,1000,1526.103525
825.035436,1000,1526.919327
825.035436,1000,1527.76149
825.035436,1000,1528.566224
825.035436,1000,1529.366515
825.035436,1000,1530.17028
678.348847,1000,1542.10174
724.818712,1000,1553.834337
-2.03757,1000,1565.363664
368.049513,1000,1576.944267
686.948213,1000,1588.467902
-2.557997,1000,1589.228196
-2.557997,1000,1589.987721
