#{"t_start": 1613493940.227842, "env_id": null}
r,l,t
-194.138785,247,22.371418
0.000842,1,26.301428
-190.473647,247,47.430176
0.007595,1,51.643741
-194.376897,353,81.81367
0.011997,1,85.762313
-182.415976,410,120.799799
0.039456,1,124.750762
-152.315439,423,160.80444
0.000117,1,250.978313
-198.608029,209,268.947134
0.086241,1,272.840389
-193.799924,262,295.360569
0.001314,1,299.497678
-172.31601,826,369.75371
0.031166,1,374.110813
-194.994154,269,397.295805
0.012018,1,401.743691
-181.332653,754,466.020408
-0.000324,1,556.197952
2.702435,165,570.427903
-191.036604,284,598.486993
0.023715,1,602.684097
-193.450425,316,629.767267
-0.000294,1,633.89649
-195.346695,277,657.712405
0.048501,1,661.851864
-196.603769,293,687.002941
0.062009,1,691.145853
-195.080752,199,798.05813
0.011808,1,802.086956
-199.966017,94,810.419671
-0.000182,1,814.623591
-192.052716,306,840.801205
0.026405,1,844.965953
-197.802388,146,857.339533
0.009025,1,861.404354
-184.635167,202,878.674389
0.021772,1,882.859051
-200.306326,127,983.767023
0.019118,1,987.734511
-198.087538,198,1004.988394
0.007755,1,1009.076256
2.372533,273,1032.018316
-198.862796,66,1041.548689
0.004326,1,1045.574569
-187.47692,369,1077.186448
-0.000496,1,1081.380682
-164.115147,811,1149.887384
-157.042003,904,1317.248017
0.004857,1,1321.288538
0.382243,111,1331.10501
-192.930559,287,1359.468812
0.015178,1,1363.637241
-192.064259,361,1394.694452
0.066204,1,1398.926345
-193.688673,72,1405.260536
0.094912,1,1409.463529
-181.917859,310,1443.939661
-3.7e-05,1,1534.141701
25.997229,1000,1654.637859
128.67476,1000,1770.815006
-124.095856,587,1838.243767
102.330811,1000,1955.181679
691.918438,1000,2068.84769
916.117819,1000,2180.41066
1123.614512,1000,2294.30136
1045.28677,1000,2409.126564
535.751834,1000,2612.725095
1036.558543,1000,2727.334221
1041.537406,1000,2840.725252
1052.717433,1000,2953.043637
1051.871706,1000,3066.617378
1064.73327,1000,3180.807702
1055.505013,1000,3295.46568
1051.833646,1000,3409.767324
1059.762272,1000,3525.452776
1065.313118,1000,3641.710428
1014.524616,1000,3845.755572
1057.100128,1000,3960.29367
1061.38842,1000,4075.298358
1045.15589,1000,4163.421536
1073.225477,1000,4278.715595
1072.62549,1000,4392.475466
1072.475559,1000,4507.572922
1075.585697,1000,4620.622497
1076.043506,1000,4733.15113
1050.205111,1000,4936.448729
1077.740568,1000,5050.948704
1078.761072,1000,5164.286432
1073.155283,1000,5278.469327
1077.040833,1000,5400.219812
1075.253748,1000,5525.927165
1066.884748,1000,5650.053231
89.831048,245,5681.480939
1.083169,1,5685.893311
1077.140338,1000,5807.333268
1055.928863,1000,6022.770954
1048.196962,1000,6204.268535
1087.086544,1000,6331.974351
1075.255833,1000,6451.115649
1077.64514,1000,6566.370486
1088.509017,1000,6694.416195
1093.984212,1000,6819.926218
1096.309531,1000,6947.278762
1101.315848,1000,7074.351076
1067.291145,1000,7278.966974
1102.346315,1000,7401.630116
1097.139475,1000,7526.163531
