#{"t_start": 1612968839.3727171, "env_id": null}
r,l,t
-192.663476,495,27.296067
0.004438,1,30.879537
-190.308216,451,55.620937
0.081953,1,59.40811
-141.211902,737,100.504219
0.001246,1,104.461513
-184.408284,231,117.378583
0.012188,1,121.291288
100.065168,1000,176.12643
9.755076,1000,321.067476
11.149049,1000,377.703063
11.235345,1000,434.119183
22.314419,1000,490.251144
2.998316,1000,546.623347
10.969197,1000,603.420063
-177.743842,894,652.710079
0.144616,1,656.762841
-197.408354,104,662.554805
0.05212,1,666.562566
-198.459268,563,792.333272
0.000457,1,796.212217
-199.846959,89,802.120305
0.01054,1,805.994799
35.046475,1000,873.26129
-165.089543,722,922.895545
0.06638,1,926.864651
-191.639045,182,938.766896
0.062514,1,942.720881
-186.685988,349,966.437806
-2.9e-05,1,1056.567443
-199.875962,232,1072.015959
0.012132,1,1076.008029
36.118044,1000,1143.502981
-197.085658,122,1151.91778
0.010452,1,1155.996692
-198.572065,226,1171.27997
0.015428,1,1175.316602
-187.74574,580,1214.652553
0.000741,1,1218.531658
-1.600832,150,1317.270852
-199.222251,528,1355.740894
0.059031,1,1359.757128
26.744299,1000,1426.398232
-183.481246,494,1459.975172
0.007661,1,1463.945518
16.519095,1000,1531.399295
32.375057,1000,1598.232863
26.908234,1000,1664.842979
71.551371,1000,1823.018575
270.897134,1000,1892.320649
217.856762,1000,1960.80209
244.300558,1000,2029.564048
201.822565,1000,2097.36895
242.23479,1000,2164.699793
274.014589,1000,2233.310532
309.989642,1000,2304.169945
318.292585,1000,2372.756883
-2.121844,1000,2582.317082
24.228621,1000,2649.175521
17.317651,1000,2715.854294
29.897033,1000,2784.768524
82.781428,1000,2851.834383
107.433704,1000,2920.356151
150.313489,1000,2988.381423
72.214407,1000,3057.15605
69.318833,1000,3125.984375
29.615757,1000,3194.584594
34.354762,1000,3351.998278
43.363922,1000,3420.962945
24.058173,1000,3489.77654
19.401447,1000,3559.303797
15.484387,1000,3628.353816
86.894713,1000,3698.39719
111.175296,1000,3751.593651
145.043354,1000,3820.86894
134.599541,1000,3888.565388
17.281438,1000,4051.722449
9.18689,1000,4126.166361
21.404337,1000,4202.881445
19.709511,1000,4279.964806
22.615405,1000,4356.782473
43.695336,1000,4432.050011
88.600398,1000,4508.741771
72.653405,1000,4586.122295
62.592313,1000,4661.064916
115.563479,1000,4737.65781
22.23424,1000,4902.248108
26.278783,1000,4977.809295
14.778574,1000,5054.068604
-2.494161,1000,5109.373771
8.423808,1000,5185.756958
20.469558,1000,5261.796674
23.78692,1000,5337.799217
22.787241,1000,5414.568568
23.534226,1000,5488.637614
26.668692,1000,5646.31367
70.157577,1000,5714.489277
41.851141,1000,5784.468881
38.454468,1000,5854.02449
34.997109,1000,5924.228338
79.543102,1000,5994.178476
67.802482,1000,6063.285237
62.700475,1000,6132.261508
37.38886,1000,6202.789559
38.589509,1000,6273.256729
-5.654387,1000,6416.286219
53.646565,1000,6486.759551
