#{"t_start": 1679509164.192106, "env_id": null}
r,l,t
-25.962744,800,1.656884
-6.018882,800,1.920107
-32.869121,800,2.138413
-8.288142,800,2.339305
-6.846698,800,2.5367
-6.710715,800,2.73627
-3.6488,800,4.239401
-3.6488,800,4.944161
-3.6488,800,5.60835
-3.6488,800,6.29079
-3.6488,800,6.999721
-7.285887,800,7.246738
-6.359013,800,7.44918
-11.975584,800,7.668433
-0.383507,800,7.875924
-3.085712,800,8.078192
-29.807918,800,8.29524
-3.6488,800,9.007813
-3.6488,800,9.67892
-3.6488,800,10.380417
-3.6488,800,11.055324
-3.6488,800,11.729285
