,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_starts,params_lr,params_net_arch,params_target_update_interval,state
0,0,0.0,2021-07-05 11:24:26.142998,2021-07-05 11:35:27.242053,0 days 00:11:01.099055000,512,10000,0.006413788401266474,0.41012483265785604,0.9999,20000,0.015469439642779022,medium,1500,COMPLETE
1,1,379.4550476074219,2021-07-05 11:24:26.145077,2021-07-05 11:31:56.943741,0 days 00:07:30.798664000,256,100000,0.07448130740403536,0.4960179809953298,0.995,20000,5.9231203637108555e-05,medium,200,COMPLETE
2,2,-316.61328125,2021-07-05 11:24:26.148820,2021-07-05 11:30:47.727682,0 days 00:06:21.578862000,512,100000,0.19514994837115388,0.46960483623870136,0.995,20000,0.002985173190782859,small,1500,COMPLETE
3,3,408.0874328613281,2021-07-05 11:30:47.729391,2021-07-05 11:37:10.187646,0 days 00:06:22.458255000,256,50000,0.03581285657624467,0.1971468940191229,0.999,5000,0.002925202048125574,small,5000,COMPLETE
4,4,342.333984375,2021-07-05 11:31:56.945291,2021-07-05 11:41:08.402856,0 days 00:09:11.457565000,256,10000,0.19719135433797108,0.402481740501955,0.9999,0,3.0224568600157817e-05,medium,5000,COMPLETE
5,5,-244.73915100097656,2021-07-05 11:35:27.243788,2021-07-05 11:44:05.509230,0 days 00:08:38.265442000,1024,10000,0.1484259988993621,0.1484540910475552,0.98,10000,0.00027746352469458903,small,1000,COMPLETE
6,6,29.37489128112793,2021-07-05 11:37:10.189181,2021-07-05 11:46:09.253696,0 days 00:08:59.064515000,1024,10000,0.1158372581606567,0.2590592429872584,0.98,10000,2.9366134037292966e-05,small,10000,COMPLETE
7,7,-402.1898193359375,2021-07-05 11:41:08.404510,2021-07-05 11:43:07.196591,0 days 00:01:58.792081000,128,50000,0.0037538582555475056,0.05159803374701716,0.999,5000,0.09507283465322737,small,5000,PRUNED
8,8,0.0,2021-07-05 11:43:07.197533,2021-07-05 11:46:38.457373,0 days 00:03:31.259840000,1024,500000,0.07475167540562552,0.15533774787522267,0.98,1000,0.0006265481811506243,small,10000,PRUNED
9,9,0.04748744145035744,2021-07-05 11:44:05.510612,2021-07-05 11:47:03.176032,0 days 00:02:57.665420000,256,50000,0.05985458708418818,0.2462410196536124,0.9,1000,0.0028103893710717,small,1,PRUNED
10,10,-348.00592041015625,2021-07-05 11:46:09.255280,2021-07-05 11:49:40.826473,0 days 00:03:31.571193000,256,500000,0.05080440626263191,0.2507624845875734,0.95,1000,0.001894712565574207,small,1,PRUNED
11,11,0.0,2021-07-05 11:46:38.458460,2021-07-05 11:55:51.393358,0 days 00:09:12.934898000,256,50000,0.036303136750017,0.28405395675298867,0.95,5000,0.009445910455266366,small,1,COMPLETE
12,12,-19.57061004638672,2021-07-05 11:47:03.176969,2021-07-05 11:49:59.390953,0 days 00:02:56.213984000,256,50000,0.031614111031409896,0.0348330556575594,0.99,5000,0.04658459195773552,small,5000,PRUNED
13,13,345.1594543457031,2021-07-05 11:49:40.828890,2021-07-05 12:00:04.018675,0 days 00:10:23.189785000,256,100000,0.029719789096796883,0.34741268199177433,0.99,5000,0.00022788001161649736,medium,200,COMPLETE
14,14,-301.42864990234375,2021-07-05 11:49:59.391662,2021-07-05 11:51:18.170440,0 days 00:01:18.778778000,256,100000,0.0966750223360685,0.32406015749881845,0.995,20000,0.00014420456916794906,medium,200,PRUNED
15,15,-315.591552734375,2021-07-05 11:51:18.172473,2021-07-05 11:54:31.142596,0 days 00:03:12.970123000,256,100000,0.029315145902147705,0.13496720375053228,0.999,5000,0.010043235261723233,medium,200,PRUNED
16,16,-48.41937255859375,2021-07-05 11:54:31.143676,2021-07-05 11:55:37.334504,0 days 00:01:06.190828000,128,100000,0.09566142977050071,0.3201037675510942,0.995,20000,0.00012331897643768377,medium,200,PRUNED
17,17,-327.606201171875,2021-07-05 11:55:37.335535,2021-07-05 11:57:57.396682,0 days 00:02:20.061147000,256,50000,0.13468826655854105,0.19526727315328601,0.999,5000,1.197301119082955e-05,medium,1000,PRUNED
18,18,-339.1087951660156,2021-07-05 11:55:51.394864,2021-07-05 11:58:53.995198,0 days 00:03:02.600334000,256,100000,0.1283957614284539,0.19189708306848846,0.999,0,0.0006405014386943498,medium,200,PRUNED
19,19,-340.8716125488281,2021-07-05 11:57:57.397873,2021-07-05 12:00:41.411413,0 days 00:02:44.013540000,128,100000,0.07159479549181622,0.4978900263973543,0.999,0,0.0009310030954382678,medium,200,PRUNED
20,20,67.75006866455078,2021-07-05 11:58:53.996415,2021-07-05 11:59:43.370367,0 days 00:00:49.373952000,128,100000,0.06854163562379822,0.49673080539706327,0.995,20000,6.368644351111083e-05,medium,5000,PRUNED
21,21,-349.97747802734375,2021-07-05 11:59:43.371367,2021-07-05 12:10:55.714543,0 days 00:11:12.343176000,512,500000,0.08580498255268566,0.07874974144032658,0.9,10000,0.0003129526460439911,medium,200,COMPLETE
22,22,0.0,2021-07-05 12:00:04.020353,2021-07-05 12:01:26.404360,0 days 00:01:22.384007000,512,500000,0.08121874950432416,0.07196623210284997,0.9,20000,0.0014616811835937223,medium,5000,PRUNED
23,23,0.0,2021-07-05 12:00:41.413485,2021-07-05 12:02:52.173573,0 days 00:02:10.760088000,256,100000,0.014316654703267068,0.3887249582396164,0.99,5000,0.00027609596998725606,medium,200,PRUNED
24,24,-334.3891296386719,2021-07-05 12:01:26.405618,2021-07-05 12:10:00.067828,0 days 00:08:33.662210000,256,100000,0.01632271333735867,0.379411921783131,0.99,5000,0.0002523479251433286,medium,200,COMPLETE
25,25,-350.36669921875,2021-07-05 12:02:52.175055,2021-07-05 12:05:01.668199,0 days 00:02:09.493144000,256,100000,0.04700475686659364,0.35405883550241085,0.99,5000,4.2855491393020135e-05,medium,200,PRUNED
26,26,-354.72021484375,2021-07-05 12:05:01.669287,2021-07-05 12:07:10.067125,0 days 00:02:08.397838000,256,50000,0.01999671309615371,0.44527860690835264,0.99,5000,1.4498508703865772e-05,medium,200,PRUNED
27,27,-0.24651843309402466,2021-07-05 12:07:10.068220,2021-07-05 12:09:10.036501,0 days 00:01:59.968281000,256,100000,0.05414872091396575,0.2050653699441548,0.99,10000,0.0003047181696222156,medium,5000,PRUNED
28,28,-260.99090576171875,2021-07-05 12:09:10.038369,2021-07-05 12:10:59.479350,0 days 00:01:49.440981000,256,50000,0.039970083762403054,0.09416369659686508,0.995,5000,8.856898493209713e-05,small,200,PRUNED
29,29,333.5538330078125,2021-07-05 12:10:00.069429,2021-07-05 12:12:12.203979,0 days 00:02:12.134550000,256,50000,0.040961464796706,0.09475495807391082,0.995,5000,0.00011592604451624671,small,1500,PRUNED
30,30,-349.41864013671875,2021-07-05 12:10:55.716265,2021-07-05 12:16:51.629933,0 days 00:05:55.913668000,256,50000,0.038152179914465026,0.10560552075124865,0.995,5000,9.80268140555095e-05,small,1000,COMPLETE
31,31,-2.9145572185516357,2021-07-05 12:10:59.480454,2021-07-05 12:12:26.148247,0 days 00:01:26.667793000,256,100000,0.06276200080949655,0.42859042976254175,0.9999,20000,0.005744668447768258,medium,1500,PRUNED
32,32,267.1344909667969,2021-07-05 12:12:12.205164,2021-07-05 12:14:10.563814,0 days 00:01:58.358650000,1024,100000,0.10828089524155901,0.4415324471785193,0.9999,20000,0.007007705484042903,medium,1000,PRUNED
33,33,-0.03804268315434456,2021-07-05 12:12:26.149496,2021-07-05 12:15:11.773133,0 days 00:02:45.623637000,256,10000,0.19824510002382517,0.41024365858990425,0.9999,0,2.2968570585157333e-05,medium,5000,PRUNED
34,34,0.0,2021-07-05 12:14:10.565540,2021-07-05 12:17:06.223892,0 days 00:02:55.658352000,256,10000,0.18595213873336897,0.3984876203034122,0.9999,0,2.9579163063350108e-05,medium,5000,PRUNED
35,35,0.0,2021-07-05 12:15:11.774711,2021-07-05 12:18:36.707328,0 days 00:03:24.932617000,512,10000,0.18241823010296698,0.4761251615424199,0.9999,0,3.583757827500347e-05,medium,5000,PRUNED
