,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_starts,params_lr,params_net_arch,params_target_update_interval,state
0,0,1.1574411392211914,2021-06-16 14:16:10.566945,2021-06-16 14:19:24.640900,0 days 00:03:14.073955000,128,500000,0.18060709017856258,0.41002594937604636,0.9,20000,0.0007118312718199578,small,10000,COMPLETE
1,1,869.5239868164062,2021-06-16 14:16:10.568813,2021-06-16 14:24:08.134821,0 days 00:07:57.566008000,512,10000,0.12677091071056829,0.46662776384407817,0.95,5000,1.0239778049627675e-05,medium,5000,COMPLETE
2,2,849.6359252929688,2021-06-16 14:16:10.570261,2021-06-16 14:22:15.694056,0 days 00:06:05.123795000,1024,100000,0.0068366242159563885,0.3084462229820348,0.995,10000,8.577904183182539e-05,small,1000,COMPLETE
3,3,1436.0084228515625,2021-06-16 14:19:24.644020,2021-06-16 14:25:37.557056,0 days 00:06:12.913036000,512,500000,0.10945864156704042,0.22294390377014067,0.999,20000,0.0011864307732206412,medium,1000,COMPLETE
4,4,-404.59521484375,2021-06-16 14:22:15.695535,2021-06-16 14:27:09.104776,0 days 00:04:53.409241000,128,10000,0.08365608868788768,0.49985581780884786,0.99,0,0.023900124542748764,small,1500,COMPLETE
5,5,1420.89892578125,2021-06-16 14:24:08.136242,2021-06-16 14:29:09.023657,0 days 00:05:00.887415000,256,50000,0.13217154064021858,0.3559379623901614,0.9,1000,0.00021889596502718453,small,200,COMPLETE
6,6,506.6778869628906,2021-06-16 14:25:37.558205,2021-06-16 14:31:14.994535,0 days 00:05:37.436330000,256,100000,0.16855553946226343,0.14018452078451932,0.999,20000,0.0027434277983200434,medium,5000,PRUNED
7,7,1406.9864501953125,2021-06-16 14:27:09.106033,2021-06-16 14:36:43.885103,0 days 00:09:34.779070000,512,500000,0.08110704102490851,0.035706700472391106,0.999,1000,0.016933638712948652,medium,1000,COMPLETE
8,8,-412.311767578125,2021-06-16 14:29:09.026546,2021-06-16 14:29:40.045968,0 days 00:00:31.019422000,512,500000,0.05725275834015993,0.08728597321095627,0.999,20000,0.01454095656418566,medium,1,PRUNED
9,9,-6.983597278594971,2021-06-16 14:29:40.047041,2021-06-16 14:29:45.373281,0 days 00:00:05.326240000,512,500000,0.1923315896169147,0.1341062467394361,0.9999,20000,0.006650980461979432,medium,1000,PRUNED
10,10,133.86111450195312,2021-06-16 14:29:45.373915,2021-06-16 14:30:53.096890,0 days 00:01:07.722975000,256,50000,0.04165322761562806,0.19524880458405391,0.98,10000,0.002678543286784345,medium,1000,PRUNED
11,11,0.7787507772445679,2021-06-16 14:30:53.097929,2021-06-16 14:39:13.178928,0 days 00:08:20.080999000,512,500000,0.14580818791935246,0.015170256802198023,0.999,0,3.0102600213744697e-05,medium,10000,PRUNED
12,12,-307.94281005859375,2021-06-16 14:31:14.995189,2021-06-16 14:33:43.416464,0 days 00:02:28.421275000,512,500000,0.11243010230208843,0.0053476571370926484,0.999,0,2.2878018324785808e-05,medium,1000,PRUNED
13,13,1416.8677978515625,2021-06-16 14:33:43.417304,2021-06-16 14:38:01.437974,0 days 00:04:18.020670000,256,50000,0.14305217660517722,0.316745501182228,0.9,1000,0.00026153336969300304,small,200,COMPLETE
14,14,1404.583251953125,2021-06-16 14:36:43.886323,2021-06-16 14:42:58.118571,0 days 00:06:14.232248000,256,50000,0.13695253358961312,0.3012759472723776,0.9,1000,0.00023067194824726999,small,200,COMPLETE
15,15,1404.2742919921875,2021-06-16 14:38:01.439489,2021-06-16 14:44:16.199228,0 days 00:06:14.759739000,256,50000,0.15107030906321758,0.2746428197708357,0.9,1000,0.0002719370513745856,small,200,PRUNED
16,16,1400.7105712890625,2021-06-16 14:39:13.180863,2021-06-16 14:45:22.587956,0 days 00:06:09.407093000,256,50000,0.10342379722458986,0.2883445235084513,0.9,1000,0.00029833611530153125,small,200,PRUNED
17,17,-6.983597278594971,2021-06-16 14:42:58.120170,2021-06-16 14:45:35.274318,0 days 00:02:37.154148000,1024,50000,0.0990156096027476,0.3873956617030403,0.9,1000,0.08320615473316444,small,200,PRUNED
18,18,1431.170654296875,2021-06-16 14:44:16.200469,2021-06-16 14:52:19.639298,0 days 00:08:03.438829000,1024,50000,0.0994275432176456,0.38481625201341135,0.99,5000,0.0007464459575383823,small,200,COMPLETE
19,19,856.6784057617188,2021-06-16 14:45:22.589654,2021-06-16 14:53:57.494860,0 days 00:08:34.905206000,1024,10000,0.08355875260652909,0.39361407945334465,0.9999,5000,0.0013445287944884128,small,1,PRUNED
20,20,1412.0396728515625,2021-06-16 14:45:35.275452,2021-06-16 14:53:34.830558,0 days 00:07:59.555106000,128,10000,0.05893142604887379,0.2313806065053288,0.95,5000,0.0011642252775146543,medium,1,COMPLETE
21,21,1430.932373046875,2021-06-16 14:52:19.640446,2021-06-16 15:04:06.290661,0 days 00:11:46.650215000,1024,10000,0.053403447194785805,0.21711114442658305,0.99,5000,0.0011208552745919636,medium,1500,COMPLETE
22,22,1396.2978515625,2021-06-16 14:53:34.831702,2021-06-16 14:59:19.911238,0 days 00:05:45.079536000,1024,100000,0.01493216353603051,0.2186259857476759,0.99,5000,0.0009655527746488768,small,1500,PRUNED
23,23,971.2212524414062,2021-06-16 14:53:57.496313,2021-06-16 14:57:29.551486,0 days 00:03:32.055173000,1024,50000,0.1170801377701785,0.35500145155968943,0.99,5000,8.560341474755485e-05,small,200,PRUNED
24,24,1404.810546875,2021-06-16 14:57:29.552388,2021-06-16 15:03:38.655989,0 days 00:06:09.103601000,1024,50000,0.16128377853441883,0.4434394222973631,0.99,5000,0.0005750090772885791,small,1500,COMPLETE
25,25,-404.59521484375,2021-06-16 14:59:19.912519,2021-06-16 14:59:27.217326,0 days 00:00:07.304807000,1024,50000,0.09765301022071263,0.449329223700325,0.99,20000,9.685275019020573e-05,small,200,PRUNED
26,26,-5.039337158203125,2021-06-16 14:59:27.217929,2021-06-16 14:59:32.178679,0 days 00:00:04.960750000,1024,50000,0.16156434335427008,0.36202935662624036,0.98,20000,0.0005261255983166947,small,200,PRUNED
27,27,-1.364356279373169,2021-06-16 14:59:32.179206,2021-06-16 15:00:21.010205,0 days 00:00:48.830999000,256,50000,0.12780393304370607,0.17548204649779486,0.995,10000,0.003241799448822595,small,1000,PRUNED
28,28,759.2196655273438,2021-06-16 15:00:21.011353,2021-06-16 15:03:06.420976,0 days 00:02:45.409623000,512,500000,0.06795289346081093,0.3413051062747681,0.99,5000,0.00014101629491518734,small,200,PRUNED
29,29,-8.20959186553955,2021-06-16 15:03:06.421990,2021-06-16 15:04:58.112903,0 days 00:01:51.690913000,128,50000,0.11715739709800095,0.4457672776713426,0.995,1000,0.004895992852932855,medium,10000,PRUNED
30,30,-404.59521484375,2021-06-16 15:03:38.657140,2021-06-16 15:03:42.934826,0 days 00:00:04.277686000,512,500000,0.11468478392697279,0.24180783761370456,0.98,20000,3.6609183423203805e-05,medium,5000,PRUNED
31,31,540.6187744140625,2021-06-16 15:03:42.936348,2021-06-16 15:04:53.383973,0 days 00:01:10.447625000,128,50000,0.18794716008127682,0.4326262539843783,0.9999,1000,0.0016868666721476387,small,10000,PRUNED
32,32,791.396240234375,2021-06-16 15:04:06.292345,2021-06-16 15:10:33.062320,0 days 00:06:26.769975000,1024,10000,0.026298201864939197,0.16673845886636468,0.99,5000,0.005303415081700464,medium,1500,PRUNED
33,33,1408.2362060546875,2021-06-16 15:04:53.385168,2021-06-16 15:14:19.361955,0 days 00:09:25.976787000,1024,10000,0.03539052549101207,0.2728945623823114,0.99,5000,0.0005704324582163001,medium,1500,COMPLETE
34,34,1407.5740966796875,2021-06-16 15:04:58.113336,2021-06-16 15:14:28.608823,0 days 00:09:30.495487000,1024,10000,0.03179115568074024,0.263502003189953,0.99,5000,0.0005030326437439997,medium,1500,COMPLETE
35,35,638.6932373046875,2021-06-16 15:10:33.063152,2021-06-16 15:13:00.393118,0 days 00:02:27.329966000,1024,10000,0.13149193982616222,0.26979745453566084,0.95,5000,0.000519922194106095,medium,1500,PRUNED
36,36,1394.54345703125,2021-06-16 15:13:00.394851,2021-06-16 15:22:07.260011,0 days 00:09:06.865160000,1024,10000,0.09078142430039968,0.25703898373346973,0.99,5000,0.000445540577319442,medium,1500,COMPLETE
37,37,0.2997710108757019,2021-06-16 15:14:19.363310,2021-06-16 15:16:37.326134,0 days 00:02:17.962824000,1024,100000,0.07138664287843526,0.4969704647045701,0.99,5000,0.0021868775867802848,medium,5000,PRUNED
38,38,-404.59521484375,2021-06-16 15:14:28.609758,2021-06-16 15:14:31.732374,0 days 00:00:03.122616000,256,100000,0.07196181880518014,0.20213506175517051,0.999,20000,0.0017074572530838274,medium,5000,PRUNED
39,39,1425.823974609375,2021-06-16 15:14:31.733014,2021-06-16 15:19:31.735473,0 days 00:05:00.002459000,512,500000,0.09674634039478927,0.4846994317318749,0.9,10000,0.0001572751647453992,medium,1000,COMPLETE
40,40,914.5221557617188,2021-06-16 15:16:37.327806,2021-06-16 15:18:27.011082,0 days 00:01:49.683276000,512,500000,0.08976804259100486,0.318030042639482,0.999,10000,0.00017922262926224335,small,1000,PRUNED
41,41,-101.92254638671875,2021-06-16 15:18:27.011824,2021-06-16 15:20:30.225120,0 days 00:02:03.213296000,512,10000,0.05559965164638791,0.08915235117004885,0.9,0,0.0008839872223766758,medium,1000,PRUNED
42,42,1.8129847049713135,2021-06-16 15:19:31.736625,2021-06-16 15:20:26.377324,0 days 00:00:54.640699000,512,500000,0.04859162329254189,0.48253673840972205,0.95,10000,5.9339498878549455e-05,medium,1000,PRUNED
43,43,754.2079467773438,2021-06-16 15:20:26.378183,2021-06-16 15:21:35.556064,0 days 00:01:09.177881000,512,500000,0.10700380731862733,0.1137201862886514,0.9,10000,0.0009903378597890921,medium,1000,PRUNED
44,44,722.58544921875,2021-06-16 15:20:30.225600,2021-06-16 15:21:26.662461,0 days 00:00:56.436861000,512,500000,0.09174936535851803,0.40647416905619205,0.9,10000,0.0003450054303801511,medium,1000,PRUNED
45,45,652.6262817382812,2021-06-16 15:21:26.663300,2021-06-16 15:22:40.931819,0 days 00:01:14.268519000,512,500000,0.10697250193927241,0.133635120588141,0.9,10000,0.0001345729771497292,medium,1000,PRUNED
46,46,-6.983597278594971,2021-06-16 15:21:35.557344,2021-06-16 15:21:40.157778,0 days 00:00:04.600434000,512,500000,0.12350176893713868,0.16191604419682465,0.999,20000,0.00015676074765284305,medium,1000,PRUNED
47,47,684.6728515625,2021-06-16 15:21:40.158743,2021-06-16 15:22:36.666352,0 days 00:00:56.507609000,256,500000,0.07678126334460225,0.4706508718684826,0.9,10000,0.008590945789760518,medium,200,PRUNED
48,48,1021.2587890625,2021-06-16 15:22:07.261490,2021-06-16 15:25:16.393867,0 days 00:03:09.132377000,256,500000,0.10793448694234789,0.20562609775582716,0.9,10000,0.00871763035619899,medium,200,PRUNED
49,49,1399.6885986328125,2021-06-16 15:22:36.667278,2021-06-16 15:27:52.829245,0 days 00:05:16.161967000,512,500000,0.1374170512959907,0.20651282475117314,0.9,0,5.7160948627031896e-05,medium,1000,PRUNED
50,50,597.2914428710938,2021-06-16 15:22:40.932296,2021-06-16 15:23:49.385687,0 days 00:01:08.453391000,256,500000,0.14549655056372107,0.3326828429275016,0.999,0,0.003592937014014414,small,200,PRUNED
51,51,-309.751708984375,2021-06-16 15:23:49.386967,2021-06-16 15:26:39.735035,0 days 00:02:50.348068000,512,50000,0.1397233552044462,0.20703358700739904,0.995,1000,1.7311134891683863e-05,medium,1,PRUNED
52,52,-239.9720001220703,2021-06-16 15:25:16.396228,2021-06-16 15:27:11.534515,0 days 00:01:55.138287000,512,50000,0.13605111211445486,0.296104215592205,0.9999,1000,1.2135813104021467e-05,small,1,PRUNED
53,53,750.0648803710938,2021-06-16 15:26:39.736014,2021-06-16 15:28:08.409575,0 days 00:01:28.673561000,256,50000,0.1742285772677527,0.3757123949033154,0.9,1000,0.00031193176624643836,small,200,PRUNED
54,54,35.441123962402344,2021-06-16 15:27:11.535409,2021-06-16 15:30:36.957038,0 days 00:03:25.421629000,256,50000,0.15122680344970985,0.36916935268301465,0.9,1000,0.00024283750389267005,small,200,PRUNED
55,55,1346.89404296875,2021-06-16 15:27:52.830115,2021-06-16 15:31:29.091239,0 days 00:03:36.261124000,256,50000,0.1569369942037587,0.3669550942857969,0.9,1000,0.00021518508213122463,small,200,PRUNED
56,56,1407.2823486328125,2021-06-16 15:28:08.411191,2021-06-16 15:33:53.575407,0 days 00:05:45.164216000,256,50000,0.14981375049624931,0.3176711528810176,0.9,1000,0.000226907536402826,small,200,COMPLETE
57,57,1386.721435546875,2021-06-16 15:30:36.958188,2021-06-16 15:34:33.967818,0 days 00:03:57.009630000,256,50000,0.1556236848510316,0.319369826192303,0.9,1000,0.0008551549607272856,small,200,PRUNED
58,58,-6.983597278594971,2021-06-16 15:31:29.092437,2021-06-16 15:31:35.442229,0 days 00:00:06.349792000,256,50000,0.12245403153530914,0.31929962978822507,0.98,20000,0.0007353292504554274,small,200,PRUNED
59,59,1119.3306884765625,2021-06-16 15:31:35.443173,2021-06-16 15:34:59.131659,0 days 00:03:23.688486000,128,50000,0.0060720800373429695,0.23562634905681684,0.999,1000,0.00038858533243710204,small,200,PRUNED
60,60,-6.983597278594971,2021-06-16 15:33:53.577025,2021-06-16 15:33:59.540811,0 days 00:00:05.963786000,128,100000,0.0021987434002827266,0.24303111988371254,0.999,20000,0.00010199389253943349,small,10000,PRUNED
61,61,1397.1820068359375,2021-06-16 15:33:59.541619,2021-06-16 15:39:04.120336,0 days 00:05:04.578717000,1024,50000,0.09826772781075828,0.4205231959629373,0.99,1000,0.0007240157049067401,small,200,PRUNED
62,62,1433.642822265625,2021-06-16 15:34:33.968882,2021-06-16 15:42:02.670965,0 days 00:07:28.702083000,1024,50000,0.12070052381440899,0.42134191141973726,0.99,5000,0.00037147543151252457,small,1000,COMPLETE
63,63,-8.268566131591797,2021-06-16 15:34:59.132530,2021-06-16 15:36:50.007046,0 days 00:01:50.874516000,128,10000,0.051375083028198855,0.22623396748755453,0.95,5000,0.001423002559653357,medium,1,PRUNED
64,64,-288.80841064453125,2021-06-16 15:36:50.008217,2021-06-16 15:38:42.316132,0 days 00:01:52.307915000,128,10000,0.06494774815520507,0.18286468551465682,0.95,5000,0.0012563973589269964,medium,1,PRUNED
65,65,1397.1826171875,2021-06-16 15:38:42.317157,2021-06-16 15:43:32.292468,0 days 00:04:49.975311000,128,10000,0.08139036059938441,0.29021029758101846,0.95,5000,0.0022747171429211466,medium,1,PRUNED
66,66,1425.1566162109375,2021-06-16 15:39:04.121360,2021-06-16 15:46:22.774034,0 days 00:07:18.652674000,128,10000,0.06273488055939075,0.3461088619602523,0.95,5000,0.002018847842361721,medium,1,COMPLETE
67,67,877.6426391601562,2021-06-16 15:42:02.672696,2021-06-16 15:46:20.561019,0 days 00:04:17.888323000,1024,50000,0.1281707283163602,0.40076999408610714,0.99,5000,6.991093580312427e-05,small,1000,PRUNED
68,68,1434.872802734375,2021-06-16 15:43:32.293673,2021-06-16 15:49:34.809976,0 days 00:06:02.516303000,1024,50000,0.11730276397985596,0.39741023882077803,0.99,5000,0.00036288074310629947,small,1000,COMPLETE
