,num_tilings,num_tiles,actor_step_size,critic_step_size,avg_reward_step_size
0,8,16,0.015625,0.0625,0.00048828125
1,8,16,0.015625,0.0625,0.0009765625
2,8,16,0.015625,0.0625,0.001953125
3,8,16,0.015625,0.0625,0.00390625
4,8,16,0.015625,0.0625,0.0078125
5,8,16,0.015625,0.0625,0.015625
6,8,16,0.015625,0.0625,0.03125
7,8,16,0.015625,0.0625,0.0625
8,8,16,0.015625,0.0625,0.125
9,8,16,0.015625,0.0625,0.25
10,8,16,0.015625,0.125,0.00048828125
11,8,16,0.015625,0.125,0.0009765625
12,8,16,0.015625,0.125,0.001953125
13,8,16,0.015625,0.125,0.00390625
14,8,16,0.015625,0.125,0.0078125
15,8,16,0.015625,0.125,0.015625
16,8,16,0.015625,0.125,0.03125
17,8,16,0.015625,0.125,0.0625
18,8,16,0.015625,0.125,0.125
19,8,16,0.015625,0.125,0.25
20,8,16,0.015625,0.25,0.00048828125
21,8,16,0.015625,0.25,0.0009765625
22,8,16,0.015625,0.25,0.001953125
23,8,16,0.015625,0.25,0.00390625
24,8,16,0.015625,0.25,0.0078125
25,8,16,0.015625,0.25,0.015625
26,8,16,0.015625,0.25,0.03125
27,8,16,0.015625,0.25,0.0625
28,8,16,0.015625,0.25,0.125
29,8,16,0.015625,0.25,0.25
30,8,16,0.015625,0.5,0.00048828125
31,8,16,0.015625,0.5,0.0009765625
32,8,16,0.015625,0.5,0.001953125
33,8,16,0.015625,0.5,0.00390625
34,8,16,0.015625,0.5,0.0078125
35,8,16,0.015625,0.5,0.015625
36,8,16,0.015625,0.5,0.03125
37,8,16,0.015625,0.5,0.0625
38,8,16,0.015625,0.5,0.125
39,8,16,0.015625,0.5,0.25
40,8,16,0.015625,1.0,0.00048828125
41,8,16,0.015625,1.0,0.0009765625
42,8,16,0.015625,1.0,0.001953125
43,8,16,0.015625,1.0,0.00390625
44,8,16,0.015625,1.0,0.0078125
45,8,16,0.015625,1.0,0.015625
46,8,16,0.015625,1.0,0.03125
47,8,16,0.015625,1.0,0.0625
48,8,16,0.015625,1.0,0.125
49,8,16,0.015625,1.0,0.25
50,8,16,0.015625,2.0,0.00048828125
51,8,16,0.015625,2.0,0.0009765625
52,8,16,0.015625,2.0,0.001953125
53,8,16,0.015625,2.0,0.00390625
54,8,16,0.015625,2.0,0.0078125
55,8,16,0.015625,2.0,0.015625
