,timestep,x,x_dot,costheta,sintheta,theta_dot,action,reward
0,0,0.0,0.0,1.0,0.0,0.0,0,0.0
1,1,0.0,0.0,1.0,0.0,0.0,2,0.0
2,2,0.01121198944747448,0.4481273591518402,0.9996324777603149,-0.027108315378427505,-1.0781662464141846,1,-0.00013052282120614973
3,3,0.03353218734264374,0.4440174698829651,0.9968435168266296,-0.07939130812883377,-1.0043667554855347,0,-0.0012327829096896907
4,4,0.04435701295733452,-0.011181099340319633,0.9950588941574097,-0.09928618371486664,0.2093556970357895,0,-0.002448321607482414
5,5,0.03242243081331253,-0.4658496677875519,0.9982748031616211,-0.05871487036347389,1.4103976488113403,1,-0.0017654321649118961
6,6,0.009060252457857132,-0.4676843285560608,0.9999157190322876,0.012981868349015713,1.4422682523727417,1,-0.0001630864419641957
7,7,-0.01425056904554367,-0.46381676197052,0.9964891672134399,0.08372173458337784,1.374915361404419,0,0.0012477170339248804
8,8,-0.0484137162566185,-0.9009881615638733,0.9845917224884033,0.1748688966035843,2.2788445949554443,2,0.0018444159815081658
9,9,-0.0818924605846405,-0.4380391836166382,0.9673970341682434,0.25326454639434814,0.9197998046875,0,-0.0004644671852592139
10,10,-0.1143907904624939,-0.8606168031692505,0.9496233463287354,0.3133935332298279,1.5706759691238403,0,-0.007524802391239052
11,11,-0.1677917093038559,-1.2734832763671875,0.9167796969413757,0.399393230676651,2.085949420928955,1,-0.02877499772472833
12,12,-0.2306579351425171,-1.2409113645553589,0.8772914409637451,0.47995802760124207,1.488092303276062,2,-0.07165343762626059
13,13,-0.2810797691345215,-0.7766266465187073,0.8599057197570801,0.510452926158905,-0.08526093512773514,2,-0.12746745415367441
14,14,-0.30831247568130493,-0.31187140941619873,0.8813440799713135,0.47247499227523804,-1.657570481300354,0,-0.1783134813972634
15,15,-0.3340001106262207,-0.717066764831543,0.9140018820762634,0.4057098925113678,-1.2943168878555298,2,-0.23589111348413772
16,16,-0.35814517736434937,-0.24795114994049072,0.9506697654724121,0.31020480394363403,-2.7894246578216553,0,-0.2960048092628351
17,17,-0.36000001430511475,-0.670388400554657,0.9815278053283691,0.1913195252418518,-2.0913290977478027,0,-400.3147639042601
