,number,value,datetime_start,datetime_complete,duration,params_Ve,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_lr,params_net_arch,params_target_update_interval,state
0,0,374.4203186035156,2021-07-02 14:58:07.736929,2021-07-02 15:01:02.347779,0 days 00:02:54.610850000,11.721856499544236,128,500000,0.95,0,0.03623994000408193,small,500,COMPLETE
1,1,78.36583709716797,2021-07-02 14:58:07.739039,2021-07-02 14:58:33.281662,0 days 00:00:25.542623000,11.466061465481435,1024,10000,0.999,20000,0.004354694358439984,small,500,COMPLETE
2,2,0.270629346370697,2021-07-02 14:58:07.742948,2021-07-02 15:00:59.645962,0 days 00:02:51.903014000,11.340660830462166,64,500000,0.9,0,0.05289951239051025,small,500,COMPLETE
3,3,0.270629346370697,2021-07-02 14:58:33.283118,2021-07-02 15:00:25.456689,0 days 00:01:52.173571000,8.431212752086402,64,100000,0.995,10000,0.00824938956296726,medium,500,COMPLETE
4,4,421.9009704589844,2021-07-02 15:00:25.458722,2021-07-02 15:02:42.087974,0 days 00:02:16.629252000,8.06493865451893,256,500000,0.95,10000,0.0005327998387974361,medium,5,COMPLETE
5,5,313.93402099609375,2021-07-02 15:00:59.648782,2021-07-02 15:03:47.373038,0 days 00:02:47.724256000,9.749168150014844,1024,500000,0.999,5000,0.0019021269459271813,small,500,COMPLETE
6,6,0.270629346370697,2021-07-02 15:01:02.349435,2021-07-02 15:02:52.237929,0 days 00:01:49.888494000,8.65378916744022,64,50000,0.95,1000,0.07670441583592663,small,50,PRUNED
7,7,-39.63153076171875,2021-07-02 15:02:42.089964,2021-07-02 15:03:14.460180,0 days 00:00:32.370216000,5.3507366494937365,256,50000,0.98,5000,3.0953898004394464e-05,medium,5,PRUNED
8,8,0.5115948915481567,2021-07-02 15:02:52.239064,2021-07-02 15:04:54.900516,0 days 00:02:02.661452000,4.7394140181903115,256,500000,0.98,10000,1.746639186141885e-05,medium,5,COMPLETE
9,9,-199.92068481445312,2021-07-02 15:03:14.461279,2021-07-02 15:04:08.417824,0 days 00:00:53.956545000,6.214733105276199,512,500000,0.99,10000,9.862341352447087e-05,medium,5000,PRUNED
10,10,233.33407592773438,2021-07-02 15:03:47.374429,2021-07-02 15:06:21.269404,0 days 00:02:33.894975000,5.799659712533273,512,100000,0.9999,10000,0.00011578023570401443,medium,800,COMPLETE
11,11,480.76666259765625,2021-07-02 15:04:08.418629,2021-07-02 15:06:13.282405,0 days 00:02:04.863776000,6.797954757587782,256,100000,0.9999,10000,0.00023473644786579549,medium,5,COMPLETE
12,12,0.270629346370697,2021-07-02 15:04:54.901787,2021-07-02 15:05:10.106834,0 days 00:00:15.205047000,6.769763721085962,256,100000,0.9999,20000,0.00028744205027906753,medium,1000,PRUNED
13,13,325.55242919921875,2021-07-02 15:05:10.108541,2021-07-02 15:07:56.635884,0 days 00:02:46.527343000,9.96879279634531,128,500000,0.95,0,0.00043728422171733023,small,100,COMPLETE
14,14,136.5251007080078,2021-07-02 15:06:13.283787,2021-07-02 15:07:15.007191,0 days 00:01:01.723404000,6.867139105670328,256,100000,0.9999,10000,0.00027371505711103764,medium,5,PRUNED
15,15,134.47769165039062,2021-07-02 15:06:21.271621,2021-07-02 15:07:37.623800,0 days 00:01:16.352179000,7.134830806446362,256,100000,0.9999,10000,0.00048280243613577523,medium,5,PRUNED
16,16,403.93603515625,2021-07-02 15:07:15.008197,2021-07-02 15:09:19.549189,0 days 00:02:04.540992000,7.481309346793366,256,10000,0.95,10000,0.0005585594398213665,medium,4,COMPLETE
17,17,431.16693115234375,2021-07-02 15:07:37.625005,2021-07-02 15:10:47.358969,0 days 00:03:09.733964000,9.400461885722297,256,10000,0.95,1000,0.0012780943510507326,medium,4,COMPLETE
18,18,450.13336181640625,2021-07-02 15:07:56.637463,2021-07-02 15:11:19.087581,0 days 00:03:22.450118000,7.808076128414336,256,10000,0.95,1000,0.0015178243301321192,medium,10,COMPLETE
19,19,-0.02914479933679104,2021-07-02 15:09:19.550655,2021-07-02 15:10:05.233453,0 days 00:00:45.682798000,7.719901824512377,256,50000,0.9,1000,0.0019276807765187304,medium,10,PRUNED
20,20,0.1919754445552826,2021-07-02 15:10:05.235606,2021-07-02 15:10:43.222007,0 days 00:00:37.986401000,9.443288433832423,256,10000,0.995,10000,5.500362820227608e-05,medium,5,PRUNED
21,21,0.270629346370697,2021-07-02 15:10:43.223104,2021-07-02 15:11:08.301875,0 days 00:00:25.078771000,7.933015209493696,1024,100000,0.99,20000,0.008492020933058324,medium,16,PRUNED
22,22,490.46942138671875,2021-07-02 15:10:47.363001,2021-07-02 15:14:19.361738,0 days 00:03:31.998737000,10.583059034870063,512,10000,0.99,1000,0.01395061407549617,medium,4,COMPLETE
