,0
0,-200.441288108721
1,-198.84099534713562
2,-152.88833017399438
3,-200.8463245723516
4,-199.30257325470683
5,-199.8789108405266
6,-200.50113149319682
7,-200.1954255093553
8,-193.6105212190795
9,-198.6799703689152
10,-194.2215623298919
11,-199.23050737490925
12,-192.7927670952679
13,7.6867737048257085
14,-199.22036850857742
15,-196.20217383777666
16,-198.07829410572216
17,-199.79817553511995
18,-194.08544364474318
19,-198.61755778777504
20,-188.49565135987018
21,-197.27765015975953
22,98.5425153931933
23,-197.9396448454863
24,-200.17341966370006
25,-196.53775961834913
26,-200.16558287073892
27,-198.65627584644375
28,-200.58430264468507
29,-196.07869551135354
30,-199.94527008582477
31,-199.5729649028732
32,-199.9463974597638
33,-192.5891030976086
34,19.770630793865767
35,-195.76521279225338
36,-200.45107281897222
37,-198.31643111773633
38,-200.26289809669854
39,-190.93330047783667
40,-200.51429821207603
41,-200.11721645045156
42,-132.27409647660568
43,-200.3801964638239
44,-200.60967210538573
45,40.09922178516114
46,-199.0759354970345
47,-188.7587199718191
48,-200.31824808204607
49,-181.08515279291825
50,-199.77031404809424
51,-85.69017747413145
52,-178.41159148669297
53,-194.4493435936892
54,-199.06816537092993
55,-199.8494397639362
56,21.359879714828548
57,-200.11356908167528
58,-194.1542330113517
59,-199.285979856807
60,-153.3893519976666
61,16.88007490351601
62,-199.6737030194689
63,4.225950074173413
64,-129.59137624232784
65,10.36350275293719
66,-197.50397118582484
67,-200.67698851327282
68,-200.37464648409815
69,-200.209969222058
70,-199.58826589299107
71,7.03484954807976
72,23.138510355313695
73,23.970811288996973
74,53.10694455324672
75,-199.6142676923649
76,4.32544858040933
77,-200.29531170390618
78,-197.52395675683564
79,6.543808497395881
80,-193.12136086342855
81,-200.63827479465547
82,-185.38437100002906
83,-201.83292887282607
84,-199.04763870729937
85,-187.56029893247617
86,13.352444324038562
87,-183.3500349762408
88,-187.0449181248664
89,-199.86051051578758
90,-145.66003462070046
91,2.1061075521042785
92,-200.6833777700457
93,-190.50244748127395
94,-157.30633786415243
95,-181.69648623691637
96,-200.0169694348045
97,23.23559367335443
98,-186.03612855734747
99,35.63367332545442
100,-200.04161859346596
101,2.724251650567087
102,-200.1976084814159
103,-186.4995508509716
104,-0.6240379064893573
105,58.71743100947323
106,-163.04347095192688
107,-166.77094440985755
108,-197.79382605167194
109,-199.68709156931484
110,3.1861626077238485
111,-155.44330552431475
112,-200.19300402922073
113,11.222490444365814
114,-166.79174444854527
115,22.677238701540077
116,-200.67832377912535
117,-165.3784681804072
118,-199.71186725451733
119,18.16604101229494
120,-192.17317117535055
121,-193.3491096347765
122,3.2090729723166818
123,8.855972767121116
124,-196.8904483446546
125,19.675166740126816
126,-198.10704894625647
127,-175.0211020181429
128,-199.08626540711208
