#{"t_start": 1616026055.5337005, "env_id": null}
r,l,t
-0.625237,800,4.691185
-0.678241,800,10.013512
-0.855024,800,16.155098
-1.072764,800,22.149627
-0.999915,800,27.541068
-0.351265,800,33.7177
-0.015617,800,61.687897
-0.009775,800,82.926634
-0.082538,800,104.518599
-0.321599,800,125.826012
-0.65422,800,146.749916
-0.034293,800,150.850084
-0.161041,800,155.064139
-0.782771,800,158.850959
-0.068054,800,163.451584
-0.112251,800,167.529243
-1.16824,800,171.378218
-0.012548,800,193.218234
-0.704512,800,213.87777
-0.375462,800,234.840308
-0.517092,800,255.423347
-0.105853,800,276.208189
-0.022168,800,292.75717
-0.043818,800,311.65082
-0.001538,800,330.63324
-0.001988,800,348.827847
-0.047358,800,369.344384
-0.063759,800,387.513695
-0.065028,800,412.881052
-0.018686,800,439.3409
-0.073247,800,469.990468
-0.125278,800,493.086218
-0.097871,800,524.408582
-1.193226,800,545.890459
-0.736418,800,565.966352
-0.714629,800,586.669268
-0.005128,800,603.56129
-0.013541,800,624.191414
-0.000915,800,645.850418
-0.022617,800,653.829607
-0.83323,800,655.276209
-0.618535,800,656.780335
-0.01,800,658.242447
-0.212278,800,659.689387
-0.224125,800,677.120912
-0.424706,800,696.144624
-0.175662,800,717.54864
-0.096335,800,740.989727
-0.926536,800,758.164705
-0.083156,800,775.833745
-0.15458,800,781.800858
-0.004837,800,783.462032
-0.262734,800,785.089455
-1.176247,800,786.700075
-1.221392,800,788.283673
-0.259422,800,804.851017
-0.324765,800,823.69967
-0.02636,800,841.70993
-0.000383,800,857.092945
-0.368768,800,876.387953
-0.044075,800,893.993008
-1.014539,800,899.242932
-0.005416,800,900.730413
-0.683411,800,902.227387
-0.121537,800,903.742984
-0.167051,800,905.258983
-0.027683,800,922.454237
-0.564394,800,939.553389
-0.598641,800,956.799021
-0.464184,800,975.150451
-0.915116,800,990.269477
-0.299978,800,1008.113153
-0.625266,800,1014.124485
-0.141949,800,1015.664612
-0.174736,800,1017.245741
-1.071229,800,1018.765295
-0.399153,800,1020.281547
-0.164525,800,1037.948317
-0.412867,800,1054.65437
-0.027412,800,1070.799233
-0.439732,800,1086.526473
-0.16862,800,1102.118653
-0.082985,800,1118.701615
-0.544194,800,1126.155615
-0.868668,800,1128.357321
-0.807493,800,1130.263139
-0.726864,800,1131.804573
-5.2e-05,800,1133.336168
-0.775568,800,1149.180288
-0.763934,800,1165.150978
-0.732498,800,1181.119327
-0.000664,800,1197.073513
-0.17333,800,1213.688629
-0.659865,800,1229.38953
-0.625545,800,1234.817598
-0.605406,800,1236.285824
-4.5e-05,800,1237.792536
-0.537392,800,1239.277411
-1.020248,800,1240.780576
-0.000103,800,1256.474763
-0.9867,800,1272.039968
-0.449611,800,1289.796662
-0.224774,800,1307.966213
-0.390752,800,1324.571423
-0.318067,800,1340.192852
-0.071844,800,1346.049174
-0.578278,800,1347.617089
-0.024014,800,1349.12993
-0.325129,800,1350.602186
