#{"t_start": 1627028448.4340143, "env_id": null}
r,l,t
-5.559762,800,40.262894
-161.497904,16,61.986493
-166.002995,157,98.105768
-161.59178,16,105.950328
-106.389486,486,158.522748
-167.67853,54,223.008305
-153.245402,187,236.587017
-169.451149,77,297.336793
-166.193654,57,343.673423
128.097973,800,406.51452
-161.551203,15,468.330237
117.472878,800,541.218561
-162.559221,28,597.349544
123.544211,800,641.733856
108.198139,800,743.62089
-3.246297,800,846.068874
-3.743923,800,896.17563
-0.688597,800,939.10095
-14.464498,800,981.589177
-63.885561,800,1025.105383
-197.59664,212,1041.25124
-186.219071,153,1053.895472
-219.315463,329,1090.791996
-176.431856,118,1113.424196
-190.333394,145,1147.736578
-185.81174,133,1158.893397
-171.604112,84,1178.450712
-186.67885,152,1205.335206
-202.728349,247,1222.427219
-174.124266,88,1231.80799
-174.83854,92,1256.498584
-211.3418,238,1272.800137
-129.055215,800,1317.699896
-269.616645,668,1356.645638
-119.206288,800,1416.486914
-90.705951,800,1461.257856
-151.426742,743,1503.225942
-102.058773,353,1597.603208
-120.737051,614,1700.684315
36.365886,392,1800.042212
59.932307,195,1897.217956
-27.766612,800,2021.24025
-97.078387,384,2044.667798
-71.060086,251,2144.634591
-23.818695,800,2267.071938
72.79512,217,2328.029065
77.021256,684,2451.628357
48.375724,182,2551.482657
38.393216,800,2679.283989
77.602168,292,2784.138551
53.097947,233,2883.816323
82.719915,364,2989.736141
53.431622,314,3095.416114
38.101077,212,3189.670036
41.412542,274,3294.607631
77.033569,210,3401.568676
50.845511,169,3504.844117
62.413466,194,3609.856127
40.234903,208,3708.810362
59.628762,208,3802.698085
56.895586,220,3911.709522
66.533738,221,4008.368762
75.971495,248,4117.805207
40.848191,164,4215.858289
50.745614,189,4319.535351
42.214559,226,4423.850247
45.115597,156,4524.627233
64.844727,215,4620.009759
47.778539,177,4717.006855
59.983416,194,4820.706204
80.064383,202,4930.379846
81.19818,277,5030.253269
43.423267,141,5132.662294
100.213311,270,5232.71481
55.398579,156,5335.843764
62.026908,191,5443.355854
57.380631,183,5549.661925
0.385815,1,5551.726817
55.240913,178,5645.338708
57.831934,182,5744.188815
-87.716107,206,5840.261681
65.093378,192,5935.441061
38.433957,133,6029.973543
71.687238,197,6129.896056
60.812161,169,6227.202867
84.349031,230,6328.604058
0.578206,1,6332.342546
54.242871,182,6422.655491
0.1833,1,6423.766644
-102.905053,169,6519.430219
46.559879,131,6621.052821
46.60672,125,6713.326969
34.33935,129,6812.756727
45.138204,145,6908.200032
38.689044,146,7006.136392
77.805059,205,7106.246077
95.384549,236,7212.478485
58.154957,180,7314.138994
58.695821,215,7416.094563
57.614371,171,7516.110826
46.535249,141,7608.662374
53.522426,153,7708.855601
61.102324,156,7807.636489
66.119998,198,7911.188693
68.645037,207,8007.554791
46.7166,152,8106.259828
46.793829,142,8205.937856
42.201439,117,8299.199797
70.915664,200,8397.943776
83.450494,203,8495.076371
71.255412,187,8588.523656
63.456856,162,8690.41726
73.699682,212,8792.351824
48.3003,151,8894.558947
46.825775,174,8999.844639
38.542586,129,9096.066663
66.482504,164,9192.2476
44.032003,133,9291.307582
53.584553,166,9391.049695
70.475448,190,9495.650789
39.445433,143,9596.656375
55.024549,172,9697.524337
81.308011,232,9799.957039
48.895505,135,9901.749777
42.620259,131,10002.817164
50.448323,158,10108.400061
55.858143,149,10210.358049
34.947149,121,10309.632821
67.829945,173,10411.990182
37.246646,149,10509.966054
66.232371,178,10610.949487
56.724935,152,10715.015523
53.185909,170,10814.200916
68.613694,200,10916.14912
75.59088,210,11014.004085
56.035181,152,11120.253787
61.463911,174,11228.756361
55.710153,168,11330.413733
71.102358,188,11438.328475
94.662676,239,11552.531298
85.419351,237,11653.879569
86.627457,226,11760.919989
406.080201,800,11891.110635
131.736484,309,11999.900008
59.836928,161,12107.032292
