#{"t_start": 1626789793.6005588, "env_id": null}
r,l,t
-162.706277,25,2.788803
-161.508599,15,34.848295
-159.765356,73,76.370481
-163.29481,155,138.770334
-3.635251,800,227.956332
-161.67889,17,272.987741
-166.536263,85,307.350316
-163.26647,88,321.170064
-162.573012,23,353.87078
-162.780034,24,371.743134
-163.418751,67,398.19497
-162.49176,38,404.127046
-161.904241,16,446.442944
-161.342136,19,451.259245
-169.158985,258,495.842811
-167.644017,45,543.49543
-157.543701,147,554.819806
-164.343489,39,599.768376
-169.0163,69,607.235364
95.744252,800,674.694796
-74.62153,800,776.944594
159.646908,800,841.958381
188.805027,800,937.310111
377.260957,800,1060.436112
339.308945,800,1186.108571
-69.843174,341,1287.171784
275.471594,800,1419.352913
145.856306,774,1540.553976
1.853335,549,1660.617724
64.776885,275,1765.542504
0.008362,1,1766.548475
265.134216,800,1889.516228
68.874996,271,1988.270685
-88.069455,286,2093.77066
-12.638061,425,2195.666921
107.585133,257,2292.799212
96.335927,314,2387.5361
123.955878,395,2495.813083
68.175569,236,2600.222689
351.874184,699,2724.755193
-99.294643,219,2825.210944
169.919651,359,2923.712094
112.408471,290,3033.263212
62.973239,248,3128.982942
75.256441,212,3227.383009
130.872664,352,3335.193005
78.62224,271,3437.587027
80.428775,239,3537.611353
119.087744,355,3648.255653
449.029067,800,3777.56899
91.988689,238,3874.210216
52.280215,154,3973.629929
132.672955,322,4083.2648
93.501125,260,4185.603788
50.770805,225,4287.752451
242.551391,500,4403.867272
60.469122,196,4505.062987
87.105041,220,4604.976002
75.130345,221,4706.447052
91.1417,242,4809.722399
344.121891,608,4932.711188
69.402452,201,5031.035517
284.968988,479,5141.541268
105.238061,259,5242.997879
146.025042,336,5352.162706
91.150519,216,5453.946246
61.853003,177,5551.375075
86.415466,219,5651.907082
62.926042,165,5749.416521
82.542129,236,5852.821661
154.225337,312,5956.210921
68.634998,178,6060.613109
70.758376,197,6160.36016
77.051477,186,6255.42253
62.695833,173,6358.956412
212.677746,465,6473.559736
69.004133,165,6569.243408
33.433583,125,6670.378549
150.925441,346,6775.047675
64.818429,240,6876.236191
66.495803,186,6979.577909
73.259796,226,7081.53916
83.37144,206,7180.088706
82.186964,230,7283.985539
85.379953,193,7385.362735
189.668124,376,7495.02949
59.721543,189,7589.912324
48.455623,150,7689.92292
83.111619,243,7792.923465
67.647059,174,7896.723114
58.1683,155,7993.199259
63.289492,155,8089.713383
79.567248,198,8186.062508
113.85129,247,8285.537484
52.666383,138,8376.30547
78.067684,213,8474.598904
43.63833,149,8577.186246
112.189238,271,8682.763064
142.559395,304,8786.622679
79.951242,191,8884.685451
441.004212,800,9010.795043
428.743659,800,9131.71285
454.739697,800,9260.150714
447.766133,800,9385.86414
440.486927,800,9510.665366
445.68882,800,9638.765693
495.719511,800,9765.82904
458.894995,793,9895.111971
433.876366,800,10018.175663
520.205053,800,10142.988414
454.049937,800,10271.885741
464.081802,800,10403.558897
498.458328,800,10527.670065
494.776985,800,10648.435821
470.018831,800,10770.871001
12.529149,84,10858.227445
496.571447,800,10972.530512
468.838039,800,11093.237709
561.698494,800,11214.09832
508.886315,800,11337.833234
486.01374,800,11458.491378
505.489823,800,11577.683851
118.411361,451,11676.987817
492.908366,800,11794.349036
491.618842,800,11913.419605
563.602665,800,12030.654366
550.291327,800,12152.985322
8.76547,275,12256.769888
532.515131,800,12382.2194
539.875905,800,12510.702244
60.716805,364,12611.84235
543.63635,800,12732.640622
-26.091797,272,12826.950222
546.691767,800,12945.922096
587.438271,800,13065.829394
538.028241,800,13189.890342
529.147038,800,13311.809583
536.789221,800,13430.811496
562.988678,800,13551.033756
542.76523,800,13679.133801
521.375556,800,13802.393731
530.346435,800,13924.158407
528.064428,800,14048.781391
543.277998,800,14170.07173
487.680637,800,14287.300088
539.483941,800,14407.268599
