#{"t_start": 1634219929.0072818, "env_id": null}
r,l,t
-0.060004,800,44.226848
-243.035255,663,82.502004
-1.749362,800,143.476937
-0.151968,800,220.076864
-4.267073,800,273.62688
-0.340757,800,325.601873
-0.381831,800,385.351867
-2.060813,800,433.701823
-21.037554,800,503.051691
0.703238,800,553.626855
-0.259824,800,620.877785
5.06767,800,673.453402
11.442619,800,756.104275
-0.78221,800,839.504941
-1.215961,800,891.080388
15.131889,800,945.780812
8.662984,800,1030.60639
12.221976,800,1124.631951
0.220039,800,1204.432326
-0.038803,800,1276.832553
6.198029,800,1325.332768
-0.02753,800,1417.433067
3.820915,800,1467.008229
22.533514,800,1553.358442
-0.338183,800,1641.633687
13.244376,800,1691.133821
12.49962,800,1775.134018
0.328067,800,1858.234138
19.407014,800,1918.709249
-0.726446,800,2010.684445
-0.007742,800,2062.20949
25.243625,800,2119.859631
12.243115,800,2211.259629
-0.381877,800,2303.984823
38.40883,800,2355.509946
25.857082,800,2452.485018
30.7408,800,2548.985088
35.254336,800,2646.36014
-0.310216,800,2741.41035
20.453729,800,2823.960493
18.994892,800,3035.435584
-0.333898,800,3127.185574
-0.600186,800,3174.665661
33.203223,800,3251.340361
16.778695,800,3349.007873
39.311751,800,3439.235236
-0.30874,800,3540.735286
21.807976,800,3592.310359
41.380575,800,3692.785801
27.502537,800,3793.410363
43.69716,800,3892.160822
42.660337,800,3989.535335
29.663478,800,4089.260403
25.613536,800,4185.985428
30.176358,800,4279.460501
32.76082,800,4377.510487
33.793086,800,4478.635501
22.287941,800,4574.810585
36.897157,800,4674.059945
44.241056,800,4774.858159
-76.573863,800,4876.731714
50.52236,800,4967.480614
43.031574,800,5069.629632
51.046974,800,5171.003983
62.476487,800,5279.428583
39.195011,800,5389.103424
62.026328,800,5493.853056
74.5645,800,5602.552862
53.47674,800,5710.527895
66.550723,800,5818.627633
64.749727,800,5930.55281
74.027191,800,6044.402293
67.434317,800,6158.077272
82.044924,800,6268.477132
83.37661,800,6382.277074
89.41858,800,6499.652029
82.656178,800,6614.001988
73.560449,800,6731.151975
88.44292,800,6894.302208
68.773829,800,7026.75242
71.015811,800,7140.1025
81.071169,800,7253.277675
88.450069,800,7371.577806
86.917999,800,7493.102997
81.857256,800,7610.228012
80.97481,800,7727.578147
76.514697,800,7844.85387
90.355796,800,7961.578495
94.891372,800,8079.828291
95.656068,800,8196.728317
92.086984,800,8315.654506
90.069958,800,8433.00332
85.480236,800,8553.253369
80.953578,800,8670.778335
89.894939,800,8789.578434
86.251985,800,8905.528346
78.153444,800,9023.953444
83.116206,800,9137.828472
82.121116,800,9254.453444
96.110745,800,9369.228524
87.644475,800,9486.828728
88.772451,800,9600.653809
69.242503,800,9719.053941
67.78407,800,9831.979037
66.660932,800,9945.979245
74.458058,800,10058.104592
62.907875,800,10172.529217
73.658505,800,10287.154297
74.001837,800,10401.754364
64.163875,800,10515.254374
71.790823,800,10626.579489
76.636547,800,10740.079556
69.328008,800,10855.629836
73.796564,800,10967.854573
69.647973,800,11081.904571
74.948728,800,11195.55455
62.778394,800,11310.82995
67.79433,800,11421.154629
60.942932,800,11535.129506
67.192108,800,11648.554517
70.700017,800,11763.329502
60.933543,800,11880.00461
75.043749,800,11993.404609
72.819095,800,12110.179608
67.104453,800,12225.054564
64.013885,800,12337.754617
60.531567,800,12451.579522
53.608446,800,12565.379628
71.17421,800,12678.379578
76.876148,800,12795.579553
75.419636,800,12913.505769
76.130677,800,56635.641692
85.153755,800,56748.071042
70.529952,800,56862.269102
74.413109,800,56974.194437
79.936397,800,57087.745209
86.841832,800,57202.455645
69.567452,800,57318.856081
64.351136,800,57435.131398
68.274905,800,57548.631777
60.495186,800,57663.231981
77.132856,800,57776.607161
65.88665,800,57893.407342
74.39672,800,58010.657449
73.229382,800,58126.657686
73.652722,800,58245.207735
73.640001,800,58363.007979
69.251249,800,58480.452281
64.293777,800,58597.158093
76.083717,800,58714.382282
53.308838,800,58834.457334
76.176557,800,58947.932577
62.771643,800,59065.417713
62.604819,800,59183.673001
71.301721,800,59304.547899
67.112941,800,59421.97789
66.587256,800,59540.277753
63.036178,800,59658.477867
60.962855,800,59776.827743
75.257514,800,59895.177778
72.166576,800,60015.852839
72.99923,800,60137.802866
65.079949,800,60260.702827
71.122467,800,60380.102904
54.802301,800,60499.103211
62.437057,800,60614.927587
68.98357,800,60733.877027
53.601418,800,60853.926673
61.644767,800,60971.776554
