#{"t_start": 1631175922.2631562, "env_id": null}
r,l,t
-2.765637,800,44.234787
-100.259247,800,91.482863
-144.773128,800,142.531051
-153.009174,800,204.47903
40.587619,800,255.22767
122.045905,800,357.250297
-57.278194,800,474.34811
12.411525,800,580.997319
62.009618,800,693.07177
218.924172,800,811.696326
186.226324,800,942.596153
231.001495,800,1067.021311
132.334294,446,1178.171293
2.487679,800,1316.825938
132.66615,800,1402.827013
225.969738,663,1522.452493
323.098567,800,1655.978187
86.768967,319,1769.253644
88.265879,317,1890.579385
82.686866,334,2010.855066
109.169611,340,2125.57808
76.830402,286,2240.7559
86.351728,284,2358.184263
130.200335,403,2471.738378
74.464256,239,2591.437093
138.192723,389,2718.587053
94.65197,289,2833.335887
89.929518,286,2939.660607
71.649673,243,3053.864536
63.926724,209,3163.263329
285.783699,800,3302.560524
101.438845,300,3415.460007
66.702584,251,3528.310879
78.312566,242,3649.210041
334.895741,800,3791.263787
382.233749,800,3936.11537
377.289649,800,4072.31557
294.933785,800,4215.889954
398.602593,800,4366.889455
393.086383,800,4511.264145
407.451319,800,4647.013867
381.82971,800,4783.813765
415.963663,800,4927.638712
419.463698,800,5064.163935
426.070343,800,5196.838682
122.389087,307,5313.813725
423.720559,800,5457.913847
222.922208,477,5588.03888
410.118579,800,5732.239417
258.575543,548,5855.614137
409.718513,800,6002.814239
427.379488,800,6143.38927
420.219979,800,6285.139004
446.724108,800,6426.638582
452.440066,800,6566.313545
473.672451,800,6702.688204
494.848985,800,6843.437602
465.773413,800,6983.312441
464.50682,800,7123.987226
468.380835,800,7260.336988
436.989458,800,7403.611765
452.246048,800,7547.61178
458.127569,800,7688.121686
463.921402,800,7828.37161
480.565024,800,7957.576504
485.667215,800,8090.676587
501.537517,800,8222.40147
510.141614,800,8364.126187
523.796624,800,8505.37607
518.86725,800,8650.250879
542.818354,800,8791.381675
496.729188,800,8927.88079
508.483316,800,9063.260795
531.008973,800,9199.735633
491.4483,800,9341.735617
547.236244,800,9483.670665
526.760377,800,9619.025653
494.136705,800,9753.733052
545.304186,800,9894.45706
509.850218,800,10034.230591
536.45499,800,10172.255593
494.511158,800,10316.055465
537.20289,800,10449.108473
575.415469,800,10593.180315
538.983591,800,10739.205142
633.067648,800,10875.505321
580.808663,800,11013.280506
593.387214,800,11145.40559
629.032672,800,11286.455669
534.298297,800,11424.030699
589.866761,800,11556.630946
630.877763,800,11692.780874
600.393833,800,11835.005892
606.159381,800,11978.455777
565.912401,800,12113.881019
568.518621,800,12249.330911
597.115493,800,12387.730953
571.510111,800,12529.205914
656.383552,800,12675.580791
635.129653,800,12814.105791
557.2559,800,12951.980835
635.824795,800,13094.080776
