#{"t_start": 1623316715.6396852, "env_id": null}
r,l,t
-124.191246,800,40.22279
-164.625756,68,47.147767
-164.877967,92,58.84837
-164.735634,107,66.723519
-66.193617,800,110.39785
-181.761956,154,123.422949
-183.116711,163,134.247725
-166.02987,57,139.648319
-46.203873,800,182.022638
-196.252063,583,215.822545
-169.439298,202,229.997545
-9.645771,800,272.522367
-171.831426,172,283.92235
-44.933412,800,327.672233
-12.77951,800,371.37209
-6.01394,800,413.697011
18.013058,800,457.571941
-160.147993,282,474.196802
72.060647,800,516.821773
-123.060106,263,539.446555
-123.642821,335,578.0304
-99.843256,336,604.604877
162.178496,800,649.553632
133.669136,800,693.052386
-165.498152,465,730.151462
33.199933,800,777.850821
7.232148,800,820.575596
28.300369,800,862.975508
39.992227,522,956.850096
67.937545,800,1006.524872
76.266487,800,1050.524658
67.98849,800,1107.39974
-154.866028,95,1120.349377
126.177508,800,1163.824173
125.683786,800,1206.724103
-131.945001,79,1213.69903
-50.408966,476,1250.524575
-113.930109,233,1274.824695
122.040673,800,1347.500256
-1.641358,639,1400.475382
-119.23407,191,1429.825712
147.967976,800,1474.651167
179.701131,800,1526.176664
168.649076,557,1559.601957
-136.379816,56,1572.102051
94.120683,499,1599.477339
365.973232,800,1644.127554
449.508422,800,1687.027864
495.680974,800,1730.803091
500.952316,800,1776.80327
564.756844,800,1834.778511
512.018652,800,1883.928738
606.101252,800,1940.778904
-6.324413,241,2000.979067
763.466668,800,2051.904225
679.675062,800,2108.429211
676.187297,800,2152.879281
111.619904,314,2181.079316
22.162607,208,2213.229379
386.342721,529,2255.654469
79.985678,272,2305.654435
-78.31764,78,2313.229377
1004.281689,800,2358.454447
-93.123754,72,2370.779847
-37.403949,114,2386.679456
941.088134,800,2449.804513
71.660514,236,2477.504432
5.138539,156,2498.7796
210.432914,218,2533.404373
916.890603,800,2582.65441
832.081419,800,2656.179642
298.915967,345,2705.82928
309.01524,351,2745.804271
241.067203,379,2789.179219
908.155223,800,2847.454171
264.033121,267,2874.779151
127.29856,122,2894.154204
-1.0427,186,2933.354158
894.67715,800,2976.75404
169.835751,208,3015.278932
336.450025,332,3059.07893
855.402781,800,3113.853875
136.151797,120,3133.303804
875.843079,800,3200.254163
-78.129219,75,3210.203879
132.010348,117,3227.553654
900.954628,800,3290.878593
264.470898,204,3305.528651
