#{"t_start": 1631273134.5836506, "env_id": null}
r,l,t
-161.606581,560,32.17302
-161.315602,24,92.503178
-162.510637,70,136.978271
-174.844357,643,193.553241
-163.161434,505,266.678478
-163.640724,98,322.928451
-166.975394,71,377.528481
-153.466132,427,419.433012
-149.293975,338,498.9336
-136.824061,764,606.863781
-161.308317,31,675.913892
79.512721,800,766.838942
-87.599147,434,860.014009
-111.692735,255,959.814118
255.0036,800,1085.613058
114.186942,800,1225.986908
114.565118,800,1350.336768
156.265838,800,1466.489419
-145.424825,211,1564.390055
-104.468412,384,1668.21468
-105.697679,239,1763.739376
-118.04132,275,1878.214043
-38.396833,493,1990.067349
-112.470947,411,2106.993516
121.770528,722,2227.918281
-150.51029,207,2342.093102
-157.275152,166,2433.318082
150.35942,436,2533.042851
-26.102018,408,2659.967775
-88.830015,309,2782.267639
57.443595,517,2901.570397
69.497933,638,3029.267547
-156.354765,192,3135.868148
-158.957367,99,3215.119304
200.478861,485,3308.308997
336.387652,800,3444.059554
277.587183,624,3574.736475
413.174303,800,3712.735182
209.05811,460,3828.337548
126.984351,367,3952.560647
324.903031,775,4101.785855
384.965901,729,4246.616005
171.395824,386,4371.591123
92.189528,276,4486.591122
197.385503,492,4618.191262
421.538224,800,4756.041356
13.032808,408,4876.316339
13.104473,372,4992.866457
-64.546537,270,5105.841629
88.449639,252,5219.792369
229.738516,487,5346.517899
103.890846,247,5462.468489
112.840654,282,5584.798936
433.40348,800,5726.074275
200.236953,439,5844.799695
422.717741,800,5984.116753
313.660679,800,6118.540258
396.367851,800,6254.590508
432.265146,800,6393.020775
470.453032,800,6532.396024
409.386009,742,6667.046289
442.200242,800,6812.846489
195.815701,391,6927.221745
200.377372,396,7055.472202
461.657629,800,7199.971411
498.078017,800,7334.545458
356.988265,619,7461.094755
457.085851,800,7607.119151
480.789431,800,7752.023747
462.326943,800,7892.898442
406.498852,679,8032.273268
456.67576,800,8183.847988
-155.097475,73,8291.522861
481.540293,800,8412.322817
450.990271,800,8543.02279
455.927751,800,8679.822686
468.501754,800,8821.497589
486.250707,800,8967.547558
508.981905,800,9102.672575
496.141825,800,9240.972473
494.238586,800,9375.472199
474.439795,800,9516.597065
472.436667,800,9652.122048
482.330108,800,9789.89691
512.013329,800,9923.396821
477.743341,800,10061.421812
490.320169,800,10193.921769
504.961417,800,10334.371693
519.557669,800,10464.500687
-156.220488,58,10564.476702
513.713466,800,10685.25169
514.181569,800,10819.00169
538.390117,800,10963.72668
528.370866,800,11103.676638
-159.88496,43,11205.451744
465.892173,800,11311.011249
477.030498,800,11438.137175
