#{"t_start": 1623169048.4860468, "env_id": null}
r,l,t
-24.226257,800,41.813497
-164.786005,84,49.114248
-162.47618,27,52.563066
-206.471978,285,69.138905
-10.724189,800,111.78769
25.896063,800,154.713859
-158.004919,144,164.738925
-153.728425,72,170.963562
18.372113,800,213.263118
-161.539702,105,220.963936
65.482985,800,263.463406
-164.545385,209,276.713545
-159.167229,228,290.687677
37.697825,800,333.78809
77.034952,800,376.863299
64.212183,800,420.362063
75.640696,800,463.487783
-144.741055,189,475.687847
-133.708263,236,490.488043
84.441123,800,533.387425
-68.962685,730,572.512992
138.368084,800,616.236534
3.118626,800,659.062791
43.198512,800,701.562084
162.359866,800,743.836715
146.333323,800,786.436509
155.072509,692,864.163802
177.126567,800,906.538823
141.769569,800,949.062744
182.815158,800,991.337392
222.913783,800,1033.961247
245.261958,800,1076.387511
285.903762,800,1119.637601
264.381175,800,1161.937967
288.300333,800,1204.261353
295.044472,800,1247.186532
324.1847,800,1290.63747
-22.179712,342,1310.438316
314.798351,800,1353.761434
285.533542,800,1396.437758
302.037894,800,1440.037647
329.769559,800,1482.462938
324.441632,800,1526.236457
403.16231,800,1569.088022
328.986527,800,1611.76197
327.124353,800,1654.364058
144.217346,258,1711.63686
506.068419,800,1753.562392
445.12929,800,1796.411837
523.270638,800,1838.662424
379.05042,800,1882.037732
389.639261,800,1924.988087
487.02425,800,1967.13767
382.975985,800,2009.462367
551.854408,800,2052.037734
498.024151,800,2094.412251
551.877214,800,2137.186628
733.564113,800,2180.712297
738.038516,800,2224.362419
661.283968,800,2267.611677
707.105775,800,2310.012685
561.565912,800,2352.937248
-34.505902,144,2362.887687
-21.253739,126,2371.862751
-114.895904,40,2381.01274
120.226937,112,2391.711516
-94.619951,67,2401.387704
-60.371893,93,2410.06278
68.930202,64,2419.037043
179.390333,159,2434.137364
142.707201,131,2448.787301
144.489529,130,2462.436581
114.180605,99,2474.512484
123.631692,106,2487.661823
159.625445,142,2502.436545
123.939786,113,2515.987463
90.894422,81,2527.562292
90.348262,74,2538.863039
92.775933,81,2550.386634
53.462161,50,2560.262484
87.450489,73,2571.387421
201.438909,171,2588.237817
154.819402,137,2602.737009
159.784161,140,2618.236525
115.016758,103,2631.8625
48.085353,45,2641.536577
124.259236,106,2653.712215
152.423956,134,2668.787444
139.357096,118,2682.462309
99.418582,89,2693.986739
88.23425,73,2714.586585
136.455169,123,2728.46211
175.462367,133,2742.962689
97.166784,89,2754.437936
51.628283,48,2763.687298
215.174993,157,2779.137471
101.264672,81,2791.587608
107.484152,93,2804.312734
37.573374,35,2814.087458
135.844158,112,2826.162539
95.695483,82,2838.462314
141.070465,120,2852.912741
60.605047,54,2862.062575
64.31285,54,2871.012513
60.194047,53,2880.537283
47.877006,42,2889.96257
119.350401,97,2902.512225
54.098534,50,2912.937379
61.792855,55,2923.562233
59.229794,52,2933.437246
58.927089,53,2942.837667
44.059075,39,2950.911704
44.621592,40,2960.162144
129.463877,106,2972.437529
55.780429,49,2982.437604
112.355399,90,2994.061964
42.390862,38,3002.936299
89.069608,72,3013.462358
112.463293,93,3025.412535
50.941035,47,3035.287397
145.775238,119,3049.412691
84.218765,69,3060.836725
135.680898,105,3073.962102
56.741535,51,3084.187416
55.165145,51,3092.362376
51.366769,43,3101.886663
57.801355,47,3110.637428
153.003202,115,3123.986978
53.889811,50,3134.086939
53.152216,43,3144.286607
120.352553,98,3157.48689
127.00463,102,3170.462898
37.222744,36,3179.762205
198.763048,164,3194.487724
284.687298,227,3214.41177
120.378592,98,3228.061733
36.598702,35,3237.911798
115.080064,88,3250.386822
80.275614,68,3261.111798
47.517928,42,3270.11188
228.697246,186,3287.061981
108.042157,86,3299.461976
54.288648,49,3308.936797
45.372039,40,3318.83693
42.864411,38,3327.437308
89.88711,68,3338.463373
50.640841,43,3348.163002
75.966952,66,3358.237927
60.519455,52,3368.813009
55.566516,50,3378.713013
79.575991,62,3390.412044
58.771248,53,3399.963189
93.325177,73,3411.813054
39.036626,36,3421.062038
69.945796,53,3431.837157
166.034495,136,3445.813362
50.727856,48,3455.862267
112.504558,91,3468.11332
101.350513,87,3480.987766
39.395059,37,3490.413479
86.42691,73,3500.888419
84.421447,71,3511.987394
46.294502,40,3521.538178
49.056328,42,3531.038217
54.589545,49,3540.288475
63.130715,53,3550.463278
74.608635,65,3561.263433
53.921333,49,3570.638306
59.773492,51,3580.663526
176.419563,142,3596.014037
49.692565,47,3606.113674
40.028437,37,3614.713485
63.066662,54,3624.838154
75.434651,65,3635.062244
94.876163,79,3646.787471
67.138186,56,3657.23727
109.690135,92,3669.112459
69.558727,58,3680.21239
37.798906,36,3688.862295
60.134706,53,3698.26215
93.893402,80,3710.062763
76.480107,63,3720.862566
47.419821,41,3729.837435
116.144124,101,3743.112263
82.081405,70,3753.737506
239.817772,168,3770.437302
65.32224,56,3781.288477
111.562991,90,3793.487809
61.311365,59,3803.91343
56.89112,51,3813.863227
136.45216,106,3826.762969
72.4168,64,3837.012485
