#{"t_start": 1620208355.0671494, "env_id": null}
r,l,t
-12.109027,800,40.276686
-222.356376,423,181.866704
-213.611217,748,345.729505
-242.624552,783,512.356473
-67.882976,800,680.071877
-76.912236,800,840.726132
-177.139463,157,969.755175
-199.405353,188,1105.662658
-217.507625,529,1258.603031
-223.633812,418,1406.460527
-178.885395,183,1542.474323
-7.619333,800,1709.170516
-198.299836,203,1839.466594
-40.320203,800,2006.463459
-189.835192,203,2139.328715
-230.27434,469,2289.504607
-177.197952,72,2420.323618
-14.82362,800,2586.820787
-108.72488,800,2749.715933
-18.0926,824,3355.452007
69.450424,800,3523.473885
241.912557,800,3691.130356
400.272019,673,3852.394542
222.141225,425,4000.259798
337.114837,677,4158.000108
178.835698,382,4303.924008
189.229214,455,4450.036874
257.062406,611,4604.165536
243.260305,620,4760.482184
176.205564,584,4916.549011
152.703469,548,5069.616139
148.506601,648,5226.84503
199.060758,576,5382.28861
189.345846,469,5531.293729
104.256848,383,5674.806295
97.359586,241,5810.132184
226.310588,581,6402.249735
87.062092,192,6537.87089
126.23192,250,6672.027323
102.592387,216,6804.916858
100.275061,207,6937.386652
100.548797,177,7068.10485
113.305277,224,7203.831057
112.561925,226,7336.919919
107.406238,204,7469.013195
116.85978,203,7602.022612
94.870773,213,7734.336859
109.599909,182,7865.192048
96.025935,181,7995.986626
103.940766,197,8127.592574
161.149318,222,8260.865074
78.61715,165,8390.744123
88.988821,171,8521.073404
122.370589,187,8651.870788
106.447301,154,8781.27794
100.693499,183,8911.875461
106.665588,185,9042.544583
88.404854,166,9172.823162
91.689305,174,9303.274589
111.396504,169,9433.466758
109.763428,169,9563.374017
102.447722,176,9694.584938
80.795502,148,9825.516934
83.619618,164,9955.454212
101.571858,176,10086.644855
137.982348,217,10219.83181
115.319028,179,10351.287568
149.888236,203,10484.914972
74.185881,153,10615.786561
70.565736,141,10744.737789
110.936826,169,10874.871818
109.501644,185,11006.562833
122.58772,195,11139.427483
86.234716,164,11271.009728
176.686724,229,11404.997794
148.8765,199,11537.980398
98.27002,165,11668.525174
878.809102,800,11832.410076
340.637532,351,11979.067892
356.281853,386,12122.487049
919.252286,880,12670.624437
385.102112,369,12819.594769
1010.299559,800,12984.490224
1089.742961,800,13153.842053
1011.185889,800,13324.441558
1074.573572,800,13493.110231
1050.570522,800,13663.708071
1116.558107,800,13832.859736
1138.869609,800,14002.391775
1195.035035,800,14170.983258
1228.734254,800,14341.56983
1230.846571,800,14511.361156
1315.95046,800,14680.030548
2387.379285,1461,15324.734981
1340.521732,800,15500.270026
1266.629132,800,15668.554498
1237.118426,800,15837.149193
1231.007797,800,16005.668847
1290.096764,800,16173.899033
1209.313048,800,16346.456617
1340.217957,800,16517.308277
1275.941318,800,16685.726753
1314.055477,800,16853.982042
1320.397345,800,17023.056504
1322.373798,800,17192.296043
1798.50621,1200,17823.42395
1337.691327,800,18000.893519
1260.288206,800,18169.653267
1246.096309,800,18338.923542
1278.255498,800,18507.223937
1328.492888,800,18674.43565
1328.15798,800,18840.199558
1305.936988,800,19008.743941
1342.288272,800,19175.091011
1297.919128,800,19341.360245
1314.407051,800,19510.451389
1359.832881,800,19678.236225
1878.136422,1200,20309.740925
1238.446798,800,20478.838362
1359.945366,800,20645.219856
1304.026816,800,20811.70309
1311.992319,800,20978.211472
1336.618479,800,21144.525783
1286.836891,800,21311.302472
1093.790935,800,21477.616078
1289.512831,800,21643.958878
1247.463228,800,21810.550045
1320.230359,800,21978.484486
1290.401267,800,22145.686994
1846.508362,1200,22774.905929
