#{"t_start": 1631618233.6815195, "env_id": null}
r,l,t
-403.048594,35,0.028621
-401.571433,14,1.347964
-401.774559,15,1.839302
-404.794234,42,2.372488
-413.312207,130,3.852981
-413.521826,114,8.455496
-402.307513,22,12.390086
-403.821362,38,13.16169
-409.83964,71,14.488691
-407.170085,270,17.043112
31.525344,800,26.84752
66.222535,800,55.684016
8.08617,800,84.511693
-12.541002,800,113.537044
-3.864469,800,142.440248
-2.983327,800,171.797747
-2.983327,800,172.13238
-2.983327,800,172.466784
-2.983327,800,172.80182
-2.983327,800,173.138548
-0.240782,800,173.522943
-32.711908,800,212.337085
-33.00549,800,241.710151
-9.613309,800,270.562259
-5.39651,800,299.812326
62.750591,800,328.623018
70.911915,800,357.428654
70.911915,800,357.755962
70.911915,800,358.083709
70.911915,800,358.412567
70.911915,800,358.74031
78.739352,800,359.115464
51.006073,800,394.957162
114.640881,800,423.707894
-0.034474,800,452.404041
6.055363,800,481.387343
-19.34016,800,510.196055
10.919549,800,538.995956
10.919549,800,539.324973
10.919549,800,539.653772
10.919549,800,539.983387
10.919549,800,540.313671
3.375247,800,540.677684
-1.604528,800,576.987819
-14.831337,800,605.912529
-13.072956,800,634.768494
9.698779,800,663.855155
65.102513,800,692.920603
96.474855,800,722.040053
96.474855,800,722.375165
96.474855,800,722.706596
96.474855,800,723.036871
96.474855,800,723.367898
48.120982,800,723.747821
172.052583,800,759.985531
138.932532,800,789.059983
166.706468,800,818.124938
178.271409,800,847.253236
75.878232,800,876.302056
99.670064,800,905.468271
99.670064,800,905.800625
99.670064,800,906.131746
99.670064,800,906.46442
99.670064,800,906.796928
105.188696,800,907.18124
164.103003,800,943.42836
173.743865,800,972.111673
219.937118,800,1001.028303
241.656352,800,1029.930278
243.778335,800,1058.860733
227.649385,800,1087.800644
227.649385,800,1088.132045
227.649385,800,1088.461257
227.649385,800,1088.790241
227.649385,800,1089.12004
227.65094,800,1089.502771
249.300434,800,1125.541556
243.092058,800,1154.461513
252.888462,800,1183.326056
238.007321,800,1212.629148
290.740744,800,1241.684159
290.643289,800,1270.759656
290.643289,800,1271.090113
290.643289,800,1271.421755
290.643289,800,1271.752491
290.643289,800,1272.084053
304.323122,800,1272.466935
272.28238,800,1308.741126
290.421931,800,1337.969837
266.320275,800,1367.187909
279.080984,800,1396.433946
331.66276,800,1425.670116
299.14021,800,1454.957938
299.14021,800,1455.297688
299.14021,800,1455.63757
299.14021,800,1455.977653
299.14021,800,1456.317716
293.490119,800,1456.713074
313.088445,800,1493.215662
218.195805,800,1522.510865
294.223549,800,1551.812464
347.305368,800,1581.396346
-341.129443,172,1610.419677
305.158247,800,1617.016719
333.48825,800,1646.360912
333.48825,800,1646.704059
333.48825,800,1647.044474
333.48825,800,1647.386049
333.48825,800,1647.726943
208.527666,800,1648.122764
-275.36175,389,1678.492832
49.53305,800,1693.019339
243.912469,800,1722.431193
259.224072,800,1751.930884
314.017223,800,1781.447116
276.599028,800,1811.262806
276.599028,800,1811.605242
276.599028,800,1811.945338
276.599028,800,1812.286985
276.599028,800,1812.627142
265.846665,800,1813.009084
314.985247,800,1864.914078
312.207496,800,1894.523223
269.175601,800,1924.247489
294.758348,800,1953.986013
330.80864,800,1983.736054
323.163688,800,2013.592228
323.163688,800,2013.937224
323.163688,800,2014.277583
323.163688,800,2014.621489
323.163688,800,2014.966407
332.530672,800,2015.34989
364.696495,800,2052.645991
350.949833,800,2082.570142
391.621682,800,2112.541764
355.650524,800,2141.819871
466.068976,800,2171.485952
424.727303,800,2201.201101
424.727303,800,2201.540443
424.727303,800,2201.87881
424.727303,800,2202.217237
424.727303,800,2202.55496
369.774791,800,2202.946296
326.60549,800,2240.023172
412.432017,800,2269.786294
353.872019,800,2299.573297
362.270347,800,2329.370696
402.868169,800,2359.45625
396.896282,800,2389.625393
396.896282,800,2389.964272
396.896282,800,2390.304112
396.896282,800,2390.644975
396.896282,800,2390.984306
391.411003,800,2391.360484
255.166067,800,2429.026943
411.602025,800,2459.194719
386.105208,800,2489.459615
359.988175,800,2519.786495
382.850745,800,2550.260367
387.273429,800,2580.768605
